,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal
0,1000.0,3.0,0.5,,0.02,,0.45137880986937584,2.215434083601287,0.0,2.215434083601287,2.215434083601287,inf,1.105263157894737,0.9960079840319361,1.0703933747412009,1.105263157894737,1.105263157894737,5.097560975609754,5.097560975609754,inf,5.097560975609754,inf
1,1000.0,3.0,0.5,,0.03,,0.557632398753894,1.793296089385475,0.0,1.793296089385475,1.793296089385475,inf,1.109704641350211,1.0964360587002098,1.1598272138228942,1.109704641350211,1.109704641350211,5.622516556291394,5.622516556291394,inf,5.622516556291394,inf
2,1000.0,3.0,0.5,,0.04,,0.5060240963855422,1.9761904761904765,0.0,1.9761904761904765,1.9761904761904765,inf,1.2471910112359552,1.2026431718061676,1.2172949002217293,1.2471910112359552,1.2471910112359552,6.518796992481203,6.518796992481203,inf,6.518796992481203,inf
3,1000.0,3.0,0.5,,0.06,,0.4925373134328359,2.0303030303030307,0.0,2.0303030303030307,2.0303030303030307,inf,1.2522522522522526,1.2321428571428574,1.2222222222222225,1.2522522522522526,1.2522522522522526,5.493506493506493,5.493506493506493,inf,5.493506493506493,inf
4,1000.0,3.0,0.5,,0.07,,0.4947683109118087,2.0211480362537766,0.0,2.0211480362537766,2.0211480362537766,inf,1.3474178403755865,1.3364485981308414,1.2779043280182236,1.3474178403755865,1.3474178403755865,5.1728395061728385,5.1728395061728385,inf,5.1728395061728385,inf
5,1000.0,3.0,0.5,,0.08,,0.5151515151515152,1.9411764705882355,0.0,1.9411764705882355,1.9411764705882355,inf,1.463054187192118,1.4038461538461537,1.4390243902439022,1.463054187192118,1.463054187192118,5.097560975609754,5.097560975609754,inf,5.097560975609754,inf
6,1000.0,3.0,0.5,,0.1,,0.5197568389057752,1.923976608187134,0.0,1.923976608187134,1.923976608187134,inf,1.7247956403269755,1.6954177897574125,1.631578947368421,1.7247956403269755,1.7247956403269755,4.747126436781608,4.747126436781608,inf,4.747126436781608,inf
7,1000.0,3.0,0.5,,0.11,,0.5243902439024389,1.906976744186046,0.0,1.906976744186046,1.906976744186046,inf,2.0303030303030307,1.8571428571428574,1.8248587570621462,2.0303030303030307,2.0303030303030307,5.666666666666666,5.666666666666666,inf,5.666666666666666,inf
8,1000.0,3.0,0.5,,0.12,,0.42450142450142453,2.355704697986578,0.0,2.355704697986578,2.355704697986578,inf,2.0395136778115495,1.9498525073746307,1.985074626865672,2.0395136778115495,2.0395136778115495,5.849315068493155,5.849315068493155,inf,5.849315068493155,inf
9,1000.0,3.0,0.55,,0.02,,4.4054054054054035,0.22699386503067487,0.0,0.22699386503067487,0.22699386503067487,inf,1.3041474654377883,1.3201856148491877,1.3474178403755865,1.3041474654377883,1.3041474654377883,26.027027027027003,26.027027027027003,inf,26.027027027027003,inf
10,1000.0,3.0,0.55,,0.03,,1.6385224274406331,0.6103059581320451,0.0,0.6103059581320451,0.6103059581320451,inf,1.2779043280182236,1.2471910112359552,1.293577981651376,1.2779043280182236,1.2779043280182236,10.62790697674419,10.62790697674419,inf,10.62790697674419,inf
11,1000.0,3.0,0.55,,0.04,,0.9841269841269841,1.0161290322580645,0.0,1.0161290322580645,1.0161290322580645,inf,1.5188916876574305,1.4330900243309002,1.3419203747072597,1.5188916876574305,1.5188916876574305,7.620689655172415,7.620689655172415,inf,7.620689655172415,inf
