,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct
101,1000,5,0.6,,0.04,,0.261,0.7390000000000001,0.737,0.141,0.002,0.002,0.532,0.703,0.7040000000000001,0.664,0.7040000000000001,0.703,0.9209999999999999,0.9540000000000001,0.9670000000000001,0.9209999999999999,1.0,-0.001000000000000112
102,1000,5,0.6,,0.06,,0.09699999999999999,0.903,0.89,0.319,0.013000000000000001,0.013000000000000001,0.5720000000000001,0.7170000000000001,0.7090000000000001,0.652,0.7170000000000001,0.7170000000000001,0.888,0.95,0.938,0.888,1.0,0.008000000000000007
103,1000,5,0.6,,0.07,,0.10800000000000001,0.892,0.863,0.381,0.028999999999999998,0.028999999999999998,0.565,0.721,0.703,0.6859999999999999,0.715,0.72,0.91,0.9520000000000001,0.958,0.9109999999999999,0.9990000000000001,0.018000000000000016
104,1000,5,0.6,,0.08,,0.071,0.929,0.882,0.418,0.047,0.047,0.5660000000000001,0.7390000000000001,0.723,0.6859999999999999,0.735,0.736,0.884,0.948,0.9359999999999999,0.887,0.997,0.016000000000000125
105,1000,5,0.6,,0.1,,0.057999999999999996,0.9420000000000001,0.856,0.47,0.086,0.086,0.5820000000000001,0.755,0.7090000000000001,0.716,0.732,0.752,0.8540000000000001,0.943,0.9109999999999999,0.861,0.993,0.04599999999999993
106,1000,5,0.6,,0.11,,0.053,0.9470000000000001,0.851,0.48100000000000004,0.096,0.096,0.579,0.753,0.7390000000000001,0.7290000000000001,0.745,0.754,0.8759999999999999,0.95,0.9259999999999999,0.879,0.997,0.013999999999999901
107,1000,5,0.6,,0.12,,0.037000000000000005,0.963,0.866,0.489,0.09699999999999999,0.09699999999999999,0.6,0.7959999999999999,0.759,0.778,0.782,0.795,0.895,0.961,0.934,0.902,0.993,0.03699999999999992
108,1000,5,0.7,,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,0.583,0.826,0.826,0.72,0.826,0.826,1.0,1.0,1.0,1.0,1.0,0.0
109,1000,5,0.7,,0.03,,0.9620000000000001,0.038,0.038,0.0,0.0,0.0,0.5710000000000001,0.8490000000000001,0.8490000000000001,0.731,0.8490000000000001,0.8490000000000001,0.998,0.998,1.0,0.998,1.0,0.0
110,1000,5,0.7,,0.04,,0.8240000000000001,0.17600000000000002,0.17600000000000002,0.006,0.0,0.0,0.6,0.835,0.8340000000000001,0.76,0.8370000000000001,0.835,0.993,0.995,0.998,0.993,1.0,0.0009999999999998899
