,Unnamed: 0,voters,mean,std,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,optimal_correct,majority_correct,d_majority_correct_d_voters,majority_correct_minus_mean,optimal_correct_minus_mean,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct,majority_correct_with_equal_expertise,majorityequal_correct_minus_mean,d_majorityequal_correct_d_voters
30,30,9,Medium,Lower,335,335,335,335,335,0.945,0.944,0.02,0.194,0.195,0.02,0.994871795,1,0.998941799,0.946,0.196,0.024
31,39,11,Medium,Lower,336,336,336,336,336,0.958,0.957,0.013,0.207,0.208,0.013,0.995192308,1,0.998956159,0.956,0.206,0.01
32,48,21,Medium,Lower,337,337,337,337,337,0.989,0.989,0.032,0.239,0.239,0.032,1,1,1,0.989,0.239,0.033
33,57,31,Medium,Lower,338,338,338,338,338,0.996,0.996,0.007,0.246,0.246,0.007,1,1,1,0.996,0.246,0.007
34,66,41,Medium,Lower,339,339,339,339,339,0.999,0.999,0.003,0.249,0.249,0.003,1,1,1,0.998,0.248,0.002
35,75,51,Medium,Lower,340,340,340,340,340,0.999,0.999,0,0.249,0.249,0,1,,1,0.999,0.249,0.002
36,4,3,Medium,Medium,359,359,359,359,359,0.852,0.846,0,0.096,0.102,0,0.941176471,,0.992957746,0.837,0.087,0
37,13,5,Medium,Medium,360,360,360,360,360,0.898,0.89,0.043,0.14,0.148,0.046,0.945945946,0.934782609,0.991091314,0.887,0.137,0.05
38,22,7,Medium,Medium,361,361,361,361,361,0.934,0.926,0.036,0.176,0.184,0.036,0.956521739,1,0.99143469,0.925,0.175,0.038
39,31,9,Medium,Medium,362,362,362,362,362,0.948,0.944,0.018,0.194,0.198,0.015,0.97979798,1.2,0.995780591,0.941,0.191,0.016
40,40,11,Medium,Medium,363,363,363,363,363,0.966,0.958,0.014,0.208,0.216,0.017,0.962962963,0.823529412,0.991718427,0.961,0.211,0.02
41,49,21,Medium,Medium,364,364,364,364,364,0.992,0.99,0.032,0.24,0.242,0.026,0.991735537,1.230769231,0.997983871,0.989,0.239,0.028
42,58,31,Medium,Medium,365,365,365,365,365,0.997,0.996,0.006,0.246,0.247,0.006,0.995951417,1,0.998996991,0.996,0.246,0.007
43,67,41,Medium,Medium,366,366,366,366,366,1,0.999,0.003,0.249,0.25,0.002,0.996,1.5,0.999,0.999,0.249,0.003
44,76,51,Medium,Medium,367,367,367,367,367,1,1,0.001,0.25,0.25,0,1,inf,1,0.999,0.249,0.001
45,5,3,Medium,Upper,386,386,386,386,386,0.86,0.844,0,0.094,0.11,0,0.854545455,,0.981395349,0.843,0.093,0
46,14,5,Medium,Upper,387,387,387,387,387,0.91,0.891,0.047,0.141,0.16,0.051,0.88125,0.921568627,0.979120879,0.891,0.141,0.047
47,23,7,Medium,Upper,388,388,388,388,388,0.943,0.919,0.027,0.169,0.193,0.033,0.875647668,0.818181818,0.974549311,0.923,0.173,0.033
48,32,9,Medium,Upper,389,389,389,389,389,0.961,0.946,0.027,0.196,0.211,0.017,0.928909953,1.588235294,0.984391259,0.94,0.19,0.016
49,41,11,Medium,Upper,390,390,390,390,390,0.975,0.963,0.017,0.213,0.225,0.014,0.946666667,1.214285714,0.987692308,0.957,0.207,0.017
50,50,21,Medium,Upper,391,391,391,391,391,0.995,0.989,0.027,0.239,0.245,0.021,0.975510204,1.285714286,0.993969849,0.988,0.238,0.032
51,59,31,Medium,Upper,392,392,392,392,392,0.999,0.997,0.007,0.247,0.249,0.004,0.991967871,1.75,0.997997998,0.996,0.246,0.007
52,68,41,Medium,Upper,393,393,393,393,393,1,0.999,0.002,0.249,0.25,0.001,0.996,2,0.999,0.999,0.249,0.003
53,77,51,Medium,Upper,394,394,394,394,394,1,1,0.001,0.25,0.25,0,1,inf,1,0.999,0.249,0.001
54,6,3,Upper,Lower,575,575,575,575,575,0.985,0.985,0,0.035,0.035,0,1,,1,0.988,0.038,0
55,15,5,Upper,Lower,576,576,576,576,576,0.997,0.996,0.011,0.046,0.047,0.012,0.978723404,0.916666667,0.998996991,0.995,0.045,0.008
56,24,7,Upper,Lower,577,577,577,577,577,0.999,0.999,0.003,0.049,0.049,0.002,1,1.5,1,0.999,0.049,0.003
57,33,9,Upper,Lower,578,578,578,578,578,1,1,0.001,0.05,0.05,0.001,1,1,1,1,0.05,0.001
58,42,11,Upper,Lower,579,579,579,579,579,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
59,51,21,Upper,Lower,580,580,580,580,580,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
60,60,31,Upper,Lower,581,581,581,581,581,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
61,69,41,Upper,Lower,582,582,582,582,582,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
62,78,51,Upper,Lower,583,583,583,583,583,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
63,7,3,Upper,Medium,602,602,602,602,602,0.979,0.977,0,0.027,0.029,0,0.931034483,,0.997957099,0.988,0.038,0
64,16,5,Upper,Medium,603,603,603,603,603,0.995,0.994,0.016,0.044,0.045,0.016,0.977777778,1,0.998994975,0.997,0.047,0.009
65,25,7,Upper,Medium,604,604,604,604,604,0.999,0.999,0.005,0.049,0.049,0.004,1,1.25,1,0.999,0.049,0.002
66,34,9,Upper,Medium,605,605,605,605,605,1,0.999,0.001,0.049,0.05,0,0.98,inf,0.999,1,0.05,0
67,43,11,Upper,Medium,606,606,606,606,606,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
68,52,21,Upper,Medium,607,607,607,607,607,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
69,61,31,Upper,Medium,608,608,608,608,608,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
70,70,41,Upper,Medium,609,609,609,609,609,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
71,79,51,Upper,Medium,610,610,610,610,610,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
72,8,3,Upper,Upper,629,629,629,629,629,0.969,0.965,0,0.015,0.019,0,0.789473684,,0.995872033,0.989,0.039,0
73,17,5,Upper,Upper,630,630,630,630,630,0.99,0.988,0.022,0.038,0.04,0.022,0.95,1,0.997979798,0.997,0.047,0.008
74,26,7,Upper,Upper,631,631,631,631,631,0.997,0.996,0.008,0.046,0.047,0.007,0.978723404,1.142857143,0.998996991,0.999,0.049,0.002
75,35,9,Upper,Upper,632,632,632,632,632,0.999,0.997,0.001,0.047,0.049,0.001,0.959183673,1,0.997997998,1,0.05,0.001
76,44,11,Upper,Upper,633,633,633,633,633,0.999,0.999,0.002,0.049,0.049,0.001,1,2,1,1,0.05,0
77,53,21,Upper,Upper,634,634,634,634,634,1,1,0.001,0.05,0.05,0.001,1,1,1,1,0.05,0
78,62,31,Upper,Upper,635,635,635,635,635,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
79,71,41,Upper,Upper,636,636,636,636,636,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
80,80,51,Upper,Upper,637,637,637,637,637,1,1,0,0.05,0.05,0,1,,1,1,0.05,0
