voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3.0,0.55,0.02,1000.0,0.550399601364754,0.558,0.008000000000000007,0.007600398635246086,0.56,0.010000000000000009,0.009600398635246088,-0.002
3.0,0.55,0.03,1000.0,0.5533231948878277,0.621,0.07099999999999995,0.06767680511217233,0.598,0.04799999999999993,0.04467680511217231,0.023
3.0,0.55,0.04,1000.0,0.5584696183361306,0.597,0.04699999999999993,0.03853038166386935,0.589,0.038999999999999924,0.030530381663869344,0.008
3.0,0.55,0.07,1000.0,0.5788347324891652,0.617,0.06699999999999995,0.03816526751083482,0.605,0.05499999999999994,0.02616526751083481,0.012
3.0,0.55,0.08,1000.0,0.5862472077293333,0.633,0.08299999999999996,0.046752792270666754,0.621,0.07099999999999995,0.034752792270666744,0.012
3.0,0.55,0.09,1000.0,0.5937931619750162,0.65,0.09999999999999998,0.05620683802498383,0.653,0.10299999999999998,0.05920683802498383,-0.003
3.0,0.55,0.12,1000.0,0.6168295337958563,0.716,0.16599999999999993,0.09917046620414371,0.687,0.137,0.0701704662041438,0.029
3.0,0.55,0.13,1000.0,0.6245010983283475,0.705,0.15499999999999992,0.08049890167165241,0.686,0.136,0.061498901671652506,0.019
3.0,0.55,0.14,1000.0,0.6320664588183131,0.735,0.18499999999999994,0.10293354118168685,0.696,0.1459999999999999,0.06393354118168681,0.039
3.0,0.6,0.02,1000.0,0.6000000381320322,0.665,0.06500000000000006,0.06499996186796786,0.665,0.06500000000000006,0.06499996186796786,0.0
3.0,0.6,0.03,1000.0,0.6000517020621967,0.629,0.029000000000000026,0.02894829793780329,0.623,0.02300000000000002,0.022948297937803286,0.006
3.0,0.6,0.04,1000.0,0.6007511217813778,0.668,0.06800000000000006,0.06724887821862224,0.663,0.06300000000000006,0.06224887821862224,0.005
3.0,0.6,0.07,1000.0,0.6111490891665544,0.685,0.08500000000000008,0.07385091083344564,0.661,0.061000000000000054,0.049850910833445616,0.024
3.0,0.6,0.08,1000.0,0.6166366939012383,0.683,0.08300000000000007,0.06636330609876173,0.69,0.08999999999999997,0.07336330609876163,-0.007
3.0,0.6,0.09,1000.0,0.6226820477205374,0.726,0.126,0.10331795227946261,0.701,0.10099999999999998,0.07831795227946259,0.025
3.0,0.6,0.12,1000.0,0.6426152912431068,0.733,0.133,0.0903847087568932,0.716,0.11599999999999999,0.07338470875689318,0.017
3.0,0.6,0.13,1000.0,0.6494238373590417,0.735,0.135,0.08557616264095824,0.715,0.11499999999999999,0.06557616264095822,0.02
3.0,0.6,0.14,1000.0,0.6561081833122446,0.761,0.16100000000000003,0.10489181668775538,0.748,0.14800000000000002,0.09189181668775537,0.013
3.0,0.65,0.02,1000.0,0.6500000000000071,0.69,0.039999999999999925,0.03999999999999282,0.69,0.039999999999999925,0.03999999999999282,0.0
3.0,0.65,0.03,1000.0,0.6500000526613009,0.727,0.07699999999999996,0.07699994733869908,0.729,0.07899999999999996,0.07899994733869908,-0.002
3.0,0.65,0.04,1000.0,0.6500154866964568,0.694,0.04399999999999993,0.04398451330354314,0.698,0.04799999999999993,0.04798451330354314,-0.004
3.0,0.65,0.07,1000.0,0.6529473169476452,0.731,0.08099999999999996,0.0780526830523548,0.726,0.07599999999999996,0.0730526830523548,0.005
3.0,0.65,0.08,1000.0,0.6558123768511287,0.726,0.07599999999999996,0.07018762314887128,0.705,0.05499999999999994,0.04918762314887126,0.021
3.0,0.65,0.09,1000.0,0.6595686969520812,0.764,0.11399999999999999,0.10443130304791881,0.728,0.07799999999999996,0.06843130304791878,0.036
3.0,0.65,0.12,1000.0,0.6740733103763064,0.78,0.13,0.10592668962369367,0.757,0.10699999999999998,0.08292668962369365,0.023
3.0,0.65,0.13,1000.0,0.6792683218890445,0.79,0.14,0.11073167811095552,0.775,0.125,0.09573167811095551,0.015
3.0,0.65,0.14,1000.0,0.6843538717077884,0.812,0.16200000000000003,0.12764612829221167,0.765,0.11499999999999999,0.08064612829221163,0.047
3.0,0.7,0.02,1000.0,0.7,0.769,0.06900000000000006,0.06900000000000006,0.769,0.06900000000000006,0.06900000000000006,0.0
3.0,0.7,0.03,1000.0,0.7000000000033366,0.766,0.06600000000000006,0.0659999999966634,0.766,0.06600000000000006,0.0659999999966634,0.0
3.0,0.7,0.04,1000.0,0.7000000673659118,0.79,0.09000000000000008,0.08999993263408823,0.79,0.09000000000000008,0.08999993263408823,0.0
3.0,0.7,0.07,1000.0,0.7004890243522323,0.784,0.08400000000000007,0.08351097564776777,0.78,0.08000000000000007,0.07951097564776777,0.004
3.0,0.7,0.08,1000.0,0.7014264121509118,0.801,0.10100000000000009,0.09957358784908821,0.792,0.09200000000000008,0.0905735878490882,0.009
3.0,0.7,0.09,1000.0,0.7030134592133441,0.814,0.11399999999999999,0.11098654078665582,0.812,0.1120000000000001,0.10898654078665593,0.002
3.0,0.7,0.12,1000.0,0.7105354504251368,0.815,0.11499999999999999,0.10446454957486317,0.806,0.1060000000000001,0.09546454957486328,0.009
3.0,0.7,0.13,1000.0,0.7133724283023914,0.837,0.137,0.12362757169760852,0.816,0.11599999999999999,0.1026275716976085,0.021
3.0,0.7,0.14,1000.0,0.7161453463054095,0.844,0.14400000000000002,0.12785465369459048,0.802,0.10200000000000009,0.08585465369459055,0.042
3.0,0.75,0.02,1000.0,0.75,0.844,0.09399999999999997,0.09399999999999997,0.844,0.09399999999999997,0.09399999999999997,0.0
3.0,0.75,0.03,1000.0,0.75,0.835,0.08499999999999996,0.08499999999999996,0.835,0.08499999999999996,0.08499999999999996,0.0
3.0,0.75,0.04,1000.0,0.75,0.851,0.10099999999999998,0.10099999999999998,0.851,0.10099999999999998,0.10099999999999998,0.0
3.0,0.75,0.07,1000.0,0.75,0.848,0.09799999999999998,0.09799999999999998,0.841,0.09099999999999997,0.09099999999999997,0.007
3.0,0.75,0.08,1000.0,0.75,0.853,0.10299999999999998,0.10299999999999998,0.852,0.10199999999999998,0.10199999999999998,0.001
3.0,0.75,0.09,1000.0,0.75,0.846,0.09599999999999997,0.09599999999999997,0.837,0.08699999999999997,0.08699999999999997,0.009
3.0,0.75,0.12,1000.0,0.75,0.853,0.10299999999999998,0.10299999999999998,0.854,0.10399999999999998,0.10399999999999998,-0.001
3.0,0.75,0.13,1000.0,0.75,0.864,0.11399999999999999,0.11399999999999999,0.837,0.08699999999999997,0.08699999999999997,0.027
3.0,0.75,0.14,1000.0,0.75,0.856,0.10599999999999998,0.10599999999999998,0.836,0.08599999999999997,0.08599999999999997,0.02
3.0,0.8,0.02,1000.0,0.8,0.894,0.09399999999999997,0.09399999999999997,0.894,0.09399999999999997,0.09399999999999997,0.0
3.0,0.8,0.03,1000.0,0.7999999999966634,0.896,0.09599999999999997,0.09600000000333664,0.896,0.09599999999999997,0.09600000000333664,0.0
3.0,0.8,0.04,1000.0,0.7999999326340882,0.888,0.08799999999999997,0.08800006736591182,0.888,0.08799999999999997,0.08800006736591182,0.0
3.0,0.8,0.07,1000.0,0.7995109756477677,0.897,0.09699999999999998,0.09748902435223228,0.894,0.09399999999999997,0.09448902435223228,0.003
3.0,0.8,0.08,1000.0,0.7985735878490882,0.913,0.11299999999999999,0.11442641215091187,0.91,0.10999999999999999,0.11142641215091187,0.003
