voters,mean,std,Unnamed: 0,smr,mino-d,n-t-m-d,mino-t,expert,min-coll
3.0,Lower,Lower,10,24.804,0.907,0.0,0.907,0.907,inf
3.0,Lower,Medium,13,0.779,1.447,0.0,1.447,1.447,inf
3.0,Lower,Upper,16,0.597,1.734,0.0,1.734,1.734,inf
3.0,Medium,Lower,37,inf,0.003,0.0,0.003,0.003,inf
3.0,Medium,Medium,40,7.024,0.198,0.0,0.198,0.198,inf
3.0,Medium,Upper,43,1.562,0.694,0.0,0.694,0.694,inf
3.0,Upper,Lower,64,inf,0.034,0.0,0.034,0.034,inf
3.0,Upper,Medium,67,6.111,0.168,0.0,0.168,0.168,inf
3.0,Upper,Upper,70,2.962,0.35,0.0,0.35,0.35,inf
5.0,Lower,Lower,91,0.955,15.191,3.846,0.068,0.068,1.099
5.0,Lower,Medium,94,0.059,22.695,5.907,0.107,0.107,1.165
5.0,Lower,Upper,97,0.035,34.002,4.776,0.168,0.168,1.278
5.0,Medium,Lower,118,inf,0.053,0.053,0.0,0.0,1.939
5.0,Medium,Medium,121,0.712,1.828,1.801,0.002,0.002,2.452
5.0,Medium,Upper,124,0.144,7.862,5.434,0.037,0.037,2.701
5.0,Upper,Lower,145,inf,0.3,0.3,0.0,0.0,25.309
5.0,Upper,Medium,148,0.73,1.45,1.434,0.002,0.002,16.491
5.0,Upper,Upper,151,0.323,3.244,3.059,0.009,0.009,10.384
7.0,Lower,Lower,172,0.146,inf,32.15,0.014,0.007,0.371
7.0,Lower,Medium,175,0.003,inf,51.705,0.023,0.01,0.432
7.0,Lower,Upper,178,0.001,776.778,30.762,0.036,0.02,0.54
7.0,Medium,Lower,199,143.014,0.392,0.392,0.0,0.0,0.963
7.0,Medium,Medium,202,0.106,14.525,14.525,0.0,0.0,1.215
7.0,Medium,Upper,205,0.01,120.185,64.711,0.006,0.005,1.505
7.0,Upper,Lower,226,13.486,1.426,1.426,0.0,0.0,17.082
7.0,Upper,Medium,229,0.115,9.552,9.552,0.0,0.0,8.689
7.0,Upper,Upper,232,0.034,34.175,34.005,0.0,0.0,6.613
9.0,Lower,Lower,253,0.027,inf,inf,0.002,0.001,0.176
9.0,Lower,Medium,256,0.0,inf,inf,0.002,0.002,0.219
9.0,Lower,Upper,259,0.0,inf,258.524,0.005,0.003,0.287
9.0,Medium,Lower,280,15.709,1.997,1.997,0.0,0.0,0.613
9.0,Medium,Medium,283,0.014,156.919,156.919,0.0,0.0,0.826
9.0,Medium,Upper,286,0.001,inf,inf,0.001,0.001,1.051
9.0,Upper,Lower,307,2.05,7.934,7.934,0.0,0.0,12.598
9.0,Upper,Medium,310,0.012,113.187,113.187,0.0,0.0,6.741
9.0,Upper,Upper,313,0.003,inf,inf,0.0,0.0,4.729
11.0,Lower,Lower,334,0.004,inf,inf,0.0,0.0,0.092
11.0,Lower,Medium,337,0.0,inf,inf,0.0,0.0,0.122
11.0,Lower,Upper,340,0.0,inf,inf,0.001,0.001,0.176
11.0,Medium,Lower,361,2.323,10.024,10.024,0.0,0.0,0.417
11.0,Medium,Medium,364,0.001,inf,inf,0.0,0.0,0.58
11.0,Medium,Upper,367,0.0,inf,inf,0.0,0.0,0.74
11.0,Upper,Lower,388,0.475,66.639,66.639,0.0,0.0,9.613
11.0,Upper,Medium,391,0.001,inf,inf,0.0,0.0,5.301
11.0,Upper,Upper,394,0.0,inf,inf,0.0,0.0,3.574
