iterations,voters,mean,std,minority_decisive,majority_correct
100.0,5.0,0.55,0.001,0.0,1.0
100.0,5.0,0.55,0.002,0.0,1.0
100.0,5.0,0.55,0.003,0.0,1.0
100.0,5.0,0.55,0.004,0.0,1.0
100.0,5.0,0.55,0.005,0.0,1.0
100.0,5.0,0.55,0.006,0.01,1.0
100.0,5.0,0.55,0.007,0.0,1.0
100.0,5.0,0.55,0.008,0.02,1.0
100.0,5.0,0.55,0.009000000000000001,0.07,1.0
100.0,5.0,0.55,0.010000000000000002,0.1,1.0
100.0,5.0,0.55,0.011,0.17,1.0
100.0,5.0,0.55,0.012,0.24,1.0
100.0,5.0,0.55,0.013000000000000001,0.42,1.0
100.0,5.0,0.55,0.014000000000000002,0.37,1.0
100.0,5.0,0.55,0.015,0.54,1.0
100.0,5.0,0.55,0.016,0.5,1.0
100.0,5.0,0.55,0.017,0.6,1.0
100.0,5.0,0.55,0.018000000000000002,0.65,1.0
100.0,5.0,0.55,0.019000000000000003,0.67,1.0
100.0,5.0,0.55,0.02,0.77,1.0
100.0,5.0,0.55,0.021,0.72,1.0
100.0,5.0,0.55,0.022000000000000002,0.66,1.0
100.0,5.0,0.55,0.023,0.8,1.0
100.0,5.0,0.55,0.024,0.81,1.0
100.0,5.0,0.55,0.025,0.83,1.0
100.0,5.0,0.55,0.026000000000000002,0.81,1.0
100.0,5.0,0.55,0.027000000000000003,0.87,1.0
100.0,5.0,0.55,0.028,0.8,1.0
100.0,5.0,0.55,0.029,0.86,1.0
100.0,5.0,0.55,0.030000000000000002,0.91,1.0
100.0,5.0,0.55,0.031,0.89,1.0
100.0,5.0,0.55,0.032,0.85,1.0
100.0,5.0,0.55,0.033,0.92,1.0
100.0,5.0,0.55,0.034,0.9,1.0
100.0,5.0,0.55,0.035,0.88,1.0
100.0,5.0,0.55,0.036000000000000004,0.88,1.0
100.0,5.0,0.55,0.037000000000000005,0.89,1.0
100.0,5.0,0.55,0.038,0.94,1.0
100.0,5.0,0.55,0.039,0.93,1.0
100.0,5.0,0.55,0.04,0.94,1.0
100.0,5.0,0.55,0.041,0.93,1.0
100.0,5.0,0.55,0.042,0.92,1.0
