iterations,voters,mean,std,minority_decisive,expert_decisive,majority_correct
1000.0,5.0,0.55,0.098,,0.112,
1000.0,5.0,0.55,0.1,,0.125,
1000.0,5.0,0.55,0.10200000000000001,,0.135,
1000.0,5.0,0.55,0.10400000000000001,,0.115,
1000.0,5.0,0.55,0.10600000000000001,,0.147,
1000.0,5.0,0.55,0.108,,0.137,
1000.0,5.0,0.55,0.11,,0.15,
1000.0,5.0,0.55,0.112,,0.143,
1000.0,5.0,0.55,0.114,,0.128,
1000.0,5.0,0.55,0.116,,0.136,
1000.0,5.0,0.55,0.11800000000000001,,0.151,
1000.0,5.0,0.55,0.12000000000000001,,0.132,
1000.0,5.0,0.55,0.122,,0.166,
1000.0,5.0,0.55,0.124,,0.14,
1000.0,5.0,0.55,0.126,,0.16,
1000.0,5.0,0.55,0.128,,0.159,
1000.0,5.0,0.55,0.13,,0.156,
1000.0,5.0,0.55,0.132,,0.153,
1000.0,5.0,0.55,0.134,,0.144,
1000.0,5.0,0.55,0.136,,0.183,
1000.0,5.0,0.55,0.138,,0.167,
1000.0,5.0,0.55,0.14,,0.164,
1000.0,5.0,0.55,0.14200000000000002,,0.201,
1000.0,5.0,0.55,0.14400000000000002,,0.194,
1000.0,5.0,0.55,0.14600000000000002,,0.153,
1000.0,5.0,0.55,0.148,,0.184,
1000.0,5.0,0.55,0.15,,0.189,
1000.0,5.0,0.55,0.152,,0.173,
1000.0,5.0,0.55,0.154,,0.18,
1000.0,5.0,0.55,0.156,,0.152,
1000.0,5.0,0.55,0.158,,0.188,
1000.0,5.0,0.55,0.16,,0.192,
1000.0,5.0,0.55,0.162,,0.203,
1000.0,5.0,0.55,0.164,,0.201,
1000.0,5.0,0.55,0.166,,0.203,
1000.0,5.0,0.55,0.168,,0.195,
1000.0,5.0,0.55,0.17,,0.197,
1000.0,5.0,0.55,0.17200000000000001,,0.195,
1000.0,5.0,0.55,0.17400000000000002,,0.19,
1000.0,5.0,0.55,0.17600000000000002,,0.224,
1000.0,5.0,0.55,0.178,,0.213,
1000.0,5.0,0.55,0.18,,0.207,
1000.0,5.0,0.55,0.182,,0.22,
1000.0,5.0,0.55,0.184,,0.195,
1000.0,5.0,0.55,0.186,,0.197,
1000.0,5.0,0.55,0.188,,0.193,
1000.0,5.0,0.55,0.19,,0.228,
1000.0,5.0,0.55,0.192,,0.223,
1000.0,5.0,0.55,0.194,,0.198,
1000.0,5.0,0.55,0.196,,0.217,
1000.0,5.0,0.55,0.198,,0.183,
1000.0,5.0,0.6,0.002,,0.0,
1000.0,5.0,0.6,0.004,,0.0,
1000.0,5.0,0.6,0.006,,0.0,
1000.0,5.0,0.6,0.008,,0.0,
1000.0,5.0,0.6,0.01,,0.0,
1000.0,5.0,0.6,0.012,,0.0,
1000.0,5.0,0.6,0.014,,0.0,
1000.0,5.0,0.6,0.016,,0.0,
1000.0,5.0,0.6,0.018000000000000002,,0.0,
1000.0,5.0,0.6,0.020000000000000004,,0.0,
1000.0,5.0,0.6,0.022,,0.0,
1000.0,5.0,0.6,0.024,,0.0,
1000.0,5.0,0.6,0.026000000000000002,,0.0,
1000.0,5.0,0.6,0.028000000000000004,,0.0,
1000.0,5.0,0.6,0.03,,0.0,
1000.0,5.0,0.6,0.032,,0.001,
1000.0,5.0,0.6,0.034,,0.0,
1000.0,5.0,0.6,0.036000000000000004,,0.0,
1000.0,5.0,0.6,0.038000000000000006,,0.002,
1000.0,5.0,0.6,0.04,,0.001,
1000.0,5.0,0.6,0.042,,0.0,
1000.0,5.0,0.6,0.044000000000000004,,0.004,
1000.0,5.0,0.6,0.046,,0.003,
1000.0,5.0,0.6,0.048,,0.009,
1000.0,5.0,0.6,0.05,,0.008,
1000.0,5.0,0.6,0.052000000000000005,,0.013,
1000.0,5.0,0.6,0.054000000000000006,,0.013,
1000.0,5.0,0.6,0.056,,0.008,
1000.0,5.0,0.6,0.058,,0.009,
1000.0,5.0,0.6,0.060000000000000005,,0.021,
1000.0,5.0,0.6,0.062,,0.031,
1000.0,5.0,0.6,0.064,,0.019,
1000.0,5.0,0.6,0.066,,0.027,
1000.0,5.0,0.6,0.068,,0.032,
1000.0,5.0,0.6,0.07,,0.03,
1000.0,5.0,0.6,0.07200000000000001,,0.027,
1000.0,5.0,0.6,0.07400000000000001,,0.047,
1000.0,5.0,0.6,0.076,,0.032,
1000.0,5.0,0.6,0.078,,0.055,
1000.0,5.0,0.6,0.08,,0.056,
1000.0,5.0,0.6,0.082,,0.051,
1000.0,5.0,0.6,0.084,,0.062,
1000.0,5.0,0.6,0.08600000000000001,,0.067,
1000.0,5.0,0.6,0.08800000000000001,,0.064,
1000.0,5.0,0.6,0.09,,0.066,
1000.0,5.0,0.6,0.092,,0.074,
1000.0,5.0,0.6,0.094,,0.076,
1000.0,5.0,0.6,0.096,,0.075,
1000.0,5.0,0.6,0.098,,0.075,
1000.0,5.0,0.6,0.1,,0.073,
1000.0,5.0,0.6,0.10200000000000001,,0.092,
1000.0,5.0,0.6,0.10400000000000001,,0.089,
1000.0,5.0,0.6,0.10600000000000001,,0.088,
1000.0,5.0,0.6,0.108,,0.097,
1000.0,5.0,0.6,0.11,,0.107,
1000.0,5.0,0.6,0.112,,0.114,
1000.0,5.0,0.6,0.114,,0.113,
1000.0,5.0,0.6,0.116,,0.09,
1000.0,5.0,0.6,0.11800000000000001,,0.141,
1000.0,5.0,0.6,0.12000000000000001,,0.133,
1000.0,5.0,0.6,0.122,,0.129,
1000.0,5.0,0.6,0.124,,0.117,
1000.0,5.0,0.6,0.126,,0.133,
1000.0,5.0,0.6,0.128,,0.136,
1000.0,5.0,0.6,0.13,,0.142,
1000.0,5.0,0.6,0.132,,0.139,
1000.0,5.0,0.6,0.134,,0.158,
1000.0,5.0,0.6,0.136,,0.145,
1000.0,5.0,0.6,0.138,,0.164,
1000.0,5.0,0.6,0.14,,0.159,
1000.0,5.0,0.6,0.14200000000000002,,0.155,
1000.0,5.0,0.6,0.14400000000000002,,0.151,
1000.0,5.0,0.6,0.14600000000000002,,0.16,
1000.0,5.0,0.6,0.148,,0.14,
1000.0,5.0,0.6,0.15,,0.153,
1000.0,5.0,0.6,0.152,,0.159,
1000.0,5.0,0.6,0.154,,0.161,
1000.0,5.0,0.6,0.156,,0.133,
1000.0,5.0,0.6,0.158,,0.158,
1000.0,5.0,0.6,0.16,,0.163,
1000.0,5.0,0.6,0.162,,0.147,
1000.0,5.0,0.6,0.164,,0.18,
1000.0,5.0,0.6,0.166,,0.169,
1000.0,5.0,0.6,0.168,,0.195,
1000.0,5.0,0.6,0.17,,0.168,
1000.0,5.0,0.6,0.17200000000000001,,0.185,
1000.0,5.0,0.6,0.17400000000000002,,0.187,
1000.0,5.0,0.6,0.17600000000000002,,0.191,
1000.0,5.0,0.6,0.178,,0.201,
1000.0,5.0,0.6,0.18,,0.193,
1000.0,5.0,0.6,0.182,,0.181,
1000.0,5.0,0.6,0.184,,0.177,
1000.0,5.0,0.6,0.186,,0.185,
1000.0,5.0,0.6,0.188,,0.192,
1000.0,5.0,0.6,0.19,,0.204,
1000.0,5.0,0.6,0.192,,0.197,
1000.0,5.0,0.6,0.194,,0.212,
1000.0,5.0,0.6,0.196,,0.194,
1000.0,5.0,0.6,0.198,,0.198,
1000.0,5.0,0.65,0.002,,0.0,
1000.0,5.0,0.65,0.004,,0.0,
1000.0,5.0,0.65,0.006,,0.0,
1000.0,5.0,0.65,0.008,,0.0,
1000.0,5.0,0.65,0.01,,0.0,
1000.0,5.0,0.65,0.012,,0.0,
1000.0,5.0,0.65,0.014,,0.0,
1000.0,5.0,0.65,0.016,,0.0,
1000.0,5.0,0.65,0.018000000000000002,,0.0,
1000.0,5.0,0.65,0.020000000000000004,,0.0,
1000.0,5.0,0.65,0.022,,0.0,
1000.0,5.0,0.65,0.024,,0.0,
1000.0,5.0,0.65,0.026000000000000002,,0.0,
1000.0,5.0,0.65,0.028000000000000004,,0.0,
1000.0,5.0,0.65,0.03,,0.0,
1000.0,5.0,0.65,0.032,,0.0,
1000.0,5.0,0.65,0.034,,0.0,
1000.0,5.0,0.65,0.036000000000000004,,0.0,
1000.0,5.0,0.65,0.038000000000000006,,0.0,
1000.0,5.0,0.65,0.04,,0.0,
1000.0,5.0,0.65,0.042,,0.0,
1000.0,5.0,0.65,0.044000000000000004,,0.0,
1000.0,5.0,0.65,0.046,,0.0,
1000.0,5.0,0.65,0.048,,0.0,
1000.0,5.0,0.65,0.05,,0.0,
1000.0,5.0,0.65,0.052000000000000005,,0.0,
1000.0,5.0,0.65,0.054000000000000006,,0.0,
1000.0,5.0,0.65,0.056,,0.0,
1000.0,5.0,0.65,0.058,,0.002,
1000.0,5.0,0.65,0.060000000000000005,,0.002,
1000.0,5.0,0.65,0.062,,0.005,
1000.0,5.0,0.65,0.064,,0.002,
1000.0,5.0,0.65,0.066,,0.004,
1000.0,5.0,0.65,0.068,,0.009,
1000.0,5.0,0.65,0.07,,0.01,
1000.0,5.0,0.65,0.07200000000000001,,0.011,
1000.0,5.0,0.65,0.07400000000000001,,0.01,
1000.0,5.0,0.65,0.076,,0.012,
1000.0,5.0,0.65,0.078,,0.013,
1000.0,5.0,0.65,0.08,,0.016,
1000.0,5.0,0.65,0.082,,0.016,
1000.0,5.0,0.65,0.084,,0.019,
1000.0,5.0,0.65,0.08600000000000001,,0.025,
1000.0,5.0,0.65,0.08800000000000001,,0.033,
1000.0,5.0,0.65,0.09,,0.041,
1000.0,5.0,0.65,0.092,,0.035,
1000.0,5.0,0.65,0.094,,0.042,
1000.0,5.0,0.65,0.096,,0.045,
1000.0,5.0,0.65,0.098,,0.04,
1000.0,5.0,0.65,0.1,,0.063,
1000.0,5.0,0.65,0.10200000000000001,,0.062,
1000.0,5.0,0.65,0.10400000000000001,,0.053,
1000.0,5.0,0.65,0.10600000000000001,,0.063,
1000.0,5.0,0.65,0.108,,0.054,
1000.0,5.0,0.65,0.11,,0.064,
1000.0,5.0,0.65,0.112,,0.081,
1000.0,5.0,0.65,0.114,,0.067,
1000.0,5.0,0.65,0.116,,0.092,
1000.0,5.0,0.65,0.11800000000000001,,0.078,
1000.0,5.0,0.65,0.12000000000000001,,0.099,
1000.0,5.0,0.65,0.122,,0.099,
1000.0,5.0,0.65,0.124,,0.095,
1000.0,5.0,0.65,0.126,,0.088,
1000.0,5.0,0.65,0.128,,0.107,
1000.0,5.0,0.65,0.13,,0.121,
1000.0,5.0,0.65,0.132,,0.129,
1000.0,5.0,0.65,0.134,,0.101,
1000.0,5.0,0.65,0.136,,0.126,
1000.0,5.0,0.65,0.138,,0.142,
1000.0,5.0,0.65,0.14,,0.125,
1000.0,5.0,0.65,0.14200000000000002,,0.132,
1000.0,5.0,0.65,0.14400000000000002,,0.134,
1000.0,5.0,0.65,0.14600000000000002,,0.136,
1000.0,5.0,0.65,0.148,,0.132,
1000.0,5.0,0.65,0.15,,0.148,
1000.0,5.0,0.65,0.152,,0.131,
1000.0,5.0,0.65,0.154,,0.131,
1000.0,5.0,0.65,0.156,,0.136,
1000.0,5.0,0.65,0.158,,0.142,
1000.0,5.0,0.65,0.16,,0.157,
1000.0,5.0,0.65,0.162,,0.158,
1000.0,5.0,0.65,0.164,,0.141,
1000.0,5.0,0.65,0.166,,0.151,
1000.0,5.0,0.65,0.168,,0.162,
1000.0,5.0,0.65,0.17,,0.155,
1000.0,5.0,0.65,0.17200000000000001,,0.146,
1000.0,5.0,0.65,0.17400000000000002,,0.148,
1000.0,5.0,0.65,0.17600000000000002,,0.167,
1000.0,5.0,0.65,0.178,,0.166,
1000.0,5.0,0.65,0.18,,0.156,
1000.0,5.0,0.65,0.182,,0.172,
1000.0,5.0,0.65,0.184,,0.149,
1000.0,5.0,0.65,0.186,,0.168,
1000.0,5.0,0.65,0.188,,0.164,
1000.0,5.0,0.65,0.19,,0.182,
1000.0,5.0,0.65,0.192,,0.171,
1000.0,5.0,0.65,0.194,,0.18,
1000.0,5.0,0.65,0.196,,0.16,
1000.0,5.0,0.65,0.198,,0.181,
1000.0,5.0,0.7,0.002,,0.0,
1000.0,5.0,0.7,0.004,,0.0,
1000.0,5.0,0.7,0.006,,0.0,
1000.0,5.0,0.7,0.008,,0.0,
1000.0,5.0,0.7,0.01,,0.0,
1000.0,5.0,0.7,0.012,,0.0,
1000.0,5.0,0.7,0.014,,0.0,
1000.0,5.0,0.7,0.016,,0.0,
1000.0,5.0,0.7,0.018000000000000002,,0.0,
1000.0,5.0,0.7,0.020000000000000004,,0.0,
1000.0,5.0,0.7,0.022,,0.0,
1000.0,5.0,0.7,0.024,,0.0,
1000.0,5.0,0.7,0.026000000000000002,,0.0,
1000.0,5.0,0.7,0.028000000000000004,,0.0,
1000.0,5.0,0.7,0.03,,0.0,
1000.0,5.0,0.7,0.032,,0.0,
1000.0,5.0,0.7,0.034,,0.0,
1000.0,5.0,0.7,0.036000000000000004,,0.0,
1000.0,5.0,0.7,0.038000000000000006,,0.0,
1000.0,5.0,0.7,0.04,,0.0,
1000.0,5.0,0.7,0.042,,0.0,
1000.0,5.0,0.7,0.044000000000000004,,0.0,
1000.0,5.0,0.7,0.046,,0.0,
1000.0,5.0,0.7,0.048,,0.0,
1000.0,5.0,0.7,0.05,,0.0,
1000.0,5.0,0.7,0.052000000000000005,,0.0,
1000.0,5.0,0.7,0.054000000000000006,,0.0,
