,Unnamed: 0,iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,majority_tyranny_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,optimal_correct,majority_correct,expert_correct,compromise_minority_correct,compromose_strongmajority_correct,optimal_agrees_majority,compromise_minority_agrees_majority,compromise_minority_agrees_optimal,compromose_strongmajority_agrees_majority,compromose_strongmajority_agrees_optimal,optimal_correct_minus_majority_correct,d_majority_correct_d_voters
529,529,1000,31,0.75,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.076,1.0,1.0,0.955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.010000000000000009
610,610,1000,41,0.75,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.033,1.0,0.998,0.965,0.998,0.999,0.998,1.0,0.998,0.999,0.999,0.0020000000000000018,-0.0020000000000000018
691,691,1000,51,0.75,,0.12,,0.0,1.0,1.0,,0.0,0.0,0.014,1.0,1.0,0.966,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0020000000000000018
45,45,1000,3,0.8,,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.901,0.901,0.812,0.901,0.901,1.0,1.0,1.0,1.0,1.0,0.0,0.0
126,126,1000,5,0.8,,0.02,,1.0,0.0,0.0,0.0,0.0,0.0,0.7090000000000001,0.94,0.94,0.805,0.94,0.94,1.0,1.0,1.0,1.0,1.0,0.0,0.038999999999999924
207,207,1000,7,0.8,,0.02,,0.999,0.001,0.001,0.0,0.0,0.0,0.546,0.973,0.973,0.831,0.973,0.973,1.0,1.0,1.0,1.0,1.0,0.0,0.03300000000000003
288,288,1000,9,0.8,,0.02,,0.986,0.014,0.014,0.0,0.0,0.0,0.428,0.987,0.987,0.8370000000000001,0.987,0.987,1.0,1.0,1.0,1.0,1.0,0.0,0.014000000000000012
369,369,1000,11,0.8,,0.02,,0.926,0.07400000000000001,0.07400000000000001,0.0,0.0,0.0,0.383,0.985,0.985,0.85,0.985,0.985,1.0,1.0,1.0,1.0,1.0,0.0,-0.0020000000000000018
450,450,1000,21,0.8,,0.02,,0.027000000000000003,0.973,0.973,0.0,0.0,0.0,0.13699999999999998,1.0,1.0,0.845,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.015000000000000013
530,530,1000,31,0.8,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.031,1.0,1.0,0.8340000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
611,611,1000,41,0.8,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.028,1.0,1.0,0.8340000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
692,692,1000,51,0.8,,0.02,,0.0,1.0,1.0,,0.0,0.0,0.009000000000000001,1.0,1.0,0.8490000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
46,46,1000,3,0.8,,0.03,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.892,0.892,0.821,0.892,0.892,1.0,1.0,1.0,1.0,1.0,0.0,0.0
127,127,1000,5,0.8,,0.03,,0.994,0.006,0.006,0.0,0.0,0.0,0.725,0.935,0.935,0.84,0.935,0.935,1.0,1.0,1.0,1.0,1.0,0.0,0.04300000000000004
208,208,1000,7,0.8,,0.03,,0.937,0.063,0.063,0.0,0.0,0.0,0.5489999999999999,0.969,0.969,0.857,0.969,0.969,1.0,1.0,1.0,1.0,1.0,0.0,0.03399999999999992
289,289,1000,9,0.8,,0.03,,0.675,0.325,0.325,0.0,0.0,0.0,0.443,0.98,0.98,0.84,0.98,0.98,1.0,1.0,1.0,1.0,1.0,0.0,0.01100000000000001
370,370,1000,11,0.8,,0.03,,0.348,0.652,0.652,0.0,0.0,0.0,0.394,0.986,0.987,0.852,0.987,0.986,0.999,1.0,0.999,0.999,1.0,-0.0010000000000000009,0.007000000000000006
451,451,1000,21,0.8,,0.03,,0.0,1.0,1.0,0.0,0.0,0.0,0.131,0.999,0.999,0.858,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.0,0.01200000000000001
531,531,1000,31,0.8,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.047,0.999,0.999,0.863,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.0,0.0
612,612,1000,41,0.8,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.017,1.0,1.0,0.8640000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
693,693,1000,51,0.8,,0.03,,0.0,1.0,1.0,,0.0,0.0,0.01,1.0,1.0,0.865,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
47,47,1000,3,0.8,,0.04,,0.999,0.001,0.0,0.001,0.001,0.001,1.0,0.903,0.903,0.8440000000000001,0.903,0.903,1.0,1.0,1.0,1.0,1.0,0.0,0.0
128,128,1000,5,0.8,,0.04,,0.935,0.065,0.065,0.001,0.0,0.0,0.703,0.936,0.935,0.8440000000000001,0.936,0.936,0.997,0.997,1.0,0.997,1.0,0.00099999999999989,0.03200000000000003
209,209,1000,7,0.8,,0.04,,0.618,0.382,0.382,0.0,0.0,0.0,0.589,0.976,0.976,0.855,0.976,0.976,1.0,1.0,1.0,1.0,1.0,0.0,0.040999999999999925
290,290,1000,9,0.8,,0.04,,0.28800000000000003,0.7120000000000001,0.7120000000000001,0.0,0.0,0.0,0.473,0.975,0.973,0.866,0.973,0.975,0.996,1.0,0.996,0.996,1.0,0.0020000000000000018,-0.0030000000000000027
371,371,1000,11,0.8,,0.04,,0.085,0.915,0.915,0.0,0.0,0.0,0.435,0.987,0.986,0.868,0.986,0.987,0.999,1.0,0.999,0.999,1.0,0.0010000000000000009,0.013000000000000012
452,452,1000,21,0.8,,0.04,,0.0,1.0,1.0,0.0,0.0,0.0,0.162,1.0,1.0,0.8590000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.014000000000000012
532,532,1000,31,0.8,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.073,1.0,1.0,0.861,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
613,613,1000,41,0.8,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.026,1.0,1.0,0.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
694,694,1000,51,0.8,,0.04,,0.0,1.0,1.0,,0.0,0.0,0.008,1.0,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
48,48,1000,3,0.8,,0.06,,0.953,0.047,0.0,0.047,0.047,0.047,1.0,0.907,0.908,0.86,0.907,0.907,0.997,0.997,1.0,0.997,1.0,-0.00099999999999989,0.0
129,129,1000,5,0.8,,0.06,,0.604,0.396,0.396,0.034,0.0,0.0,0.747,0.94,0.933,0.8690000000000001,0.937,0.94,0.989,0.994,0.995,0.989,1.0,0.007000000000000006,0.025000000000000022
210,210,1000,7,0.8,,0.06,,0.213,0.787,0.787,0.006999999999999999,0.0,0.0,0.602,0.967,0.963,0.882,0.964,0.967,0.99,0.997,0.993,0.99,1.0,0.004000000000000115,0.029999999999999916
291,291,1000,9,0.8,,0.06,,0.045,0.955,0.955,0.0,0.0,0.0,0.527,0.984,0.983,0.872,0.983,0.984,0.997,1.0,0.997,0.997,1.0,0.001000000000000112,0.020000000000000018
372,372,1000,11,0.8,,0.06,,0.003,0.997,0.997,0.0,0.0,0.0,0.425,0.995,0.993,0.8909999999999999,0.993,0.995,0.998,1.0,0.998,0.998,1.0,0.0020000000000000018,0.010000000000000009
453,453,1000,21,0.8,,0.06,,0.0,1.0,1.0,0.0,0.0,0.0,0.198,0.999,0.999,0.903,0.999,0.999,1.0,1.0,1.0,1.0,1.0,0.0,0.006000000000000005
533,533,1000,31,0.8,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.08800000000000001,1.0,1.0,0.925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
614,614,1000,41,0.8,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.04,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
695,695,1000,51,0.8,,0.06,,0.0,1.0,1.0,,0.0,0.0,0.02,1.0,1.0,0.949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
49,49,1000,3,0.8,,0.07,,0.8740000000000001,0.126,0.0,0.126,0.126,0.126,1.0,0.904,0.902,0.856,0.904,0.904,0.992,0.992,1.0,0.992,1.0,0.0020000000000000018,0.0
130,130,1000,5,0.8,,0.07,,0.447,0.5529999999999999,0.551,0.057,0.002,0.002,0.765,0.946,0.941,0.8959999999999999,0.941,0.946,0.989,0.994,0.995,0.989,1.0,0.0050000000000000044,0.038999999999999924
211,211,1000,7,0.8,,0.07,,0.106,0.894,0.894,0.008,0.0,0.0,0.625,0.979,0.975,0.898,0.975,0.979,0.984,0.996,0.988,0.984,1.0,0.004000000000000115,0.03400000000000003
292,292,1000,9,0.8,,0.07,,0.017,0.983,0.983,0.001,0.0,0.0,0.5489999999999999,0.979,0.98,0.908,0.98,0.979,0.993,1.0,0.993,0.993,1.0,-0.00099999999999989,0.0050000000000000044
373,373,1000,11,0.8,,0.07,,0.001,0.999,0.999,0.0,0.0,0.0,0.46,0.996,0.991,0.91,0.991,0.996,0.995,1.0,0.995,0.995,1.0,0.0050000000000000044,0.01100000000000001
454,454,1000,21,0.8,,0.07,,0.0,1.0,1.0,0.0,0.0,0.0,0.218,0.998,0.999,0.917,0.999,0.998,0.999,1.0,0.999,0.999,1.0,-0.001000000000000112,0.008000000000000007
534,534,1000,31,0.8,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.086,1.0,1.0,0.945,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0010000000000000009
615,615,1000,41,0.8,,0.07,,0.0,1.0,1.0,,0.0,0.0,0.04,1.0,1.0,0.949,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
