iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,minority_colluding,optimal_agrees_majority
1000.0,3.0,0.8,,0.13,,0.539,0.0,0.0,0.461,0.461,1.0,0.955
1000.0,3.0,0.8,,0.14,,0.5329999999999999,0.0,0.0,0.467,0.467,1.0,0.9590000000000001
1000.0,3.0,0.85,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1000.0,3.0,0.85,,0.03,,0.9990000000000001,0.0,0.0,0.001,0.001,1.0,1.0
1000.0,3.0,0.85,,0.04,,0.986,0.0,0.0,0.013999999999999999,0.013999999999999999,1.0,1.0
1000.0,3.0,0.85,,0.07,,0.873,0.0,0.0,0.127,0.127,1.0,0.993
1000.0,3.0,0.85,,0.08,,0.815,0.0,0.0,0.185,0.185,1.0,0.99
1000.0,3.0,0.85,,0.09,,0.78,0.0,0.0,0.22,0.22,1.0,0.988
1000.0,3.0,0.85,,0.12,,0.613,0.0,0.0,0.387,0.387,1.0,0.9640000000000001
1000.0,3.0,0.85,,0.13,,0.632,0.0,0.0,0.368,0.368,1.0,0.961
1000.0,3.0,0.85,,0.14,,0.603,0.0,0.0,0.397,0.397,1.0,0.9620000000000001
1000.0,3.0,0.9,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0,1.0
1000.0,3.0,0.9,,0.03,,0.993,0.0,0.0,0.006999999999999999,0.006999999999999999,1.0,1.0
1000.0,3.0,0.9,,0.04,,0.963,0.0,0.0,0.037000000000000005,0.037000000000000005,1.0,1.0
1000.0,3.0,0.9,,0.07,,0.8440000000000001,0.0,0.0,0.156,0.156,1.0,0.995
1000.0,3.0,0.9,,0.08,,0.8109999999999999,0.0,0.0,0.18899999999999997,0.18899999999999997,1.0,0.986
1000.0,3.0,0.9,,0.09,,0.81,0.0,0.0,0.19,0.19,1.0,0.9940000000000001
1000.0,3.0,0.9,,0.12,,0.6609999999999999,0.0,0.0,0.33899999999999997,0.33899999999999997,1.0,0.981
1000.0,3.0,0.9,,0.13,,0.674,0.0,0.0,0.326,0.326,1.0,0.973
1000.0,3.0,0.9,,0.14,,0.636,0.0,0.0,0.364,0.364,1.0,0.973
1000.0,3.0,0.95,,0.02,,0.9890000000000001,0.0,0.0,0.011000000000000001,0.011000000000000001,1.0,1.0
1000.0,3.0,0.95,,0.03,,0.9540000000000001,0.0,0.0,0.046,0.046,1.0,1.0
1000.0,3.0,0.95,,0.04,,0.941,0.0,0.0,0.059000000000000004,0.059000000000000004,1.0,1.0
1000.0,3.0,0.95,,0.07,,0.879,0.0,0.0,0.121,0.121,1.0,0.998
1000.0,3.0,0.95,,0.08,,0.826,0.0,0.0,0.174,0.174,1.0,0.997
1000.0,3.0,0.95,,0.09,,0.8009999999999999,0.0,0.0,0.19899999999999998,0.19899999999999998,1.0,0.991
1000.0,3.0,0.95,,0.12,,0.7240000000000001,0.0,0.0,0.276,0.276,1.0,0.987
1000.0,3.0,0.95,,0.13,,0.6779999999999999,0.0,0.0,0.322,0.322,1.0,0.9890000000000001
1000.0,3.0,0.95,,0.14,,0.672,0.0,0.0,0.32799999999999996,0.32799999999999996,1.0,0.985
1000.0,5.0,0.55,,0.02,,0.303,0.5579999999999999,0.138,0.001,0.001,0.495,0.9259999999999999
1000.0,5.0,0.55,,0.03,,0.149,0.551,0.285,0.015,0.015,0.522,0.884
1000.0,5.0,0.55,,0.04,,0.079,0.478,0.39899999999999997,0.044000000000000004,0.044000000000000004,0.532,0.852
