iterations,voters,mean,mean_bucket,std,std_bucket,optimal_is_strong_democracy,optimal_is_weak_democracy,optimal_is_weak_epistocracy,optimal_is_strong_epistocracy,optimal_is_expert_rule,optimal_agrees_majority
1000.0,5.0,0.65,,0.02,,0.992,0.008,0.0,0.0,0.0,1.0
1000.0,5.0,0.65,,0.03,,0.847,0.15,0.003,0.0,0.0,0.996
1000.0,5.0,0.65,,0.04,,0.586,0.384,0.03,0.0,0.0,0.969
1000.0,5.0,0.65,,0.07,,0.12,0.642,0.23,0.008,0.008,0.914
1000.0,5.0,0.65,,0.08,,0.076,0.576,0.295,0.053,0.053,0.872
1000.0,5.0,0.65,,0.09,,0.043,0.545,0.325,0.087,0.087,0.873
1000.0,5.0,0.65,,0.12,,0.006,0.317,0.365,0.312,0.312,0.835
1000.0,5.0,0.65,,0.13,,0.008,0.229,0.368,0.395,0.395,0.843
1000.0,5.0,0.65,,0.14,,0.001,0.166,0.372,0.461,0.461,0.859
1000.0,5.0,0.7,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,5.0,0.7,,0.03,,0.966,0.034,0.0,0.0,0.0,0.996
1000.0,5.0,0.7,,0.04,,0.79,0.205,0.005,0.0,0.0,0.991
1000.0,5.0,0.7,,0.07,,0.241,0.633,0.126,0.0,0.0,0.947
1000.0,5.0,0.7,,0.08,,0.158,0.661,0.176,0.005,0.005,0.929
1000.0,5.0,0.7,,0.09,,0.113,0.627,0.239,0.021,0.021,0.931
1000.0,5.0,0.7,,0.12,,0.025,0.459,0.392,0.124,0.124,0.882
1000.0,5.0,0.7,,0.13,,0.02,0.364,0.419,0.197,0.197,0.878
1000.0,5.0,0.7,,0.14,,0.021,0.317,0.437,0.225,0.225,0.87
1000.0,5.0,0.75,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,5.0,0.75,,0.03,,0.99,0.01,0.0,0.0,0.0,1.0
1000.0,5.0,0.75,,0.04,,0.899,0.101,0.0,0.0,0.0,0.994
1000.0,5.0,0.75,,0.07,,0.376,0.556,0.068,0.0,0.0,0.977
1000.0,5.0,0.75,,0.08,,0.251,0.646,0.101,0.002,0.002,0.969
1000.0,5.0,0.75,,0.09,,0.197,0.623,0.173,0.007,0.007,0.956
1000.0,5.0,0.75,,0.12,,0.055,0.549,0.322,0.074,0.074,0.935
1000.0,5.0,0.75,,0.13,,0.036,0.459,0.379,0.126,0.126,0.94
1000.0,5.0,0.75,,0.14,,0.023,0.432,0.366,0.179,0.179,0.922
1000.0,5.0,0.8,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,5.0,0.8,,0.03,,0.993,0.007,0.0,0.0,0.0,0.999
1000.0,5.0,0.8,,0.04,,0.93,0.069,0.001,0.0,0.0,0.999
1000.0,5.0,0.8,,0.07,,0.433,0.519,0.048,0.0,0.0,0.988
1000.0,5.0,0.8,,0.08,,0.335,0.571,0.094,0.0,0.0,0.982
1000.0,5.0,0.8,,0.09,,0.223,0.637,0.138,0.002,0.002,0.978
1000.0,5.0,0.8,,0.12,,0.07,0.578,0.29,0.062,0.062,0.962
1000.0,5.0,0.8,,0.13,,0.04,0.514,0.342,0.104,0.104,0.954
1000.0,5.0,0.8,,0.14,,0.032,0.466,0.38,0.122,0.122,0.952
1000.0,5.0,0.85,,0.02,,1.0,0.0,0.0,0.0,0.0,1.0
1000.0,5.0,0.85,,0.03,,0.996,0.004,0.0,0.0,0.0,1.0
1000.0,5.0,0.85,,0.04,,0.934,0.065,0.001,0.0,0.0,1.0
1000.0,5.0,0.85,,0.07,,0.432,0.515,0.053,0.0,0.0,0.991
