voters,mean,std,smr,mino-d,n-t-m-d,mino-t,expert,min-coll,majority_correct,expert_correct,compromise_correct
3.0,Lower,Lower,0.6286666666666667,0.37133333333333335,0.0,0.37133333333333335,0.37133333333333335,1.0,0.5846666666666667,0.580888888888889,0.5751666666666667
3.0,Lower,Medium,0.43233333333333335,0.5676666666666667,0.0,0.5676666666666667,0.5676666666666667,1.0,0.6210555555555556,0.6275,0.6184444444444445
3.0,Lower,Upper,0.3781111111111112,0.6218888888888889,0.0,0.6218888888888889,0.6218888888888889,1.0,0.669611111111111,0.676111111111111,0.6823333333333333
3.0,Medium,Lower,0.9974444444444445,0.0025555555555555557,0.0,0.0025555555555555557,0.0025555555555555557,1.0,0.8406666666666667,0.7759444444444443,0.7767222222222221
3.0,Medium,Medium,0.8453333333333334,0.15466666666666667,0.0,0.15466666666666667,0.15466666666666667,1.0,0.8402777777777778,0.8093333333333335,0.8146111111111111
3.0,Medium,Upper,0.6025555555555555,0.3974444444444445,0.0,0.3974444444444445,0.3974444444444445,1.0,0.840388888888889,0.8356666666666666,0.8376111111111112
3.0,Upper,Lower,0.9670000000000001,0.033,0.0,0.033,0.033,1.0,0.9868333333333335,0.9607777777777778,0.9610555555555558
3.0,Upper,Medium,0.8664444444444444,0.13355555555555554,0.0,0.13355555555555554,0.13355555555555554,1.0,0.979888888888889,0.9604444444444444,0.9596111111111111
3.0,Upper,Upper,0.7481111111111112,0.25188888888888883,0.0,0.25188888888888883,0.25188888888888883,1.0,0.9664444444444444,0.9500555555555555,0.9495555555555555
5.0,Lower,Lower,0.25333333333333335,0.7466666666666667,0.6912222222222223,0.055444444444444435,0.055444444444444435,0.5139999999999999,0.6084444444444445,0.5895555555555555,0.6135555555555556
5.0,Lower,Medium,0.051444444444444445,0.9485555555555556,0.8577777777777778,0.09077777777777779,0.09077777777777779,0.5398333333333333,0.649611111111111,0.6438333333333334,0.664888888888889
5.0,Lower,Upper,0.03666666666666667,0.9633333333333334,0.8267777777777777,0.13655555555555557,0.13655555555555557,0.5572777777777778,0.7007222222222222,0.7060555555555557,0.7148333333333333
5.0,Medium,Lower,0.9535555555555555,0.04644444444444445,0.04644444444444445,0.0,0.0,0.6567777777777778,0.8947222222222222,0.7858888888888889,0.8838333333333332
5.0,Medium,Medium,0.3927777777777777,0.6072222222222222,0.6047777777777777,0.002444444444444445,0.002444444444444445,0.6936111111111111,0.8958333333333334,0.8333888888888887,0.8928888888888888
5.0,Medium,Upper,0.12211111111111113,0.8778888888888888,0.8394444444444445,0.03844444444444445,0.03844444444444445,0.7312222222222222,0.8944444444444444,0.8650555555555556,0.9042222222222223
5.0,Upper,Lower,0.8045555555555555,0.19544444444444442,0.19511111111111112,0.0003333333333333333,0.0003333333333333333,0.9262777777777779,0.996388888888889,0.9657777777777778,0.9944444444444444
5.0,Upper,Medium,0.4254444444444444,0.5745555555555556,0.5725555555555556,0.002,0.002,0.9253333333333332,0.9937777777777779,0.9731666666666666,0.9947777777777779
5.0,Upper,Upper,0.24477777777777782,0.7552222222222222,0.7477777777777779,0.007444444444444446,0.007444444444444446,0.9078333333333334,0.988222222222222,0.968,0.9886666666666668
7.0,Lower,Lower,0.08188888888888889,0.9181111111111111,0.9046666666666666,0.013444444444444445,0.007222222222222223,0.27462962962963017,0.622388888888889,0.5932222222222223,0.6286666666666667
7.0,Lower,Medium,0.0032222222222222222,0.9967777777777778,0.9744444444444444,0.022333333333333334,0.010333333333333333,0.30477777777777776,0.6703333333333332,0.660888888888889,0.6826111111111111
7.0,Lower,Upper,0.0016666666666666666,0.9983333333333335,0.9592222222222223,0.039111111111111124,0.022444444444444444,0.34674074074074035,0.7286666666666667,0.725111111111111,0.7372222222222223
7.0,Medium,Lower,0.7936666666666666,0.20633333333333337,0.20633333333333337,0.0,0.0,0.4840370370370369,0.9272777777777779,0.7867777777777778,0.9225555555555555
7.0,Medium,Medium,0.09355555555555556,0.9064444444444446,0.9062222222222223,0.00022222222222222223,0.00022222222222222223,0.5433333333333334,0.9296111111111112,0.8405,0.9281111111111111
7.0,Medium,Upper,0.012555555555555554,0.9874444444444445,0.983,0.004444444444444445,0.004,0.5879999999999997,0.9240555555555555,0.8874444444444444,0.9309999999999999
7.0,Upper,Lower,0.5105555555555555,0.48944444444444446,0.48944444444444446,0.0,0.0,0.8928888888888866,0.9988888888888889,0.9711666666666665,0.9992222222222222
7.0,Upper,Medium,0.09666666666666666,0.9033333333333332,0.9033333333333332,0.0,0.0,0.882296296296294,0.9982777777777778,0.9806111111111111,0.9980000000000001
7.0,Upper,Upper,0.03466666666666666,0.9653333333333334,0.9650000000000001,0.0003333333333333333,0.0003333333333333333,0.8561481481481457,0.9956111111111112,0.973611111111111,0.9959444444444446
9.0,Lower,Lower,0.022222222222222223,0.9777777777777779,0.8724444444444445,0.10533333333333333,0.0008888888888888889,0.14852777777777776,0.6392222222222222,0.5969444444444444,0.6462777777777778
9.0,Lower,Medium,0.0,1.0,0.823888888888889,0.17611111111111113,0.001,0.1758888888888889,0.696388888888889,0.662611111111111,0.6925
9.0,Lower,Upper,0.0,1.0,0.7802222222222223,0.21977777777777777,0.004,0.2260277777777778,0.7551111111111112,0.7425555555555555,0.7599444444444445
9.0,Medium,Lower,0.5667777777777778,0.43322222222222223,0.43322222222222223,0.0,0.0,0.36680555555555555,0.9444444444444444,0.7925,0.9409444444444444
9.0,Medium,Medium,0.011222222222222224,0.9887777777777776,0.9876666666666668,0.0011111111111111111,0.0,0.42861111111111105,0.9456666666666665,0.8542222222222221,0.9461666666666666
9.0,Medium,Upper,0.0005555555555555556,0.9994444444444446,0.9637777777777777,0.03566666666666667,0.0007777777777777778,0.49502777777777784,0.9481666666666667,0.8928333333333334,0.9461666666666666
9.0,Upper,Lower,0.2817777777777778,0.7182222222222223,0.7182222222222223,0.0,0.0,0.8592222222222222,0.9995555555555556,0.974,0.9997222222222223
9.0,Upper,Medium,0.013111111111111113,0.986888888888889,0.9867777777777778,0.00011111111111111112,0.0,0.8476111111111111,0.9996111111111112,0.9822222222222222,0.9993333333333333
9.0,Upper,Upper,0.003222222222222222,0.9967777777777778,0.9955555555555556,0.0012222222222222226,0.0,0.8096666666666666,0.9983888888888889,0.9796111111111112,0.9981666666666668
11.0,Lower,Lower,0.00488888888888889,0.9951111111111111,0.6812222222222223,0.3138888888888888,0.00011111111111111112,0.08042222222222266,0.6526111111111111,0.6025555555555556,0.6567222222222223
11.0,Lower,Medium,0.0,1.0,0.47188888888888886,0.5281111111111111,0.00011111111111111112,0.10722222222222282,0.7146111111111111,0.6713888888888889,0.7122222222222221
11.0,Lower,Upper,0.0,1.0,0.3812222222222222,0.6187777777777779,0.0016666666666666666,0.1465777777777781,0.7768333333333334,0.744388888888889,0.7770555555555556
11.0,Medium,Lower,0.37244444444444447,0.6275555555555556,0.6275555555555556,0.0,0.0,0.2881111111111097,0.9586666666666667,0.8010555555555556,0.9607777777777778
11.0,Medium,Medium,0.0007777777777777778,0.9992222222222222,0.9806666666666667,0.018555555555555558,0.0,0.3534222222222208,0.9597777777777777,0.8628333333333332,0.9606111111111111
11.0,Medium,Upper,0.0,1.0,0.816,0.184,0.00022222222222222223,0.4115555555555546,0.9609444444444445,0.9073333333333333,0.9600000000000001
11.0,Upper,Lower,0.1541111111111111,0.8458888888888888,0.8457777777777777,0.00011111111111111112,0.0,0.8289333333333316,0.9998888888888889,0.9767777777777779,1.0
11.0,Upper,Medium,0.0007777777777777778,0.9992222222222225,0.9967777777777778,0.0024444444444444444,0.0,0.8168888888888866,0.9995555555555556,0.9847222222222223,0.9995555555555556
11.0,Upper,Upper,0.00011111111111111112,0.9998888888888889,0.9694444444444444,0.030444444444444448,0.0,0.7751777777777764,0.9995555555555556,0.9818888888888888,0.9992777777777779
