voters,mean_bucket,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,majority_correct,expert_correct
3.0,Lower,Lower,0.786,0.214,0.0,0.214,0.214,1.0,0.575,0.555
3.0,Lower,Medium,0.548,0.452,0.0,0.452,0.452,1.0,0.605,0.617
3.0,Lower,Upper,0.336,0.664,0.0,0.664,0.664,1.0,0.788,0.815
3.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,1.0,0.833,0.753
3.0,Medium,Medium,0.903,0.097,0.0,0.097,0.097,1.0,0.843,0.794
3.0,Medium,Upper,0.392,0.608,0.0,0.608,0.608,1.0,0.844,0.865
3.0,Upper,Lower,0.997,0.003,0.0,0.003,0.003,1.0,0.989,0.951
3.0,Upper,Medium,0.906,0.094,0.0,0.094,0.094,1.0,0.98,0.96
3.0,Upper,Upper,0.454,0.546,0.0,0.546,0.546,1.0,0.889,0.894
5.0,Lower,Lower,0.669,0.331,0.277,0.055,0.055,0.518,0.588,0.561
5.0,Lower,Medium,0.204,0.796,0.716,0.08,0.08,0.523,0.635,0.621
5.0,Lower,Upper,0.026,0.974,0.775,0.199,0.199,0.721,0.83,0.861
5.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,0.632,0.888,0.76
5.0,Medium,Medium,0.65,0.35,0.346,0.004,0.004,0.666,0.891,0.808
5.0,Medium,Upper,0.05,0.95,0.804,0.145,0.145,0.767,0.902,0.899
5.0,Upper,Lower,0.977,0.023,0.023,0.0,0.0,0.913,0.997,0.951
5.0,Upper,Medium,0.623,0.377,0.374,0.002,0.002,0.927,0.994,0.964
5.0,Upper,Upper,0.077,0.923,0.791,0.132,0.132,0.838,0.929,0.935
7.0,Lower,Lower,0.633,0.367,0.356,0.011,0.005,0.261,0.604,0.571
7.0,Lower,Medium,0.115,0.885,0.866,0.019,0.008,0.272,0.649,0.626
7.0,Lower,Upper,0.002,0.998,0.942,0.056,0.043,0.591,0.866,0.883
7.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,0.45,0.92,0.75
7.0,Medium,Medium,0.439,0.561,0.561,0.0,0.0,0.513,0.922,0.819
7.0,Medium,Upper,0.004,0.996,0.944,0.052,0.034,0.648,0.928,0.926
7.0,Upper,Lower,0.904,0.096,0.096,0.0,0.0,0.871,0.999,0.955
7.0,Upper,Medium,0.345,0.655,0.655,0.0,0.0,0.881,0.998,0.973
7.0,Upper,Upper,0.008,0.992,0.954,0.038,0.026,0.735,0.953,0.95
9.0,Lower,Lower,0.596,0.404,0.322,0.082,0.0,0.145,0.609,0.55
9.0,Lower,Medium,0.075,0.925,0.784,0.141,0.0,0.159,0.666,0.634
9.0,Lower,Upper,0.0,1.0,0.716,0.284,0.01,0.471,0.898,0.895
9.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,0.338,0.943,0.756
9.0,Medium,Medium,0.319,0.681,0.678,0.003,0.0,0.402,0.94,0.815
9.0,Medium,Upper,0.001,0.999,0.787,0.212,0.005,0.559,0.948,0.935
9.0,Upper,Lower,0.795,0.205,0.205,0.0,0.0,0.837,1.0,0.951
9.0,Upper,Medium,0.207,0.793,0.793,0.0,0.0,0.856,0.999,0.978
9.0,Upper,Upper,0.0,1.0,0.81,0.19,0.005,0.673,0.967,0.96
11.0,Lower,Lower,0.538,0.462,0.234,0.228,0.0,0.07,0.621,0.562
11.0,Lower,Medium,0.054,0.946,0.539,0.407,0.0,0.094,0.686,0.64
11.0,Lower,Upper,0.0,1.0,0.307,0.693,0.002,0.399,0.905,0.906
11.0,Medium,Lower,1.0,0.0,0.0,0.0,0.0,0.25,0.964,0.757
11.0,Medium,Medium,0.25,0.75,0.731,0.019,0.0,0.321,0.959,0.83
11.0,Medium,Upper,0.0,1.0,0.44,0.56,0.002,0.493,0.964,0.945
11.0,Upper,Lower,0.727,0.273,0.273,0.0,0.0,0.804,1.0,0.951
11.0,Upper,Medium,0.155,0.845,0.843,0.002,0.0,0.815,1.0,0.978
11.0,Upper,Upper,0.0,1.0,0.508,0.492,0.001,0.6,0.979,0.965
