iterations,voters,mean,mean_bucket,std,std_bucket,simple_majority_optimal,minority_decisiveness_optimal,non_tyrannic_minority_decisiveness_optimal,minority_tyranny_optimal,expert_tyranny_optimal,minority_colluding,majority_correct,expert_correct
1000.0,3.0,0.5,,0.001,,0.343,0.657,0.0,0.657,0.657,1.0,0.507,0.515
1000.0,3.0,0.5,,0.003,,0.384,0.616,0.0,0.616,0.616,1.0,0.4955,0.501
1000.0,3.0,0.5,,0.005,,0.349,0.651,0.0,0.651,0.651,1.0,0.489,0.501
1000.0,3.0,0.5,,0.007,,0.351,0.649,0.0,0.649,0.649,1.0,0.502,0.5045
1000.0,3.0,0.5,,0.009,,0.367,0.633,0.0,0.633,0.633,1.0,0.514,0.5095
1000.0,3.0,0.5,,0.01,,0.331,0.669,0.0,0.669,0.669,1.0,0.5045,0.515
1000.0,3.0,0.5,,0.03,,0.335,0.665,0.0,0.665,0.665,1.0,0.5495,0.5545
1000.0,3.0,0.5,,0.05,,0.364,0.636,0.0,0.636,0.636,1.0,0.545,0.5475
1000.0,3.0,0.5,,0.07,,0.313,0.687,0.0,0.687,0.687,1.0,0.599,0.5765
1000.0,3.0,0.5,,0.09,,0.33,0.67,0.0,0.67,0.67,1.0,0.6155,0.619
1000.0,3.0,0.5,,0.1,,0.331,0.669,0.0,0.669,0.669,1.0,0.617,0.628
1000.0,3.0,0.5,,0.3,,0.298,0.702,0.0,0.702,0.702,1.0,0.7795,0.808
1000.0,3.0,0.5,,0.5,,0.32,0.68,0.0,0.68,0.68,1.0,0.8275,0.859
1000.0,3.0,0.5,,0.7,,0.324,0.676,0.0,0.676,0.676,1.0,0.8225,0.8465
1000.0,3.0,0.5,,0.9,,0.321,0.679,0.0,0.679,0.679,1.0,0.8365,0.8665
1000.0,3.0,0.55,,0.001,,1.0,0.0,0.0,0.0,0.0,1.0,0.5885,0.5335
1000.0,3.0,0.55,,0.003,,1.0,0.0,0.0,0.0,0.0,1.0,0.58,0.546
1000.0,3.0,0.55,,0.005,,1.0,0.0,0.0,0.0,0.0,1.0,0.5655,0.5535
1000.0,3.0,0.55,,0.007,,1.0,0.0,0.0,0.0,0.0,1.0,0.5825,0.575
1000.0,3.0,0.55,,0.009,,0.996,0.004,0.0,0.004,0.004,1.0,0.574,0.5785
1000.0,3.0,0.55,,0.01,,0.99,0.01,0.0,0.01,0.01,1.0,0.5825,0.5385
1000.0,3.0,0.55,,0.03,,0.602,0.398,0.0,0.398,0.398,1.0,0.575,0.5925
1000.0,3.0,0.55,,0.05,,0.452,0.548,0.0,0.548,0.548,1.0,0.5715,0.5795
1000.0,3.0,0.55,,0.07,,0.397,0.603,0.0,0.603,0.603,1.0,0.6025,0.63
1000.0,3.0,0.55,,0.09,,0.407,0.593,0.0,0.593,0.593,1.0,0.648,0.655
1000.0,3.0,0.55,,0.1,,0.355,0.645,0.0,0.645,0.645,1.0,0.6425,0.659
1000.0,3.0,0.55,,0.3,,0.31,0.69,0.0,0.69,0.69,1.0,0.789,0.8195
1000.0,3.0,0.55,,0.5,,0.282,0.718,0.0,0.718,0.718,1.0,0.8225,0.8555
1000.0,3.0,0.55,,0.7,,0.321,0.679,0.0,0.679,0.679,1.0,0.843,0.8695
1000.0,3.0,0.55,,0.9,,0.3,0.7,0.0,0.7,0.7,1.0,0.8255,0.8665
1000.0,3.0,0.6,,0.001,,1.0,0.0,0.0,0.0,0.0,1.0,0.6425,0.5965
1000.0,3.0,0.6,,0.003,,1.0,0.0,0.0,0.0,0.0,1.0,0.649,0.6
1000.0,3.0,0.6,,0.005,,1.0,0.0,0.0,0.0,0.0,1.0,0.6625,0.615
1000.0,3.0,0.6,,0.007,,1.0,0.0,0.0,0.0,0.0,1.0,0.664,0.61
1000.0,3.0,0.6,,0.009,,1.0,0.0,0.0,0.0,0.0,1.0,0.6685,0.587
1000.0,3.0,0.6,,0.01,,1.0,0.0,0.0,0.0,0.0,1.0,0.6475,0.5945
1000.0,3.0,0.6,,0.03,,0.9,0.1,0.0,0.1,0.1,1.0,0.6505,0.631
1000.0,3.0,0.6,,0.05,,0.652,0.348,0.0,0.348,0.348,1.0,0.646,0.6485
1000.0,3.0,0.6,,0.07,,0.543,0.457,0.0,0.457,0.457,1.0,0.669,0.6695
1000.0,3.0,0.6,,0.09,,0.469,0.531,0.0,0.531,0.531,1.0,0.68,0.6655
1000.0,3.0,0.6,,0.1,,0.436,0.564,0.0,0.564,0.564,1.0,0.675,0.703
1000.0,3.0,0.6,,0.3,,0.324,0.676,0.0,0.676,0.676,1.0,0.8155,0.8425
1000.0,3.0,0.6,,0.5,,0.322,0.678,0.0,0.678,0.678,1.0,0.8385,0.867
1000.0,3.0,0.6,,0.7,,0.312,0.688,0.0,0.688,0.688,1.0,0.828,0.858
1000.0,3.0,0.6,,0.9,,0.339,0.661,0.0,0.661,0.661,1.0,0.83,0.8735
1000.0,3.0,0.7,,0.001,,1.0,0.0,0.0,0.0,0.0,1.0,0.7925,0.6925
