voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
31,0.55,1.28,0.50248197988839,0.2851790594248402,0.494,-0.003,-0.008,1.0,0.506
41,0.55,1.28,0.50248197988839,0.2851790594248402,0.516,0.011,0.014,1.0,0.484
51,0.55,1.28,0.50248197988839,0.2851790594248402,0.483,-0.017,-0.019,1.0,0.517
3,0.55,2.56,0.5006300395384596,0.2873680293553028,0.499,0.0,-0.002,0.895,0.396
5,0.55,2.56,0.5006300395384596,0.2873680293553028,0.475,-0.012,-0.026,0.939,0.464
7,0.55,2.56,0.5006300395384596,0.2873680293553028,0.516,0.021,0.015,0.965,0.449
9,0.55,2.56,0.5006300395384596,0.2873680293553028,0.507,-0.005,0.006,0.974,0.467
11,0.55,2.56,0.5006300395384596,0.2873680293553028,0.492,-0.008,-0.009,0.987,0.495
21,0.55,2.56,0.5006300395384596,0.2873680293553028,0.479,-0.007,-0.022,0.998,0.519
31,0.55,2.56,0.5006300395384596,0.2873680293553028,0.491,0.006,-0.01,1.0,0.509
41,0.55,2.56,0.5006300395384596,0.2873680293553028,0.478,-0.007,-0.023,1.0,0.522
51,0.55,2.56,0.5006300395384596,0.2873680293553028,0.51,0.016,0.009,1.0,0.49
3,0.6,0.02,0.6,0.02,0.647,0.0,0.047,0.646,-0.001
5,0.6,0.02,0.6,0.02,0.688,0.02,0.088,0.689,0.001
7,0.6,0.02,0.6,0.02,0.696,0.004,0.096,0.697,0.001
9,0.6,0.02,0.6,0.02,0.717,0.011,0.117,0.716,-0.001
11,0.6,0.02,0.6,0.02,0.733,0.008,0.133,0.738,0.005
21,0.6,0.02,0.6,0.02,0.837,0.052,0.237,0.848,0.011
31,0.6,0.02,0.6,0.02,0.87,0.017,0.27,0.873,0.003
41,0.6,0.02,0.6,0.02,0.914,0.022,0.314,0.914,0.0
51,0.6,0.02,0.6,0.02,0.93,0.008,0.33,0.931,0.001
3,0.6,0.04,0.6,0.04,0.647,0.0,0.047,0.646,-0.001
5,0.6,0.04,0.6,0.04,0.688,0.02,0.088,0.698,0.01
7,0.6,0.04,0.6,0.04,0.711,0.012,0.111,0.719,0.008
9,0.6,0.04,0.6,0.04,0.734,0.012,0.134,0.75,0.016
11,0.6,0.04,0.6,0.04,0.745,0.006,0.145,0.76,0.015
21,0.6,0.04,0.6,0.04,0.828,0.041,0.228,0.853,0.025
31,0.6,0.04,0.6,0.04,0.863,0.018,0.263,0.885,0.022
41,0.6,0.04,0.6,0.04,0.911,0.024,0.311,0.93,0.019
51,0.6,0.04,0.6,0.04,0.925,0.007,0.325,0.929,0.004
3,0.6,0.08,0.5999998734014987,0.0799996842941309,0.642,0.0,0.042,0.667,0.025
5,0.6,0.08,0.5999998734014987,0.0799996842941309,0.711,0.034,0.111,0.742,0.031
7,0.6,0.08,0.5999998734014987,0.0799996842941309,0.716,0.003,0.116,0.76,0.044
9,0.6,0.08,0.5999998734014987,0.0799996842941309,0.714,-0.001,0.114,0.791,0.077
11,0.6,0.08,0.5999998734014987,0.0799996842941309,0.758,0.022,0.158,0.821,0.063
21,0.6,0.08,0.5999998734014987,0.0799996842941309,0.836,0.039,0.236,0.894,0.058
31,0.6,0.08,0.5999998734014987,0.0799996842941309,0.865,0.015,0.265,0.932,0.067
41,0.6,0.08,0.5999998734014987,0.0799996842941309,0.901,0.018,0.301,0.952,0.051
51,0.6,0.08,0.5999998734014987,0.0799996842941309,0.925,0.012,0.325,0.972,0.047
3,0.6,0.16,0.5971911076667299,0.1562477317575884,0.629,0.0,0.032,0.768,0.139
5,0.6,0.16,0.5971911076667299,0.1562477317575884,0.683,0.027,0.086,0.815,0.132
