voters,mean,std,ratio_difference_to_mean,ratio_correct
5,0.6,0.64,0.779,0.955
7,0.6,0.64,0.811,0.956
9,0.6,0.64,0.887,0.973
11,0.6,0.64,0.866,0.967
21,0.6,0.64,0.98,0.995
31,0.6,0.64,0.992,0.998
41,0.6,0.64,0.996,0.999
51,0.6,0.64,1.0,1.0
3,0.6,1.28,0.674,0.952
5,0.6,1.28,0.78,0.955
7,0.6,1.28,0.819,0.958
9,0.6,1.28,0.868,0.968
11,0.6,1.28,0.903,0.976
21,0.6,1.28,0.976,0.994
31,0.6,1.28,0.992,0.998
41,0.6,1.28,1.0,1.0
51,0.6,1.28,1.0,1.0
3,0.6,2.56,0.672,0.952
5,0.6,2.56,0.78,0.956
7,0.6,2.56,0.817,0.96
9,0.6,2.56,0.811,0.955
11,0.6,2.56,0.898,0.976
21,0.6,2.56,0.988,0.997
31,0.6,2.56,1.004,1.001
41,0.6,2.56,1.0,1.0
51,0.6,2.56,1.0,1.0
3,0.65,0.02,1.0,1.0
5,0.65,0.02,1.0,1.0
7,0.65,0.02,1.0,1.0
9,0.65,0.02,1.0,1.0
11,0.65,0.02,1.006,1.001
21,0.65,0.02,0.996,0.999
31,0.65,0.02,0.991,0.997
41,0.65,0.02,0.994,0.998
51,0.65,0.02,1.0,1.0
3,0.65,0.04,0.953,0.995
5,0.65,0.04,1.009,1.001
7,0.65,0.04,0.961,0.993
9,0.65,0.04,1.033,1.007
11,0.65,0.04,0.982,0.995
21,0.65,0.04,0.958,0.987
31,0.65,0.04,0.959,0.987
41,0.65,0.04,0.967,0.989
51,0.65,0.04,0.979,0.993
3,0.65,0.08,1.036,1.004
5,0.65,0.08,0.921,0.985
7,0.65,0.08,0.884,0.976
9,0.65,0.08,0.939,0.985
11,0.65,0.08,0.932,0.983
21,0.65,0.08,0.913,0.973
31,0.65,0.08,0.962,0.988
41,0.65,0.08,0.953,0.984
51,0.65,0.08,0.982,0.994
3,0.65,0.16,0.481,0.931
5,0.65,0.16,0.75,0.944
7,0.65,0.16,0.761,0.942
9,0.65,0.16,0.824,0.953
11,0.65,0.16,0.84,0.956
21,0.65,0.16,0.87,0.961
31,0.65,0.16,0.961,0.988
41,0.65,0.16,0.987,0.996
51,0.65,0.16,0.997,0.999
3,0.65,0.32,0.699,0.953
5,0.65,0.32,0.771,0.953
7,0.65,0.32,0.86,0.967
9,0.65,0.32,0.866,0.967
11,0.65,0.32,0.95,0.988
21,0.65,0.32,0.955,0.988
31,0.65,0.32,0.993,0.998
41,0.65,0.32,0.996,0.999
51,0.65,0.32,1.004,1.001
3,0.65,0.64,0.707,0.954
5,0.65,0.64,0.786,0.957
7,0.65,0.64,0.82,0.959
9,0.65,0.64,0.857,0.966
11,0.65,0.64,0.883,0.972
21,0.65,0.64,0.976,0.994
31,0.65,0.64,1.0,1.0
41,0.65,0.64,1.0,1.0
51,0.65,0.64,1.0,1.0
3,0.65,1.28,0.733,0.96
5,0.65,1.28,0.772,0.956
7,0.65,1.28,0.858,0.968
9,0.65,1.28,0.879,0.971
11,0.65,1.28,0.886,0.973
21,0.65,1.28,0.972,0.993
31,0.65,1.28,1.0,1.0
41,0.65,1.28,0.996,0.999
51,0.65,1.28,1.0,1.0
3,0.65,2.56,0.727,0.954
5,0.65,2.56,0.821,0.963
7,0.65,2.56,0.844,0.964
9,0.65,2.56,0.901,0.977
11,0.65,2.56,0.9,0.976
21,0.65,2.56,0.968,0.992
31,0.65,2.56,1.0,1.0
41,0.65,2.56,1.0,1.0
51,0.65,2.56,1.0,1.0
3,0.7,0.02,1.0,1.0
5,0.7,0.02,1.0,1.0
7,0.7,0.02,1.0,1.0
9,0.7,0.02,1.0,1.0
11,0.7,0.02,0.991,0.998
21,0.7,0.02,0.996,0.999
31,0.7,0.02,1.007,1.002
41,0.7,0.02,0.99,0.997
51,0.7,0.02,1.003,1.001
3,0.7,0.04,1.0,1.0
5,0.7,0.04,0.993,0.999
7,0.7,0.04,0.966,0.993
9,0.7,0.04,0.99,0.998
11,0.7,0.04,0.991,0.998
21,0.7,0.04,1.0,1.0
31,0.7,0.04,1.0,1.0
41,0.7,0.04,0.997,0.999
51,0.7,0.04,1.0,1.0
3,0.7,0.08,0.933,0.991
5,0.7,0.08,0.885,0.978
7,0.7,0.08,0.934,0.986
9,0.7,0.08,0.876,0.971
11,0.7,0.08,0.931,0.983
21,0.7,0.08,0.982,0.995
31,0.7,0.08,0.973,0.992
41,0.7,0.08,1.0,1.0
51,0.7,0.08,1.0,1.0
3,0.7,0.16,0.791,0.968
5,0.7,0.16,0.777,0.956
7,0.7,0.16,0.843,0.966
9,0.7,0.16,0.857,0.965
11,0.7,0.16,0.847,0.961
21,0.7,0.16,0.946,0.985
31,0.7,0.16,0.993,0.998
41,0.7,0.16,1.004,1.001
51,0.7,0.16,1.0,1.0
3,0.7,0.32,0.6,0.933
5,0.7,0.32,0.76,0.953
7,0.7,0.32,0.825,0.961
9,0.7,0.32,0.914,0.979
11,0.7,0.32,0.884,0.972
21,0.7,0.32,0.954,0.988
31,0.7,0.32,0.996,0.999
41,0.7,0.32,1.0,1.0
51,0.7,0.32,1.0,1.0
3,0.7,0.64,0.75,0.967
5,0.7,0.64,0.717,0.942
7,0.7,0.64,0.803,0.955
9,0.7,0.64,0.868,0.969
11,0.7,0.64,0.9,0.976
21,0.7,0.64,0.964,0.991
31,0.7,0.64,0.992,0.998
41,0.7,0.64,1.0,1.0
51,0.7,0.64,1.0,1.0
3,0.7,1.28,0.696,0.953
5,0.7,1.28,0.763,0.951
7,0.7,1.28,0.845,0.965
9,0.7,1.28,0.854,0.965
11,0.7,1.28,0.886,0.972
21,0.7,1.28,0.964,0.991
31,0.7,1.28,0.992,0.998
41,0.7,1.28,0.996,0.999
51,0.7,1.28,1.0,1.0
3,0.7,2.56,0.762,0.965
5,0.7,2.56,0.799,0.958
7,0.7,2.56,0.847,0.966
9,0.7,2.56,0.901,0.977
11,0.7,2.56,0.897,0.975
21,0.7,2.56,0.96,0.99
31,0.7,2.56,0.992,0.998
41,0.7,2.56,1.0,1.0
51,0.7,2.56,1.0,1.0
3,0.75,0.02,1.0,1.0
5,0.75,0.02,1.0,1.0
7,0.75,0.02,1.0,1.0
9,0.75,0.02,1.0,1.0
11,0.75,0.02,1.0,1.0
21,0.75,0.02,1.0,1.0
31,0.75,0.02,1.0,1.0
41,0.75,0.02,1.0,1.0
51,0.75,0.02,1.0,1.0
3,0.75,0.04,1.0,1.0
5,0.75,0.04,1.013,1.002
7,0.75,0.04,1.006,1.001
9,0.75,0.04,0.985,0.997
11,0.75,0.04,1.005,1.001
21,0.75,0.04,0.996,0.999
31,0.75,0.04,1.0,1.0
41,0.75,0.04,1.0,1.0
51,0.75,0.04,1.0,1.0
3,0.75,0.08,0.915,0.992
5,0.75,0.08,0.938,0.989
7,0.75,0.08,1.023,1.004
9,0.75,0.08,0.981,0.996
11,0.75,0.08,0.952,0.989
21,0.75,0.08,0.992,0.998
31,0.75,0.08,1.004,1.001
41,0.75,0.08,1.0,1.0
51,0.75,0.08,1.0,1.0
3,0.75,0.16,0.76,0.967
5,0.75,0.16,0.958,0.992
7,0.75,0.16,0.888,0.976
9,0.75,0.16,0.944,0.987
11,0.75,0.16,0.905,0.977
21,0.75,0.16,0.98,0.995
31,0.75,0.16,1.0,1.0
41,0.75,0.16,1.0,1.0
51,0.75,0.16,1.0,1.0
3,0.75,0.32,0.795,0.971
5,0.75,0.32,0.797,0.959
7,0.75,0.32,0.861,0.968
9,0.75,0.32,0.86,0.966
11,0.75,0.32,0.928,0.983
21,0.75,0.32,0.972,0.993
31,0.75,0.32,1.0,1.0
41,0.75,0.32,1.0,1.0
51,0.75,0.32,0.996,0.999
3,0.75,0.64,0.738,0.963
5,0.75,0.64,0.784,0.956
7,0.75,0.64,0.852,0.967
9,0.75,0.64,0.869,0.969
11,0.75,0.64,0.887,0.973
21,0.75,0.64,0.968,0.992
31,0.75,0.64,0.996,0.999
41,0.75,0.64,1.0,1.0
51,0.75,0.64,1.0,1.0
3,0.75,1.28,0.785,0.968
5,0.75,1.28,0.737,0.947
7,0.75,1.28,0.788,0.952
9,0.75,1.28,0.897,0.976
11,0.75,1.28,0.879,0.971
21,0.75,1.28,0.968,0.992
31,0.75,1.28,0.992,0.998
41,0.75,1.28,1.0,1.0
51,0.75,1.28,1.0,1.0
3,0.75,2.56,0.761,0.964
5,0.75,2.56,0.774,0.954
7,0.75,2.56,0.797,0.954
9,0.75,2.56,0.83,0.96
11,0.75,2.56,0.897,0.976
21,0.75,2.56,0.964,0.991
31,0.75,2.56,0.992,0.998
41,0.75,2.56,1.0,1.0
51,0.75,2.56,1.0,1.0
3,0.8,0.02,1.0,1.0
5,0.8,0.02,1.0,1.0
7,0.8,0.02,1.0,1.0
9,0.8,0.02,1.0,1.0
11,0.8,0.02,1.0,1.0
21,0.8,0.02,1.0,1.0
31,0.8,0.02,1.0,1.0
41,0.8,0.02,1.0,1.0
51,0.8,0.02,1.0,1.0
3,0.8,0.04,1.0,1.0
5,0.8,0.04,1.0,1.0
7,0.8,0.04,0.994,0.999
9,0.8,0.04,1.006,1.001
11,0.8,0.04,0.989,0.998
21,0.8,0.04,1.0,1.0
31,0.8,0.04,1.0,1.0
41,0.8,0.04,1.0,1.0
51,0.8,0.04,1.0,1.0
3,0.8,0.08,0.889,0.988
5,0.8,0.08,0.958,0.994
7,0.8,0.08,0.947,0.991
9,0.8,0.08,1.0,1.0
11,0.8,0.08,0.964,0.993
21,0.8,0.08,0.995,0.999
31,0.8,0.08,1.0,1.0
41,0.8,0.08,1.0,1.0
51,0.8,0.08,1.0,1.0
3,0.8,0.16,0.642,0.956
5,0.8,0.16,0.84,0.972
7,0.8,0.16,0.928,0.986
9,0.8,0.16,0.92,0.983
11,0.8,0.16,0.935,0.986
21,0.8,0.16,0.991,0.998
31,0.8,0.16,1.0,1.0
41,0.8,0.16,1.0,1.0
51,0.8,0.16,1.0,1.0
3,0.8,0.32,0.722,0.96
5,0.8,0.32,0.891,0.981
7,0.8,0.32,0.852,0.968
9,0.8,0.32,0.87,0.97
11,0.8,0.32,0.917,0.981
21,0.8,0.32,0.983,0.996
31,0.8,0.32,0.992,0.998
41,0.8,0.32,1.0,1.0
51,0.8,0.32,1.0,1.0
3,0.8,0.64,0.667,0.947
5,0.8,0.64,0.8,0.96
7,0.8,0.64,0.874,0.972
9,0.8,0.64,0.852,0.965
11,0.8,0.64,0.899,0.976
21,0.8,0.64,0.976,0.994
31,0.8,0.64,0.996,0.999
41,0.8,0.64,0.996,0.999
51,0.8,0.64,1.0,1.0
3,0.8,1.28,0.755,0.961
5,0.8,1.28,0.834,0.967
7,0.8,1.28,0.803,0.957
9,0.8,1.28,0.841,0.963
11,0.8,1.28,0.866,0.968
21,0.8,1.28,0.984,0.996
31,0.8,1.28,0.992,0.998
41,0.8,1.28,1.0,1.0
51,0.8,1.28,1.0,1.0
3,0.8,2.56,0.73,0.958
5,0.8,2.56,0.82,0.964
7,0.8,2.56,0.833,0.962
9,0.8,2.56,0.886,0.973
11,0.8,2.56,0.908,0.978
21,0.8,2.56,0.972,0.993
31,0.8,2.56,1.0,1.0
41,0.8,2.56,1.0,1.0
51,0.8,2.56,1.0,1.0
3,0.85,0.02,1.0,1.0
5,0.85,0.02,1.0,1.0
7,0.85,0.02,1.0,1.0
9,0.85,0.02,1.0,1.0
11,0.85,0.02,1.0,1.0
21,0.85,0.02,1.0,1.0
31,0.85,0.02,1.0,1.0
41,0.85,0.02,1.0,1.0
51,0.85,0.02,1.0,1.0
3,0.85,0.04,1.0,1.0
5,0.85,0.04,1.0,1.0
7,0.85,0.04,0.993,0.999
9,0.85,0.04,0.993,0.999
11,0.85,0.04,0.993,0.999
21,0.85,0.04,1.0,1.0
31,0.85,0.04,1.0,1.0
41,0.85,0.04,1.0,1.0
51,0.85,0.04,1.0,1.0
3,0.85,0.08,0.962,0.996
5,0.85,0.08,0.992,0.999
7,0.85,0.08,0.946,0.992
9,0.85,0.08,0.987,0.998
11,0.85,0.08,0.987,0.998
21,0.85,0.08,1.0,1.0
31,0.85,0.08,1.0,1.0
41,0.85,0.08,1.0,1.0
51,0.85,0.08,1.0,1.0
3,0.85,0.16,0.87,0.985
5,0.85,0.16,0.887,0.981
7,0.85,0.16,0.911,0.984
9,0.85,0.16,0.921,0.986
11,0.85,0.16,0.963,0.993
21,0.85,0.16,0.985,0.997
31,0.85,0.16,1.0,1.0
41,0.85,0.16,1.0,1.0
51,0.85,0.16,1.0,1.0
3,0.85,0.32,0.764,0.967
5,0.85,0.32,0.726,0.949
7,0.85,0.32,0.883,0.976
9,0.85,0.32,0.884,0.975
11,0.85,0.32,0.892,0.976
21,0.85,0.32,0.983,0.996
31,0.85,0.32,1.0,1.0
41,0.85,0.32,0.996,0.999
51,0.85,0.32,1.0,1.0
3,0.85,0.64,0.664,0.952
5,0.85,0.64,0.805,0.961
7,0.85,0.64,0.798,0.956
9,0.85,0.64,0.891,0.975
11,0.85,0.64,0.902,0.977
21,0.85,0.64,0.992,0.998
31,0.85,0.64,1.0,1.0
41,0.85,0.64,1.0,1.0
51,0.85,0.64,1.0,1.0
3,0.85,1.28,0.691,0.953
5,0.85,1.28,0.769,0.955
7,0.85,1.28,0.844,0.965
9,0.85,1.28,0.898,0.976
11,0.85,1.28,0.881,0.971
21,0.85,1.28,0.996,0.999
31,0.85,1.28,1.0,1.0
41,0.85,1.28,1.0,1.0
51,0.85,1.28,1.0,1.0
3,0.85,2.56,0.71,0.957
5,0.85,2.56,0.727,0.946
7,0.85,2.56,0.789,0.952
9,0.85,2.56,0.859,0.966
11,0.85,2.56,0.846,0.963
21,0.85,2.56,0.976,0.994
31,0.85,2.56,1.0,1.0
41,0.85,2.56,1.0,1.0
51,0.85,2.56,1.0,1.0
3,0.9,0.02,1.0,1.0
5,0.9,0.02,1.0,1.0
7,0.9,0.02,1.0,1.0
9,0.9,0.02,1.0,1.0
11,0.9,0.02,1.0,1.0
21,0.9,0.02,1.0,1.0
31,0.9,0.02,1.0,1.0
41,0.9,0.02,1.0,1.0
51,0.9,0.02,1.0,1.0
3,0.9,0.04,1.0,1.0
5,0.9,0.04,1.0,1.0
7,0.9,0.04,1.0,1.0
9,0.9,0.04,1.0,1.0
11,0.9,0.04,1.0,1.0
21,0.9,0.04,1.0,1.0
31,0.9,0.04,1.0,1.0
41,0.9,0.04,1.0,1.0
51,0.9,0.04,1.0,1.0
3,0.9,0.08,0.962,0.997
5,0.9,0.08,0.954,0.995
7,0.9,0.08,1.0,1.0
9,0.9,0.08,0.983,0.998
11,0.9,0.08,1.0,1.0
21,0.9,0.08,1.0,1.0
31,0.9,0.08,1.0,1.0
41,0.9,0.08,1.0,1.0
51,0.9,0.08,1.0,1.0
3,0.9,0.16,0.896,0.988
5,0.9,0.16,0.897,0.985
7,0.9,0.16,0.939,0.99
9,0.9,0.16,0.994,0.999
11,0.9,0.16,0.97,0.995
21,0.9,0.16,0.994,0.999
31,0.9,0.16,1.0,1.0
41,0.9,0.16,1.0,1.0
51,0.9,0.16,1.0,1.0
3,0.9,0.32,0.819,0.973
5,0.9,0.32,0.816,0.966
7,0.9,0.32,0.955,0.991
9,0.9,0.32,0.911,0.981
11,0.9,0.32,0.943,0.988
21,0.9,0.32,0.995,0.999
31,0.9,0.32,1.0,1.0
41,0.9,0.32,1.0,1.0
51,0.9,0.32,1.0,1.0
3,0.9,0.64,0.719,0.968
5,0.9,0.64,0.782,0.96
7,0.9,0.64,0.847,0.967
9,0.9,0.64,0.81,0.956
11,0.9,0.64,0.925,0.983
21,0.9,0.64,0.988,0.997
31,0.9,0.64,1.0,1.0
41,0.9,0.64,1.0,1.0
51,0.9,0.64,1.0,1.0
3,0.9,1.28,0.695,0.955
5,0.9,1.28,0.742,0.951
7,0.9,1.28,0.857,0.968
9,0.9,1.28,0.866,0.968
11,0.9,1.28,0.933,0.984
21,0.9,1.28,0.984,0.996
31,0.9,1.28,0.996,0.999
41,0.9,1.28,1.0,1.0
51,0.9,1.28,1.0,1.0
3,0.9,2.56,0.694,0.951
5,0.9,2.56,0.758,0.952
7,0.9,2.56,0.851,0.968
9,0.9,2.56,0.923,0.982
11,0.9,2.56,0.891,0.974
21,0.9,2.56,0.972,0.993
31,0.9,2.56,0.996,0.999
41,0.9,2.56,1.0,1.0
51,0.9,2.56,1.0,1.0
3,0.95,0.02,1.0,1.0
5,0.95,0.02,1.0,1.0
7,0.95,0.02,1.0,1.0
9,0.95,0.02,1.0,1.0
11,0.95,0.02,1.0,1.0
21,0.95,0.02,1.0,1.0
31,0.95,0.02,1.0,1.0
41,0.95,0.02,1.0,1.0
51,0.95,0.02,1.0,1.0
3,0.95,0.04,1.0,1.0
5,0.95,0.04,1.0,1.0
7,0.95,0.04,1.0,1.0
9,0.95,0.04,1.0,1.0
11,0.95,0.04,1.0,1.0
21,0.95,0.04,1.0,1.0
31,0.95,0.04,1.0,1.0
41,0.95,0.04,1.0,1.0
51,0.95,0.04,1.0,1.0
3,0.95,0.08,0.968,0.998
5,0.95,0.08,0.962,0.997
7,0.95,0.08,1.0,1.0
9,0.95,0.08,1.0,1.0
11,0.95,0.08,1.0,1.0
21,0.95,0.08,1.0,1.0
31,0.95,0.08,1.0,1.0
41,0.95,0.08,1.0,1.0
51,0.95,0.08,1.0,1.0
3,0.95,0.16,0.816,0.98
5,0.95,0.16,0.969,0.996
7,0.95,0.16,0.971,0.996
9,0.95,0.16,0.951,0.993
11,0.95,0.16,0.966,0.995
21,0.95,0.16,1.0,1.0
31,0.95,0.16,1.0,1.0
41,0.95,0.16,1.0,1.0
51,0.95,0.16,1.0,1.0
3,0.95,0.32,0.746,0.963
5,0.95,0.32,0.864,0.975
7,0.95,0.32,0.885,0.978
9,0.95,0.32,0.92,0.984
11,0.95,0.32,0.928,0.985
21,0.95,0.32,0.977,0.995
31,0.95,0.32,1.0,1.0
41,0.95,0.32,1.0,1.0
51,0.95,0.32,1.0,1.0
3,0.95,0.64,0.848,0.978
5,0.95,0.64,0.812,0.962
7,0.95,0.64,0.769,0.95
9,0.95,0.64,0.887,0.975
11,0.95,0.64,0.944,0.987
21,0.95,0.64,1.0,1.0
31,0.95,0.64,0.987,0.997
41,0.95,0.64,1.0,1.0
51,0.95,0.64,1.0,1.0
3,0.95,1.28,0.664,0.947
5,0.95,1.28,0.759,0.951
7,0.95,1.28,0.811,0.959
9,0.95,1.28,0.896,0.976
11,0.95,1.28,0.904,0.977
21,0.95,1.28,0.976,0.994
31,0.95,1.28,1.0,1.0
41,0.95,1.28,1.0,1.0
51,0.95,1.28,1.0,1.0
3,0.95,2.56,0.763,0.965
5,0.95,2.56,0.825,0.967
7,0.95,2.56,0.889,0.976
9,0.95,2.56,0.887,0.973
11,0.95,2.56,0.909,0.978
21,0.95,2.56,0.976,0.994
31,0.95,2.56,1.0,1.0
41,0.95,2.56,1.0,1.0
51,0.95,2.56,0.996,0.999
