voters,mean,std,ratio_difference_to_mean,ratio_correct
11,0.65,0.16,0.646,0.89
21,0.65,0.16,0.801,0.932
31,0.65,0.16,0.879,0.957
41,0.65,0.16,0.924,0.973
51,0.65,0.16,0.935,0.977
3,0.65,0.32,0.093,0.732
5,0.65,0.32,0.277,0.746
7,0.65,0.32,0.297,0.733
9,0.65,0.32,0.28,0.722
11,0.65,0.32,0.282,0.711
21,0.65,0.32,0.517,0.802
31,0.65,0.32,0.551,0.814
41,0.65,0.32,0.7,0.876
51,0.65,0.32,0.717,0.883
3,0.65,0.64,0.08,0.64
5,0.65,0.64,0.101,0.609
7,0.65,0.64,0.098,0.596
9,0.65,0.64,0.087,0.58
11,0.65,0.64,0.106,0.587
21,0.65,0.64,0.108,0.579
31,0.65,0.64,0.178,0.612
41,0.65,0.64,0.237,0.64
51,0.65,0.64,0.318,0.678
3,0.65,1.28,0.011,0.585
5,0.65,1.28,0.064,0.573
7,0.65,1.28,0.038,0.547
9,0.65,1.28,0.027,0.529
11,0.65,1.28,0.067,0.548
21,0.65,1.28,0.071,0.543
31,0.65,1.28,0.012,0.513
41,0.65,1.28,0.095,0.554
51,0.65,1.28,0.028,0.521
3,0.65,2.56,0.0,0.568
5,0.65,2.56,0.028,0.549
7,0.65,2.56,-0.029,0.512
9,0.65,2.56,-0.002,0.512
11,0.65,2.56,0.021,0.521
21,0.65,2.56,0.016,0.51
31,0.65,2.56,0.02,0.512
41,0.65,2.56,-0.022,0.491
51,0.65,2.56,0.0,0.502
3,0.7,0.02,1.0,1.0
5,0.7,0.02,1.0,1.0
7,0.7,0.02,1.0,1.0
9,0.7,0.02,1.0,1.0
11,0.7,0.02,1.004,1.001
21,0.7,0.02,0.996,0.999
31,0.7,0.02,1.0,1.0
41,0.7,0.02,1.0,1.0
51,0.7,0.02,1.0,1.0
3,0.7,0.04,1.0,1.0
5,0.7,0.04,0.986,0.998
7,0.7,0.04,1.023,1.005
9,0.7,0.04,0.971,0.993
11,0.7,0.04,0.973,0.994
21,0.7,0.04,0.996,0.999
31,0.7,0.04,0.997,0.999
41,0.7,0.04,1.0,1.0
51,0.7,0.04,1.0,1.0
3,0.7,0.08,0.85,0.98
5,0.7,0.08,0.827,0.968
7,0.7,0.08,0.908,0.982
9,0.7,0.08,0.976,0.994
11,0.7,0.08,0.978,0.995
21,0.7,0.08,0.957,0.988
31,0.7,0.08,0.983,0.995
41,0.7,0.08,0.99,0.997
51,0.7,0.08,0.993,0.998
3,0.7,0.16,0.435,0.901
5,0.7,0.16,0.521,0.896
7,0.7,0.16,0.705,0.924
9,0.7,0.16,0.713,0.92
11,0.7,0.16,0.806,0.946
21,0.7,0.16,0.882,0.964
31,0.7,0.16,0.965,0.989
41,0.7,0.16,0.981,0.994
51,0.7,0.16,0.984,0.995
3,0.7,0.32,0.318,0.812
5,0.7,0.32,0.295,0.767
7,0.7,0.32,0.333,0.764
9,0.7,0.32,0.414,0.786
11,0.7,0.32,0.427,0.784
21,0.7,0.32,0.602,0.847
31,0.7,0.32,0.76,0.907
41,0.7,0.32,0.853,0.943
51,0.7,0.32,0.85,0.942
3,0.7,0.64,0.065,0.627
5,0.7,0.64,0.031,0.593
7,0.7,0.64,0.149,0.628
9,0.7,0.64,0.136,0.61
11,0.7,0.64,0.093,0.586
21,0.7,0.64,0.228,0.644
31,0.7,0.64,0.266,0.66
41,0.7,0.64,0.367,0.707
51,0.7,0.64,0.361,0.704
3,0.7,1.28,0.037,0.607
5,0.7,1.28,-0.034,0.535
7,0.7,1.28,-0.009,0.524
9,0.7,1.28,0.068,0.554
11,0.7,1.28,-0.012,0.509
21,0.7,1.28,0.037,0.529
31,0.7,1.28,-0.022,0.499
41,0.7,1.28,0.084,0.551
51,0.7,1.28,0.11,0.564
3,0.7,2.56,-0.003,0.573
5,0.7,2.56,-0.056,0.505
7,0.7,2.56,-0.004,0.52
9,0.7,2.56,0.035,0.528
11,0.7,2.56,0.04,0.531
21,0.7,2.56,0.026,0.516
31,0.7,2.56,0.052,0.529
41,0.7,2.56,0.099,0.552
51,0.7,2.56,0.016,0.511
3,0.75,0.02,1.0,1.0
5,0.75,0.02,1.0,1.0
7,0.75,0.02,1.0,1.0
9,0.75,0.02,1.0,1.0
11,0.75,0.02,1.0,1.0
21,0.75,0.02,1.0,1.0
31,0.75,0.02,1.0,1.0
41,0.75,0.02,1.0,1.0
51,0.75,0.02,0.996,0.999
3,0.75,0.04,0.99,0.999
5,0.75,0.04,0.994,0.999
7,0.75,0.04,0.994,0.999
9,0.75,0.04,1.005,1.001
11,0.75,0.04,1.005,1.001
21,0.75,0.04,1.004,1.001
31,0.75,0.04,1.0,1.0
41,0.75,0.04,1.004,1.001
51,0.75,0.04,1.0,1.0
