,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
304,41,Medium,Lower,"TruncNorm[0.001,0.999]",1000,0.75,0.04,0.999,0.249,0.249,1.0,0.25,0.25,-0.001,0.001,0.0,1.004,inf,1.001
305,51,Medium,Lower,"TruncNorm[0.001,0.999]",1000,0.75,0.04,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.001,1.0,0.0,1.0
315,3,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.866,0.116,0.136,0.803,0.053,0.073,0.063,0.0,0.0,0.537,,0.927
316,5,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.922,0.172,0.192,0.883,0.133,0.153,0.039,0.04,0.028,0.797,1.429,0.958
317,7,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.945,0.195,0.215,0.895,0.145,0.165,0.05,0.006,0.011,0.767,0.545,0.947
318,9,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.975,0.225,0.245,0.929,0.179,0.199,0.046,0.017,0.015,0.812,1.133,0.953
319,11,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.983,0.233,0.253,0.942,0.192,0.212,0.041,0.006,0.004,0.838,1.5,0.958
320,21,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.996,0.246,0.266,0.989,0.239,0.259,0.007,0.024,0.007,0.974,3.429,0.993
321,31,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,1.0,0.25,0.27,0.999,0.249,0.269,0.001,0.005,0.002,0.996,2.5,0.999
322,41,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,1.0,0.25,0.27,0.998,0.248,0.268,0.002,-0.001,0.0,0.993,-inf,0.998
323,51,Medium,Medium,"TruncNorm[0.001,0.999]",1000,0.73,0.142,1.0,0.25,0.27,1.0,0.25,0.27,0.0,0.001,0.0,1.0,inf,1.0
333,3,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.876,0.126,0.33,0.579,-0.171,0.033,0.297,0.0,0.0,0.1,,0.661
334,5,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.92,0.17,0.374,0.596,-0.154,0.05,0.324,0.009,0.022,0.134,0.409,0.648
335,7,Medium,Upper,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.96,0.21,0.414,0.587,-0.163,0.041,0.373,-0.005,0.02,0.099,-0.25,0.611
