,voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
349,41,0.75,0.04,"TruncNorm[0.001,0.999]",1000,0.75,0.04,0.999,0.249,0.249,0.999,0.249,0.249,0.0,0.001,0.002,1.0,0.5,1.0
350,51,0.75,0.04,"TruncNorm[0.001,0.999]",1000,0.75,0.04,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.001,1.0,1.0,1.0
360,3,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.859,0.109,0.129,0.81,0.06,0.08,0.049,0.0,0.0,0.621,,0.943
361,5,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.901,0.151,0.171,0.858,0.108,0.128,0.043,0.024,0.021,0.749,1.143,0.952
362,7,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.952,0.202,0.222,0.905,0.155,0.175,0.047,0.024,0.025,0.789,0.96,0.951
363,9,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.978,0.228,0.248,0.938,0.188,0.208,0.04,0.016,0.013,0.839,1.231,0.959
364,11,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.976,0.226,0.246,0.939,0.189,0.209,0.037,0.001,-0.001,0.85,-1.0,0.962
365,21,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,0.998,0.248,0.268,0.985,0.235,0.255,0.013,0.023,0.011,0.952,2.091,0.987
366,31,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,1.0,0.25,0.27,0.996,0.246,0.266,0.004,0.006,0.001,0.985,6.0,0.996
367,41,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,1.0,0.25,0.27,0.998,0.248,0.268,0.002,0.001,0.0,0.993,inf,0.998
368,51,0.75,0.16,"TruncNorm[0.001,0.999]",1000,0.73,0.142,1.0,0.25,0.27,1.0,0.25,0.27,0.0,0.001,0.0,1.0,inf,1.0
378,3,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.868,0.118,0.322,0.563,-0.187,0.017,0.305,0.0,0.0,0.052,,0.649
379,5,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.947,0.197,0.401,0.598,-0.152,0.052,0.349,0.018,0.039,0.129,0.462,0.631
380,7,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.957,0.207,0.411,0.606,-0.144,0.06,0.351,0.004,0.005,0.145,0.8,0.633
381,9,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.975,0.225,0.429,0.638,-0.112,0.092,0.337,0.016,0.009,0.214,1.778,0.654
382,11,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.978,0.228,0.432,0.611,-0.139,0.065,0.367,-0.014,0.002,0.15,-7.0,0.625
383,21,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.999,0.249,0.453,0.679,-0.071,0.133,0.32,0.034,0.011,0.293,3.091,0.68
384,31,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,0.999,0.249,0.453,0.696,-0.054,0.15,0.303,0.008,0.0,0.33,inf,0.697
385,41,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,1.0,0.25,0.454,0.756,0.006,0.21,0.244,0.03,0.001,0.462,30.0,0.756
386,51,0.75,0.64,"TruncNorm[0.001,0.999]",1000,0.546,0.274,1.0,0.25,0.454,0.741,-0.009,0.195,0.259,-0.008,0.0,0.429,-inf,0.741
666,3,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,0.993,0.043,0.051,0.993,0.043,0.051,0.0,0.0,0.0,1.0,,1.0
667,5,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,0.998,0.048,0.056,0.998,0.048,0.056,0.0,0.003,0.003,1.0,1.0,1.0
668,7,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.001,0.001,1.0,1.0,1.0
669,9,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
670,11,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
671,21,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
672,31,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
673,41,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
674,51,0.95,0.04,"TruncNorm[0.001,0.999]",1000,0.942,0.033,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
684,3,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.937,-0.013,0.085,0.924,-0.026,0.072,0.013,0.0,0.0,0.847,,0.986
685,5,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.984,0.034,0.132,0.977,0.027,0.125,0.007,0.026,0.023,0.947,1.13,0.993
686,7,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.99,0.04,0.138,0.986,0.036,0.134,0.004,0.005,0.003,0.971,1.667,0.996
687,9,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.998,0.048,0.146,0.995,0.045,0.143,0.003,0.005,0.004,0.979,1.25,0.997
688,11,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,0.999,0.049,0.147,0.998,0.048,0.146,0.001,0.002,0.001,0.993,2.0,0.999
689,21,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,1.0,0.05,0.148,1.0,0.05,0.148,0.0,0.001,0.001,1.0,1.0,1.0
690,31,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,1.0,0.05,0.148,1.0,0.05,0.148,0.0,0.0,0.0,1.0,,1.0
691,41,0.95,0.16,"TruncNorm[0.001,0.999]",1000,0.852,0.106,1.0,0.05,0.148,1.0,0.05,0.148,0.0,0.0,0.0,1.0,,1.0
