voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
5.0,0.55,0.08,1000.0,0.5862472077293333,0.672,0.122,0.0857527922706667,0.644,0.0939999999999999,0.0577527922706667,0.028,0.023,0.039,0.7704918032786877,0.5897435897435898,0.9583333333333331
7.0,0.55,0.08,1000.0,0.5862472077293333,0.701,0.1509999999999999,0.1147527922706667,0.667,0.1169999999999999,0.0807527922706667,0.034,0.023,0.0289999999999999,0.7748344370860925,0.7931034482758648,0.9514978601997148
9.0,0.55,0.08,1000.0,0.5862472077293333,0.736,0.1859999999999999,0.1497527922706667,0.704,0.1539999999999999,0.1177527922706667,0.032,0.0369999999999999,0.035,0.8279569892473118,1.0571428571428545,0.9565217391304348
11.0,0.55,0.08,1000.0,0.5862472077293333,0.789,0.239,0.2027527922706667,0.735,0.1849999999999999,0.1487527922706667,0.054,0.031,0.053,0.7740585774058573,0.5849056603773585,0.9315589353612168
21.0,0.55,0.08,1000.0,0.5862472077293333,0.818,0.2679999999999999,0.2317527922706667,0.767,0.2169999999999999,0.1807527922706667,0.051,0.032,0.0289999999999999,0.8097014925373133,1.1034482758620727,0.9376528117359414
31.0,0.55,0.08,1000.0,0.5862472077293333,0.849,0.2989999999999999,0.2627527922706667,0.809,0.259,0.2227527922706668,0.04,0.042,0.031,0.8662207357859536,1.3548387096774197,0.9528857479387516
41.0,0.55,0.08,1000.0,0.5862472077293333,0.921,0.371,0.3347527922706668,0.865,0.3149999999999999,0.2787527922706667,0.056,0.0559999999999999,0.072,0.8490566037735846,0.7777777777777765,0.9391965255157436
51.0,0.55,0.08,1000.0,0.5862472077293333,0.936,0.386,0.3497527922706668,0.896,0.346,0.3097527922706667,0.04,0.031,0.015,0.8963730569948186,2.066666666666667,0.9572649572649572
3.0,0.55,0.14,1000.0,0.6320664588183131,0.735,0.1849999999999999,0.1029335411816868,0.696,0.1459999999999999,0.0639335411816868,0.039,0.0,0.0,0.7891891891891891,,0.946938775510204
5.0,0.55,0.14,1000.0,0.6320664588183131,0.758,0.2079999999999999,0.1259335411816868,0.734,0.1839999999999999,0.1019335411816868,0.024,0.038,0.023,0.8846153846153846,1.6521739130434785,0.9683377308707124
7.0,0.55,0.14,1000.0,0.6320664588183131,0.798,0.248,0.1659335411816869,0.759,0.2089999999999999,0.1269335411816868,0.039,0.025,0.04,0.8427419354838706,0.625,0.9511278195488722
9.0,0.55,0.14,1000.0,0.6320664588183131,0.826,0.2759999999999999,0.1939335411816868,0.778,0.2279999999999999,0.1459335411816869,0.048,0.019,0.0279999999999999,0.826086956521739,0.6785714285714309,0.9418886198547216
11.0,0.55,0.14,1000.0,0.6320664588183131,0.862,0.3119999999999999,0.2299335411816868,0.804,0.254,0.1719335411816869,0.058,0.026,0.036,0.8141025641025644,0.7222222222222222,0.9327146171693736
21.0,0.55,0.14,1000.0,0.6320664588183131,0.944,0.3939999999999999,0.3119335411816868,0.904,0.354,0.2719335411816869,0.04,0.0999999999999999,0.0819999999999999,0.8984771573604062,1.2195121951219514,0.957627118644068
31.0,0.55,0.14,1000.0,0.6320664588183131,0.975,0.4249999999999999,0.3429335411816868,0.931,0.381,0.2989335411816869,0.044,0.027,0.031,0.8964705882352944,0.8709677419354839,0.954871794871795
41.0,0.55,0.14,1000.0,0.6320664588183131,0.983,0.4329999999999999,0.3509335411816868,0.965,0.4149999999999999,0.3329335411816868,0.018,0.0339999999999999,0.008,0.9584295612009238,4.249999999999988,0.9816887080366226
51.0,0.55,0.14,1000.0,0.6320664588183131,0.991,0.4409999999999999,0.3589335411816868,0.975,0.4249999999999999,0.3429335411816868,0.016,0.01,0.008,0.963718820861678,1.25,0.9838546922300706
3.0,0.75,0.02,1000.0,0.75,0.844,0.0939999999999999,0.0939999999999999,0.844,0.0939999999999999,0.0939999999999999,0.0,0.0,0.0,1.0,,1.0
5.0,0.75,0.02,1000.0,0.75,0.891,0.141,0.141,0.891,0.141,0.141,0.0,0.047,0.047,1.0,1.0,1.0
7.0,0.75,0.02,1000.0,0.75,0.923,0.173,0.173,0.923,0.173,0.173,0.0,0.032,0.032,1.0,1.0,1.0
9.0,0.75,0.02,1000.0,0.75,0.952,0.2019999999999999,0.2019999999999999,0.952,0.2019999999999999,0.2019999999999999,0.0,0.0289999999999999,0.0289999999999999,1.0,1.0,1.0
11.0,0.75,0.02,1000.0,0.75,0.972,0.2219999999999999,0.2219999999999999,0.972,0.2219999999999999,0.2219999999999999,0.0,0.02,0.02,1.0,1.0,1.0
21.0,0.75,0.02,1000.0,0.75,0.998,0.248,0.248,0.998,0.248,0.248,0.0,0.026,0.026,1.0,1.0,1.0
31.0,0.75,0.02,1000.0,0.75,0.999,0.249,0.249,0.999,0.249,0.249,0.0,0.001,0.001,1.0,1.0,1.0
41.0,0.75,0.02,1000.0,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.001,1.0,1.0,1.0
51.0,0.75,0.02,1000.0,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
3.0,0.75,0.08,1000.0,0.75,0.853,0.1029999999999999,0.1029999999999999,0.852,0.1019999999999999,0.1019999999999999,0.001,0.0,0.0,0.9902912621359224,,0.9988276670574444
5.0,0.75,0.08,1000.0,0.75,0.892,0.142,0.142,0.886,0.136,0.136,0.006,0.034,0.039,0.9577464788732396,0.8717948717948718,0.9932735426008968
7.0,0.75,0.08,1000.0,0.75,0.948,0.1979999999999999,0.1979999999999999,0.944,0.1939999999999999,0.1939999999999999,0.004,0.0579999999999999,0.0559999999999999,0.9797979797979798,1.0357142857142858,0.9957805907172996
9.0,0.75,0.08,1000.0,0.75,0.957,0.2069999999999999,0.2069999999999999,0.949,0.1989999999999999,0.1989999999999999,0.008,0.005,0.009,0.9613526570048307,0.5555555555555556,0.9916405433646812
11.0,0.75,0.08,1000.0,0.75,0.975,0.2249999999999999,0.2249999999999999,0.969,0.2189999999999999,0.2189999999999999,0.006,0.02,0.018,0.9733333333333332,1.1111111111111112,0.9938461538461538
21.0,0.75,0.08,1000.0,0.75,0.998,0.248,0.248,0.994,0.244,0.244,0.004,0.025,0.023,0.9838709677419356,1.0869565217391306,0.995991983967936
31.0,0.75,0.08,1000.0,0.75,0.999,0.249,0.249,0.998,0.248,0.248,0.001,0.004,0.001,0.9959839357429718,4.0,0.998998998998999
41.0,0.75,0.08,1000.0,0.75,1.0,0.25,0.25,0.999,0.249,0.249,0.001,0.001,0.001,0.996,1.0,0.999
51.0,0.75,0.08,1000.0,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.0,1.0,inf,1.0
3.0,0.75,0.14,1000.0,0.75,0.856,0.1059999999999999,0.1059999999999999,0.836,0.0859999999999999,0.0859999999999999,0.02,0.0,0.0,0.811320754716981,,0.9766355140186916
5.0,0.75,0.14,1000.0,0.75,0.913,0.163,0.163,0.889,0.139,0.139,0.024,0.053,0.057,0.8527607361963191,0.9298245614035088,0.9737130339539978
7.0,0.75,0.14,1000.0,0.75,0.948,0.1979999999999999,0.1979999999999999,0.928,0.178,0.178,0.02,0.039,0.0349999999999999,0.8989898989898994,1.1142857142857174,0.978902953586498
9.0,0.75,0.14,1000.0,0.75,0.972,0.2219999999999999,0.2219999999999999,0.957,0.2069999999999999,0.2069999999999999,0.015,0.0289999999999999,0.024,0.9324324324324323,1.2083333333333293,0.9845679012345678
11.0,0.75,0.14,1000.0,0.75,0.984,0.2339999999999999,0.2339999999999999,0.964,0.2139999999999999,0.2139999999999999,0.02,0.007,0.012,0.9145299145299144,0.5833333333333334,0.9796747967479674
21.0,0.75,0.14,1000.0,0.75,0.999,0.249,0.249,0.99,0.24,0.24,0.009,0.026,0.015,0.963855421686747,1.7333333333333334,0.990990990990991
31.0,0.75,0.14,1000.0,0.75,1.0,0.25,0.25,0.997,0.247,0.247,0.003,0.007,0.001,0.988,7.0,0.997
41.0,0.75,0.14,1000.0,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.003,0.0,1.0,inf,1.0
51.0,0.75,0.14,1000.0,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
3.0,0.95,0.02,1000.0,0.949600398635246,0.996,0.046,0.0463996013647539,0.996,0.046,0.0463996013647539,0.0,0.0,0.0,1.0,,1.0
5.0,0.95,0.02,1000.0,0.949600398635246,1.0,0.05,0.0503996013647539,1.0,0.05,0.0503996013647539,0.0,0.004,0.004,1.0,1.0,1.0
7.0,0.95,0.02,1000.0,0.949600398635246,1.0,0.05,0.0503996013647539,1.0,0.05,0.0503996013647539,0.0,0.0,0.0,1.0,,1.0
9.0,0.95,0.02,1000.0,0.949600398635246,1.0,0.05,0.0503996013647539,1.0,0.05,0.0503996013647539,0.0,0.0,0.0,1.0,,1.0
11.0,0.95,0.02,1000.0,0.949600398635246,1.0,0.05,0.0503996013647539,1.0,0.05,0.0503996013647539,0.0,0.0,0.0,1.0,,1.0
21.0,0.95,0.02,1000.0,0.949600398635246,1.0,0.05,0.0503996013647539,1.0,0.05,0.0503996013647539,0.0,0.0,0.0,1.0,,1.0
31.0,0.95,0.02,1000.0,0.949600398635246,1.0,0.05,0.0503996013647539,1.0,0.05,0.0503996013647539,0.0,0.0,0.0,1.0,,1.0
41.0,0.95,0.02,1000.0,0.949600398635246,1.0,0.05,0.0503996013647539,1.0,0.05,0.0503996013647539,0.0,0.0,0.0,1.0,,1.0
51.0,0.95,0.02,1000.0,0.949600398635246,1.0,0.05,0.0503996013647539,1.0,0.05,0.0503996013647539,0.0,0.0,0.0,1.0,,1.0
3.0,0.95,0.08,1000.0,0.9137527922706667,0.983,0.033,0.0692472077293332,0.981,0.031,0.0672472077293332,0.002,0.0,0.0,0.9393939393939392,,0.9979654120040692
5.0,0.95,0.08,1000.0,0.9137527922706667,0.998,0.048,0.0842472077293332,0.996,0.046,0.0822472077293332,0.002,0.015,0.015,0.9583333333333331,1.0,0.997995991983968
7.0,0.95,0.08,1000.0,0.9137527922706667,1.0,0.05,0.0862472077293332,0.999,0.049,0.0852472077293332,0.001,0.003,0.002,0.98,1.5,0.999
9.0,0.95,0.08,1000.0,0.9137527922706667,1.0,0.05,0.0862472077293332,1.0,0.05,0.0862472077293332,0.0,0.001,0.0,1.0,inf,1.0
11.0,0.95,0.08,1000.0,0.9137527922706667,1.0,0.05,0.0862472077293332,1.0,0.05,0.0862472077293332,0.0,0.0,0.0,1.0,,1.0
21.0,0.95,0.08,1000.0,0.9137527922706667,1.0,0.05,0.0862472077293332,1.0,0.05,0.0862472077293332,0.0,0.0,0.0,1.0,,1.0
31.0,0.95,0.08,1000.0,0.9137527922706667,1.0,0.05,0.0862472077293332,1.0,0.05,0.0862472077293332,0.0,0.0,0.0,1.0,,1.0
41.0,0.95,0.08,1000.0,0.9137527922706667,1.0,0.05,0.0862472077293332,1.0,0.05,0.0862472077293332,0.0,0.0,0.0,1.0,,1.0
51.0,0.95,0.08,1000.0,0.9137527922706667,1.0,0.05,0.0862472077293332,1.0,0.05,0.0862472077293332,0.0,0.0,0.0,1.0,,1.0
3.0,0.95,0.14,1000.0,0.8679335411816869,0.959,0.009,0.0910664588183131,0.948,-0.002,0.080066458818313,0.011,0.0,0.0,-0.2222222222222222,,0.9885297184567258
5.0,0.95,0.14,1000.0,0.8679335411816869,0.995,0.045,0.1270664588183131,0.987,0.037,0.1190664588183131,0.008,0.039,0.036,0.8222222222222222,1.0833333333333337,0.9919597989949748
7.0,0.95,0.14,1000.0,0.8679335411816869,0.998,0.048,0.1300664588183131,0.992,0.042,0.1240664588183131,0.006,0.005,0.003,0.875,1.6666666666666667,0.9939879759519038
9.0,0.95,0.14,1000.0,0.8679335411816869,0.997,0.047,0.1290664588183131,0.994,0.044,0.1260664588183131,0.003,0.002,-0.001,0.9361702127659574,-2.0,0.9969909729187564
11.0,0.95,0.14,1000.0,0.8679335411816869,1.0,0.05,0.1320664588183131,0.999,0.049,0.1310664588183131,0.001,0.005,0.003,0.98,1.6666666666666667,0.999
21.0,0.95,0.14,1000.0,0.8679335411816869,1.0,0.05,0.1320664588183131,1.0,0.05,0.1320664588183131,0.0,0.001,0.0,1.0,inf,1.0
31.0,0.95,0.14,1000.0,0.8679335411816869,1.0,0.05,0.1320664588183131,1.0,0.05,0.1320664588183131,0.0,0.0,0.0,1.0,,1.0
41.0,0.95,0.14,1000.0,0.8679335411816869,1.0,0.05,0.1320664588183131,1.0,0.05,0.1320664588183131,0.0,0.0,0.0,1.0,,1.0
51.0,0.95,0.14,1000.0,0.8679335411816869,1.0,0.05,0.1320664588183131,1.0,0.05,0.1320664588183131,0.0,0.0,0.0,1.0,,1.0
