voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3.0,0.55,0.02,1000.0,0.550399601364754,0.558,0.008,0.007600398635246,0.56,0.01,0.009600398635246,-0.002,0.0,0.0,1.25,,1.003584229390681
5.0,0.55,0.02,1000.0,0.550399601364754,0.6,0.0499999999999999,0.049600398635246,0.594,0.0439999999999999,0.043600398635246,0.006,0.0339999999999999,0.0419999999999999,0.8799999999999998,0.8095238095238091,0.99
7.0,0.55,0.02,1000.0,0.550399601364754,0.623,0.0729999999999999,0.072600398635246,0.634,0.0839999999999999,0.083600398635246,-0.011,0.04,0.023,1.1506849315068497,1.7391304347826089,1.0176565008025682
9.0,0.55,0.02,1000.0,0.550399601364754,0.651,0.1009999999999999,0.100600398635246,0.637,0.0869999999999999,0.086600398635246,0.014,0.003,0.028,0.8613861386138613,0.1071428571428571,0.978494623655914
11.0,0.55,0.02,1000.0,0.550399601364754,0.636,0.0859999999999999,0.085600398635246,0.638,0.0879999999999999,0.087600398635246,-0.002,0.001,-0.015,1.0232558139534884,-0.0666666666666666,1.0031446540880504
21.0,0.55,0.02,1000.0,0.550399601364754,0.688,0.1379999999999999,0.1376003986352459,0.69,0.1399999999999999,0.1396003986352459,-0.002,0.0519999999999999,0.0519999999999999,1.0144927536231885,1.0,1.002906976744186
31.0,0.55,0.02,1000.0,0.550399601364754,0.713,0.1629999999999999,0.162600398635246,0.678,0.128,0.127600398635246,0.035,-0.0119999999999999,0.025,0.7852760736196325,-0.479999999999996,0.9509116409537168
41.0,0.55,0.02,1000.0,0.550399601364754,0.771,0.2209999999999999,0.220600398635246,0.756,0.2059999999999999,0.205600398635246,0.015,0.0779999999999999,0.058,0.9321266968325792,1.3448275862068948,0.980544747081712
51.0,0.55,0.02,1000.0,0.550399601364754,0.791,0.241,0.240600398635246,0.774,0.2239999999999999,0.223600398635246,0.017,0.018,0.02,0.9294605809128628,0.8999999999999999,0.9785082174462704
3.0,0.55,0.08,1000.0,0.5862472077293333,0.633,0.0829999999999999,0.0467527922706667,0.621,0.0709999999999999,0.0347527922706667,0.012,0.0,0.0,0.8554216867469878,,0.981042654028436
