voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,Lower,Lower,0.558,0.033,0.575,0.0,0.017,0.571,-0.004
5,Lower,Lower,0.558,0.033,0.609,0.017,0.051,0.604,-0.005
7,Lower,Lower,0.558,0.033,0.624,0.008,0.066,0.607,-0.017
9,Lower,Lower,0.558,0.033,0.673,0.025,0.115,0.678,0.005
11,Lower,Lower,0.558,0.033,0.658,-0.008,0.1,0.689,0.031
21,Lower,Lower,0.558,0.033,0.727,0.034,0.169,0.744,0.017
31,Lower,Lower,0.558,0.033,0.752,0.013,0.194,0.788,0.036
41,Lower,Lower,0.558,0.033,0.774,0.011,0.216,0.791,0.017
51,Lower,Lower,0.558,0.033,0.788,0.007,0.23,0.828,0.04
3,Lower,Medium,0.647,0.103,0.719,0.0,0.072,0.751,0.032
5,Lower,Medium,0.647,0.103,0.739,0.01,0.092,0.791,0.052
7,Lower,Medium,0.647,0.103,0.785,0.023,0.138,0.838,0.053
9,Lower,Medium,0.647,0.103,0.827,0.021,0.18,0.87,0.043
11,Lower,Medium,0.647,0.103,0.848,0.011,0.201,0.893,0.045
21,Lower,Medium,0.647,0.103,0.917,0.035,0.27,0.96,0.043
31,Lower,Medium,0.647,0.103,0.943,0.013,0.296,0.984,0.041
41,Lower,Medium,0.647,0.103,0.964,0.011,0.317,0.991,0.027
51,Lower,Medium,0.647,0.103,0.985,0.011,0.338,0.999,0.014
3,Lower,Upper,0.74,0.142,0.823,0.0,0.083,0.878,0.055
5,Lower,Upper,0.74,0.142,0.894,0.036,0.154,0.932,0.038
7,Lower,Upper,0.74,0.142,0.927,0.017,0.187,0.956,0.029
9,Lower,Upper,0.74,0.142,0.943,0.008,0.203,0.979,0.036
11,Lower,Upper,0.74,0.142,0.959,0.008,0.219,0.981,0.022
21,Lower,Upper,0.74,0.142,0.991,0.016,0.251,0.996,0.005
31,Lower,Upper,0.74,0.142,0.997,0.003,0.257,1.0,0.003
41,Lower,Upper,0.74,0.142,1.0,0.002,0.26,1.0,0.0
51,Lower,Upper,0.74,0.142,1.0,0.0,0.26,1.0,0.0
3,Medium,Lower,0.75,0.04,0.829,0.0,0.079,0.829,0.0
5,Medium,Lower,0.75,0.04,0.911,0.041,0.161,0.909,-0.002
7,Medium,Lower,0.75,0.04,0.924,0.007,0.174,0.923,-0.001
9,Medium,Lower,0.75,0.04,0.944,0.01,0.194,0.947,0.003
11,Medium,Lower,0.75,0.04,0.967,0.012,0.217,0.966,-0.001
21,Medium,Lower,0.75,0.04,0.995,0.014,0.245,0.996,0.001
31,Medium,Lower,0.75,0.04,0.999,0.002,0.249,0.999,0.0
41,Medium,Lower,0.75,0.04,1.0,0.001,0.25,1.0,0.0
51,Medium,Lower,0.75,0.04,1.0,0.0,0.25,1.0,0.0
3,Medium,Medium,0.75,0.122,0.842,0.0,0.092,0.871,0.029
5,Medium,Medium,0.75,0.122,0.909,0.034,0.159,0.916,0.007
7,Medium,Medium,0.75,0.122,0.933,0.012,0.183,0.956,0.023
9,Medium,Medium,0.75,0.122,0.97,0.018,0.22,0.983,0.013
11,Medium,Medium,0.75,0.122,0.968,-0.001,0.218,0.991,0.023
21,Medium,Medium,0.75,0.122,0.994,0.013,0.244,0.999,0.005
31,Medium,Medium,0.75,0.122,1.0,0.003,0.25,1.0,0.0
41,Medium,Medium,0.75,0.122,1.0,0.0,0.25,1.0,0.0
51,Medium,Medium,0.75,0.122,1.0,0.0,0.25,1.0,0.0
3,Medium,Upper,0.75,0.142,0.84,0.0,0.09,0.872,0.032
5,Medium,Upper,0.75,0.142,0.902,0.031,0.152,0.944,0.042
7,Medium,Upper,0.75,0.142,0.934,0.016,0.184,0.966,0.032
9,Medium,Upper,0.75,0.142,0.949,0.007,0.199,0.979,0.03
11,Medium,Upper,0.75,0.142,0.962,0.007,0.212,0.989,0.027
21,Medium,Upper,0.75,0.142,0.991,0.015,0.241,0.999,0.008
31,Medium,Upper,0.75,0.142,0.999,0.004,0.249,1.0,0.001
41,Medium,Upper,0.75,0.142,1.0,0.001,0.25,1.0,0.0
51,Medium,Upper,0.75,0.142,1.0,0.0,0.25,1.0,0.0
3,Upper,Lower,0.942,0.033,0.99,0.0,0.048,0.99,0.0
5,Upper,Lower,0.942,0.033,1.0,0.005,0.058,1.0,0.0
7,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
9,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
11,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
21,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
31,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
41,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
51,Upper,Lower,0.942,0.033,1.0,0.0,0.058,1.0,0.0
3,Upper,Medium,0.853,0.103,0.937,0.0,0.084,0.956,0.019
5,Upper,Medium,0.853,0.103,0.978,0.02,0.125,0.982,0.004
7,Upper,Medium,0.853,0.103,0.987,0.005,0.134,0.991,0.004
9,Upper,Medium,0.853,0.103,0.99,0.002,0.137,0.997,0.007
11,Upper,Medium,0.853,0.103,0.995,0.003,0.142,1.0,0.005
21,Upper,Medium,0.853,0.103,1.0,0.003,0.147,1.0,0.0
31,Upper,Medium,0.853,0.103,1.0,0.0,0.147,1.0,0.0
41,Upper,Medium,0.853,0.103,1.0,0.0,0.147,1.0,0.0
51,Upper,Medium,0.853,0.103,1.0,0.0,0.147,1.0,0.0
3,Upper,Upper,0.76,0.142,0.872,0.0,0.112,0.892,0.02
5,Upper,Upper,0.76,0.142,0.915,0.022,0.155,0.951,0.036
7,Upper,Upper,0.76,0.142,0.92,0.003,0.16,0.968,0.048
9,Upper,Upper,0.76,0.142,0.957,0.018,0.197,0.982,0.025
11,Upper,Upper,0.76,0.142,0.979,0.011,0.219,0.992,0.013
21,Upper,Upper,0.76,0.142,0.998,0.01,0.238,0.998,0.0
31,Upper,Upper,0.76,0.142,0.996,-0.001,0.236,0.999,0.003
41,Upper,Upper,0.76,0.142,1.0,0.002,0.24,1.0,0.0
51,Upper,Upper,0.76,0.142,1.0,0.0,0.24,1.0,0.0
