voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.55,0.04,1.285,1.012
5,0.55,0.04,0.939,0.992
7,0.55,0.04,0.791,0.975
9,0.55,0.04,0.888,0.983
11,0.55,0.04,0.705,0.955
21,0.55,0.04,0.88,0.972
31,0.55,0.04,0.882,0.967
41,0.55,0.04,0.781,0.931
51,0.55,0.04,0.936,0.98
3,0.55,0.16,0.727,0.963
5,0.55,0.16,0.778,0.954
7,0.55,0.16,0.683,0.927
9,0.55,0.16,0.827,0.956
11,0.55,0.16,0.867,0.963
21,0.55,0.16,0.833,0.946
31,0.55,0.16,0.915,0.971
41,0.55,0.16,0.936,0.978
51,0.55,0.16,0.972,0.99
3,0.55,0.64,0.71,0.959
5,0.55,0.64,0.799,0.957
7,0.55,0.64,0.816,0.957
9,0.55,0.64,0.892,0.973
11,0.55,0.64,0.844,0.961
21,0.55,0.64,0.962,0.99
31,0.55,0.64,0.988,0.997
41,0.55,0.64,1.0,1.0
51,0.55,0.64,1.0,1.0
3,0.75,0.04,0.988,0.999
5,0.75,0.04,0.993,0.999
7,0.75,0.04,0.994,0.999
9,0.75,0.04,0.995,0.999
11,0.75,0.04,0.991,0.998
21,0.75,0.04,1.004,1.001
31,0.75,0.04,0.996,0.999
41,0.75,0.04,1.0,1.0
51,0.75,0.04,1.0,1.0
3,0.75,0.16,0.875,0.984
5,0.75,0.16,0.809,0.962
7,0.75,0.16,0.808,0.958
9,0.75,0.16,0.842,0.964
11,0.75,0.16,0.911,0.979
21,0.75,0.16,0.976,0.994
31,0.75,0.16,1.0,1.0
41,0.75,0.16,1.0,1.0
51,0.75,0.16,1.0,1.0
3,0.75,0.64,0.721,0.956
5,0.75,0.64,0.769,0.952
7,0.75,0.64,0.82,0.961
9,0.75,0.64,0.882,0.972
11,0.75,0.64,0.916,0.98
21,0.75,0.64,0.972,0.993
31,0.75,0.64,1.0,1.0
41,0.75,0.64,1.0,1.0
51,0.75,0.64,1.0,1.0
3,0.95,0.04,0.978,0.999
5,0.95,0.04,1.0,1.0
7,0.95,0.04,0.983,0.999
9,0.95,0.04,1.0,1.0
11,0.95,0.04,1.0,1.0
21,0.95,0.04,1.0,1.0
31,0.95,0.04,1.0,1.0
41,0.95,0.04,1.0,1.0
51,0.95,0.04,1.0,1.0
3,0.95,0.16,0.922,0.992
5,0.95,0.16,0.952,0.994
7,0.95,0.16,0.958,0.994
9,0.95,0.16,0.979,0.997
11,0.95,0.16,1.0,1.0
21,0.95,0.16,1.0,1.0
31,0.95,0.16,1.0,1.0
41,0.95,0.16,1.0,1.0
51,0.95,0.16,1.0,1.0
3,0.95,0.64,0.556,0.929
5,0.95,0.64,0.863,0.974
7,0.95,0.64,0.81,0.958
9,0.95,0.64,0.853,0.966
11,0.95,0.64,0.91,0.979
21,0.95,0.64,0.975,0.994
31,0.95,0.64,1.0,1.0
41,0.95,0.64,1.0,1.0
51,0.95,0.64,1.0,1.0
