voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
11,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.752,0.202,0.166,0.721,0.171,0.135,0.031,0.017,0.022,0.813,0.773,0.959
21,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.828,0.278,0.242,0.789,0.239,0.203,0.039,0.034,0.038,0.839,0.895,0.953
31,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.879,0.329,0.293,0.822,0.272,0.236,0.057,0.016,0.026,0.805,0.615,0.935
41,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.915,0.365,0.329,0.874,0.324,0.288,0.041,0.026,0.018,0.875,1.444,0.955
51,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.0575328046145712,0.93,0.38,0.344,0.895,0.345,0.309,0.035,0.011,0.008,0.898,1.375,0.962
3,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.749,0.199,0.102,0.721,0.171,0.074,0.028,0.0,0.0,0.727,,0.963
5,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.813,0.263,0.166,0.776,0.226,0.129,0.037,0.028,0.032,0.778,0.875,0.954
7,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.839,0.289,0.192,0.778,0.228,0.131,0.061,0.001,0.013,0.683,0.077,0.927
9,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.866,0.316,0.219,0.828,0.278,0.181,0.038,0.025,0.014,0.827,1.786,0.956
11,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.894,0.344,0.247,0.861,0.311,0.214,0.033,0.017,0.014,0.867,1.214,0.963
21,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.958,0.408,0.311,0.906,0.356,0.259,0.052,0.023,0.032,0.833,0.719,0.946
31,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.987,0.437,0.34,0.958,0.408,0.311,0.029,0.026,0.015,0.915,1.733,0.971
41,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.993,0.443,0.346,0.971,0.421,0.324,0.022,0.007,0.003,0.936,2.333,0.978
51,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.1026556580430055,0.998,0.448,0.351,0.988,0.438,0.341,0.01,0.009,0.003,0.972,3.0,0.99
3,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,0.833,0.283,0.12,0.789,0.239,0.076,0.044,0.0,0.0,0.632,,0.947
5,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,0.915,0.365,0.202,0.874,0.324,0.161,0.041,0.042,0.041,0.797,1.024,0.955
7,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,0.94,0.39,0.227,0.898,0.348,0.185,0.042,0.012,0.012,0.815,1.0,0.955
9,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,0.96,0.41,0.247,0.9,0.35,0.187,0.06,0.001,0.01,0.757,0.1,0.938
11,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,0.967,0.417,0.254,0.93,0.38,0.217,0.037,0.015,0.004,0.854,3.75,0.962
21,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,0.998,0.448,0.285,0.988,0.438,0.275,0.01,0.029,0.016,0.965,1.812,0.99
31,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,1.0,0.45,0.287,0.996,0.446,0.283,0.004,0.004,0.001,0.986,4.0,0.996
41,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,1.0,0.45,0.287,1.0,0.45,0.287,0.0,0.002,0.0,1.0,inf,1.0
51,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.1352811298475507,1.0,0.45,0.287,0.999,0.449,0.286,0.001,-0.001,0.0,0.997,-inf,0.999
