voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.55,0.026,0.55,0.026,0.582,0.0,0.032,0.57,-0.012
5,0.55,0.026,0.55,0.026,0.606,0.012,0.056,0.606,0.0
7,0.55,0.026,0.55,0.026,0.603,-0.002,0.053,0.621,0.018
9,0.55,0.026,0.55,0.026,0.589,-0.007,0.039,0.607,0.018
11,0.55,0.026,0.55,0.026,0.639,0.025,0.089,0.654,0.015
21,0.55,0.026,0.55,0.026,0.675,0.018,0.125,0.691,0.016
31,0.55,0.026,0.55,0.026,0.716,0.02,0.166,0.758,0.042
41,0.55,0.026,0.55,0.026,0.747,0.016,0.197,0.788,0.041
51,0.55,0.026,0.55,0.026,0.762,0.008,0.212,0.793,0.031
3,0.6,0.055,0.6,0.055,0.643,0.0,0.043,0.665,0.022
5,0.6,0.055,0.6,0.055,0.694,0.025,0.094,0.7,0.006
7,0.6,0.055,0.6,0.055,0.683,-0.005,0.083,0.719,0.036
9,0.6,0.055,0.6,0.055,0.737,0.027,0.137,0.771,0.034
11,0.6,0.055,0.6,0.055,0.757,0.01,0.157,0.781,0.024
21,0.6,0.055,0.6,0.055,0.819,0.031,0.219,0.844,0.025
31,0.6,0.055,0.6,0.055,0.867,0.024,0.267,0.915,0.048
41,0.6,0.055,0.6,0.055,0.894,0.014,0.294,0.928,0.034
51,0.6,0.055,0.6,0.055,0.91,0.008,0.31,0.938,0.028
3,0.65,0.029,0.65,0.029,0.698,0.0,0.048,0.698,0.0
5,0.65,0.029,0.65,0.029,0.752,0.027,0.102,0.752,0.0
7,0.65,0.029,0.65,0.029,0.769,0.009,0.119,0.768,-0.001
9,0.65,0.029,0.65,0.029,0.822,0.026,0.172,0.826,0.004
11,0.65,0.029,0.65,0.029,0.846,0.012,0.196,0.848,0.002
21,0.65,0.029,0.65,0.029,0.92,0.037,0.27,0.927,0.007
31,0.65,0.029,0.65,0.029,0.955,0.017,0.305,0.955,0.0
41,0.65,0.029,0.65,0.029,0.966,0.006,0.316,0.971,0.005
51,0.65,0.029,0.65,0.029,0.99,0.012,0.34,0.99,0.0
3,0.66,0.084,0.66,0.084,0.711,0.0,0.051,0.76,0.049
5,0.66,0.084,0.66,0.084,0.804,0.047,0.144,0.83,0.026
7,0.66,0.084,0.66,0.084,0.824,0.01,0.164,0.852,0.028
9,0.66,0.084,0.66,0.084,0.841,0.009,0.181,0.884,0.043
11,0.66,0.084,0.66,0.084,0.871,0.015,0.211,0.898,0.027
21,0.66,0.084,0.66,0.084,0.94,0.034,0.28,0.97,0.03
31,0.66,0.084,0.66,0.084,0.969,0.015,0.309,0.976,0.007
41,0.66,0.084,0.66,0.084,0.981,0.006,0.321,0.992,0.011
51,0.66,0.084,0.66,0.084,0.996,0.008,0.336,0.998,0.002
3,0.7,0.058,0.7,0.058,0.779,0.0,0.079,0.784,0.005
5,0.7,0.058,0.7,0.058,0.864,0.042,0.164,0.865,0.001
7,0.7,0.058,0.7,0.058,0.865,0.001,0.165,0.875,0.01
9,0.7,0.058,0.7,0.058,0.886,0.011,0.186,0.898,0.012
11,0.7,0.058,0.7,0.058,0.915,0.015,0.215,0.923,0.008
21,0.7,0.058,0.7,0.058,0.972,0.028,0.272,0.967,-0.005
31,0.7,0.058,0.7,0.058,0.991,0.01,0.291,0.992,0.001
41,0.7,0.058,0.7,0.058,0.996,0.003,0.296,0.996,0.0
51,0.7,0.058,0.7,0.058,0.997,0.001,0.297,0.998,0.001
3,0.7,0.113,0.7,0.113,0.802,0.0,0.102,0.827,0.025
5,0.7,0.113,0.7,0.113,0.829,0.013,0.129,0.871,0.042
7,0.7,0.113,0.7,0.113,0.859,0.015,0.159,0.904,0.045
9,0.7,0.113,0.7,0.113,0.9,0.021,0.2,0.926,0.026
11,0.7,0.113,0.7,0.113,0.914,0.007,0.214,0.943,0.029
21,0.7,0.113,0.7,0.113,0.972,0.029,0.272,0.993,0.021
31,0.7,0.113,0.7,0.113,0.983,0.006,0.283,0.998,0.015
41,0.7,0.113,0.7,0.113,0.995,0.006,0.295,0.998,0.003
51,0.7,0.113,0.7,0.113,1.0,0.003,0.3,1.0,0.0
3,0.75,0.029,0.75,0.029,0.861,0.0,0.111,0.861,0.0
5,0.75,0.029,0.75,0.029,0.904,0.022,0.154,0.904,0.0
7,0.75,0.029,0.75,0.029,0.921,0.009,0.171,0.92,-0.001
9,0.75,0.029,0.75,0.029,0.947,0.013,0.197,0.945,-0.002
11,0.75,0.029,0.75,0.029,0.961,0.007,0.211,0.961,0.0
21,0.75,0.029,0.75,0.029,0.996,0.018,0.246,0.994,-0.002
31,0.75,0.029,0.75,0.029,0.999,0.002,0.249,0.999,0.0
41,0.75,0.029,0.75,0.029,1.0,0.001,0.25,1.0,0.0
51,0.75,0.029,0.75,0.029,1.0,0.0,0.25,0.999,-0.001
