voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
11,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.987,0.437,0.486,0.492,-0.058,-0.009,0.495,-0.008,0.007,-0.019,-1.143,0.498
21,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.998,0.448,0.497,0.479,-0.071,-0.022,0.519,-0.007,0.006,-0.044,-1.167,0.48
31,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,1.0,0.45,0.499,0.491,-0.059,-0.01,0.509,0.006,0.001,-0.02,6.0,0.491
41,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,1.0,0.45,0.499,0.478,-0.072,-0.023,0.522,-0.007,0.0,-0.046,-inf,0.478
51,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,1.0,0.45,0.499,0.51,-0.04,0.009,0.49,0.016,0.0,0.018,inf,0.51
3,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.646,0.046,0.046,0.647,0.047,0.047,-0.001,0.0,0.0,1.022,,1.002
5,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.689,0.089,0.089,0.688,0.088,0.088,0.001,0.02,0.021,0.989,0.952,0.999
7,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.697,0.097,0.097,0.696,0.096,0.096,0.001,0.004,0.004,0.99,1.0,0.999
9,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.716,0.116,0.116,0.717,0.117,0.117,-0.001,0.011,0.01,1.009,1.1,1.001
11,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.738,0.138,0.138,0.733,0.133,0.133,0.005,0.008,0.011,0.964,0.727,0.993
21,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.848,0.248,0.248,0.837,0.237,0.237,0.011,0.052,0.055,0.956,0.945,0.987
31,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.873,0.273,0.273,0.87,0.27,0.27,0.003,0.017,0.013,0.989,1.308,0.997
41,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.914,0.314,0.314,0.914,0.314,0.314,0.0,0.022,0.021,1.0,1.048,1.0
51,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.931,0.331,0.331,0.93,0.33,0.33,0.001,0.008,0.009,0.997,0.889,0.999
3,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.646,0.046,0.046,0.647,0.047,0.047,-0.001,0.0,0.0,1.022,,1.002
5,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.698,0.098,0.098,0.688,0.088,0.088,0.01,0.02,0.026,0.898,0.769,0.986
7,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.719,0.119,0.119,0.711,0.111,0.111,0.008,0.012,0.011,0.933,1.091,0.989
9,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.75,0.15,0.15,0.734,0.134,0.134,0.016,0.012,0.016,0.893,0.75,0.979
11,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.76,0.16,0.16,0.745,0.145,0.145,0.015,0.006,0.005,0.906,1.2,0.98
21,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.853,0.253,0.253,0.828,0.228,0.228,0.025,0.041,0.046,0.901,0.891,0.971
31,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.885,0.285,0.285,0.863,0.263,0.263,0.022,0.018,0.016,0.923,1.125,0.975
41,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.93,0.33,0.33,0.911,0.311,0.311,0.019,0.024,0.023,0.942,1.043,0.98
51,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.929,0.329,0.329,0.925,0.325,0.325,0.004,0.007,-0.001,0.988,-7.0,0.996
3,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.667,0.067,0.067,0.642,0.042,0.042,0.025,0.0,0.0,0.627,,0.963
5,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.742,0.142,0.142,0.711,0.111,0.111,0.031,0.034,0.037,0.782,0.919,0.958
7,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.76,0.16,0.16,0.716,0.116,0.116,0.044,0.003,0.009,0.725,0.333,0.942
9,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.791,0.191,0.191,0.714,0.114,0.114,0.077,-0.001,0.016,0.597,-0.062,0.903
11,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.821,0.221,0.221,0.758,0.158,0.158,0.063,0.022,0.015,0.715,1.467,0.923
21,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.894,0.294,0.294,0.836,0.236,0.236,0.058,0.039,0.037,0.803,1.054,0.935
31,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.932,0.332,0.332,0.865,0.265,0.265,0.067,0.015,0.019,0.798,0.789,0.928
41,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.952,0.352,0.352,0.901,0.301,0.301,0.051,0.018,0.01,0.855,1.8,0.946
51,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.0799996842941309,0.972,0.372,0.372,0.925,0.325,0.325,0.047,0.012,0.01,0.874,1.2,0.952
3,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.768,0.168,0.171,0.629,0.029,0.032,0.139,0.0,0.0,0.187,,0.819
5,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.815,0.215,0.218,0.683,0.083,0.086,0.132,0.027,0.023,0.394,1.174,0.838
7,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.867,0.267,0.27,0.697,0.097,0.1,0.17,0.007,0.026,0.37,0.269,0.804
9,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.895,0.295,0.298,0.713,0.113,0.116,0.182,0.008,0.014,0.389,0.571,0.797
11,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.921,0.321,0.324,0.745,0.145,0.148,0.176,0.016,0.013,0.457,1.231,0.809
21,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.972,0.372,0.375,0.811,0.211,0.214,0.161,0.033,0.025,0.571,1.32,0.834
31,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.984,0.384,0.387,0.862,0.262,0.265,0.122,0.025,0.006,0.685,4.167,0.876
41,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.993,0.393,0.396,0.889,0.289,0.292,0.104,0.014,0.005,0.737,2.8,0.895
51,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.1562477317575884,0.998,0.398,0.401,0.916,0.316,0.319,0.082,0.014,0.003,0.796,4.667,0.918
3,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.835,0.235,0.277,0.59,-0.01,0.032,0.245,0.0,0.0,0.116,,0.707
5,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.899,0.299,0.341,0.609,0.009,0.051,0.29,0.01,0.032,0.15,0.312,0.677
7,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.941,0.341,0.383,0.627,0.027,0.069,0.314,0.009,0.021,0.18,0.429,0.666
9,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.963,0.363,0.405,0.638,0.038,0.08,0.325,0.006,0.011,0.198,0.545,0.663
11,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.972,0.372,0.414,0.659,0.059,0.101,0.313,0.011,0.005,0.244,2.2,0.678
21,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.998,0.398,0.44,0.718,0.118,0.16,0.28,0.029,0.013,0.364,2.231,0.719
31,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,1.0,0.4,0.442,0.741,0.141,0.183,0.259,0.012,0.001,0.414,12.0,0.741
41,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,1.0,0.4,0.442,0.768,0.168,0.21,0.232,0.014,0.0,0.475,inf,0.768
51,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,1.0,0.4,0.442,0.77,0.17,0.212,0.23,0.001,0.0,0.48,inf,0.77
