voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
3,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.566,0.016,0.016,0.567,0.017,0.017,-0.001,0.0,0.0,1.063,,1.002
5,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.588,0.038,0.038,0.588,0.038,0.038,0.0,0.011,0.011,1.0,1.0,1.0
7,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.596,0.046,0.046,0.593,0.043,0.043,0.003,0.003,0.004,0.935,0.75,0.995
9,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.624,0.074,0.074,0.62,0.07,0.07,0.004,0.014,0.014,0.946,1.0,0.994
11,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.634,0.084,0.084,0.635,0.085,0.085,-0.001,0.008,0.005,1.012,1.6,1.002
21,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.686,0.136,0.136,0.686,0.136,0.136,0.0,0.026,0.026,1.0,1.0,1.0
31,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.724,0.174,0.174,0.714,0.164,0.164,0.01,0.014,0.019,0.943,0.737,0.986
41,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.748,0.198,0.198,0.757,0.207,0.207,-0.009,0.022,0.012,1.045,1.833,1.012
51,0.55,0.01,"TruncNorm[0.001,0.999]",1000,0.55,0.01,0.758,0.208,0.208,0.76,0.21,0.21,-0.002,0.002,0.005,1.01,0.4,1.003
3,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.579,0.029,0.029,0.571,0.021,0.021,0.008,0.0,0.0,0.724,,0.986
5,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.596,0.046,0.046,0.61,0.06,0.06,-0.014,0.02,0.009,1.304,2.222,1.023
7,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.603,0.053,0.053,0.591,0.041,0.041,0.012,-0.01,0.004,0.774,-2.5,0.98
9,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.596,0.046,0.046,0.6,0.05,0.05,-0.004,0.005,-0.004,1.087,-1.25,1.007
11,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.648,0.098,0.098,0.639,0.089,0.089,0.009,0.02,0.026,0.908,0.769,0.986
21,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.687,0.137,0.137,0.67,0.12,0.12,0.017,0.016,0.02,0.876,0.8,0.975
31,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.719,0.169,0.169,0.705,0.155,0.155,0.014,0.017,0.016,0.917,1.062,0.981
41,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.76,0.21,0.21,0.74,0.19,0.19,0.02,0.018,0.021,0.905,0.857,0.974
51,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.791,0.241,0.241,0.768,0.218,0.218,0.023,0.014,0.016,0.905,0.875,0.971
3,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.567,0.017,0.017,0.555,0.005,0.005,0.012,0.0,0.0,0.294,,0.979
5,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.583,0.033,0.033,0.561,0.011,0.011,0.022,0.003,0.008,0.333,0.375,0.962
7,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.65,0.1,0.1,0.608,0.058,0.058,0.042,0.023,0.034,0.58,0.676,0.935
9,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.671,0.121,0.121,0.674,0.124,0.124,-0.003,0.033,0.011,1.025,3.0,1.004
11,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.661,0.111,0.111,0.643,0.093,0.093,0.018,-0.016,-0.005,0.838,3.2,0.973
21,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.721,0.171,0.171,0.657,0.107,0.107,0.064,0.007,0.03,0.626,0.233,0.911
31,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.766,0.216,0.216,0.727,0.177,0.177,0.039,0.035,0.023,0.819,1.522,0.949
41,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.791,0.241,0.241,0.747,0.197,0.197,0.044,0.01,0.013,0.817,0.769,0.944
51,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.819,0.269,0.269,0.762,0.212,0.212,0.057,0.008,0.014,0.788,0.571,0.93
