distribution,voters,mean,std,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
"TruncNorm[0.001,0.999]",3,Lower,Lower,0.6,0.023,0.652,0.052,0.052,0.649,0.049,0.049,0.003,0.0,0.0,0.89,,0.996
"TruncNorm[0.001,0.999]",3,Lower,Medium,0.585,0.159,0.762,0.162,0.177,0.633,0.033,0.048,0.129,0.0,0.0,0.371,,0.838
"TruncNorm[0.001,0.999]",3,Lower,Upper,0.508,0.283,0.875,0.275,0.367,0.514,-0.086,0.005,0.361,0.0,0.0,0.013,,0.587
"TruncNorm[0.001,0.999]",3,Medium,Lower,0.75,0.023,0.841,0.091,0.091,0.841,0.091,0.091,0.0,0.0,0.0,0.999,,1.0
"TruncNorm[0.001,0.999]",3,Medium,Medium,0.705,0.149,0.857,0.107,0.151,0.783,0.033,0.077,0.074,0.0,0.0,0.613,,0.914
"TruncNorm[0.001,0.999]",3,Medium,Upper,0.521,0.282,0.881,0.131,0.36,0.535,-0.215,0.014,0.346,0.0,0.0,0.041,,0.607
"TruncNorm[0.001,0.999]",3,Upper,Lower,0.899,0.022,0.965,0.065,0.066,0.965,0.065,0.066,0.0,0.0,0.0,0.999,,1.0
"TruncNorm[0.001,0.999]",3,Upper,Medium,0.805,0.129,0.925,0.025,0.12,0.884,-0.016,0.08,0.041,0.0,0.0,0.742,,0.955
"TruncNorm[0.001,0.999]",3,Upper,Upper,0.533,0.281,0.883,-0.017,0.35,0.549,-0.351,0.016,0.334,0.0,0.0,0.052,,0.622
"TruncNorm[0.001,0.999]",5,Lower,Lower,0.6,0.023,0.677,0.077,0.077,0.675,0.075,0.075,0.002,0.013,0.013,0.944,1.037,0.996
"TruncNorm[0.001,0.999]",5,Lower,Medium,0.585,0.159,0.812,0.212,0.227,0.658,0.058,0.074,0.153,0.013,0.025,0.42,0.68,0.82
"TruncNorm[0.001,0.999]",5,Lower,Upper,0.508,0.283,0.929,0.329,0.421,0.528,-0.072,0.02,0.401,0.007,0.027,0.047,0.227,0.568
"TruncNorm[0.001,0.999]",5,Medium,Lower,0.75,0.023,0.895,0.145,0.145,0.894,0.144,0.144,0.0,0.027,0.027,0.998,0.997,1.0
"TruncNorm[0.001,0.999]",5,Medium,Medium,0.705,0.149,0.905,0.155,0.199,0.829,0.079,0.124,0.076,0.023,0.024,0.701,0.973,0.917
"TruncNorm[0.001,0.999]",5,Medium,Upper,0.521,0.282,0.94,0.19,0.419,0.541,-0.209,0.02,0.399,0.003,0.029,0.049,0.103,0.575
"TruncNorm[0.001,0.999]",5,Upper,Lower,0.899,0.022,0.987,0.087,0.088,0.987,0.087,0.088,-0.0,0.012,0.011,1.001,1.005,1.0
"TruncNorm[0.001,0.999]",5,Upper,Medium,0.805,0.129,0.964,0.064,0.159,0.924,0.024,0.12,0.039,0.02,0.019,0.813,1.038,0.958
"TruncNorm[0.001,0.999]",5,Upper,Upper,0.533,0.281,0.937,0.037,0.404,0.569,-0.331,0.036,0.369,0.01,0.027,0.094,0.335,0.607
"TruncNorm[0.001,0.999]",7,Lower,Lower,0.6,0.023,0.71,0.11,0.11,0.702,0.102,0.102,0.008,0.013,0.016,0.906,0.52,0.988
"TruncNorm[0.001,0.999]",7,Lower,Medium,0.585,0.159,0.854,0.254,0.27,0.677,0.077,0.092,0.178,0.009,0.021,0.407,0.409,0.799
"TruncNorm[0.001,0.999]",7,Lower,Upper,0.508,0.283,0.963,0.363,0.455,0.521,-0.079,0.013,0.441,-0.004,0.017,0.03,-0.431,0.542
"TruncNorm[0.001,0.999]",7,Medium,Lower,0.75,0.023,0.923,0.173,0.173,0.922,0.172,0.172,0.001,0.014,0.014,0.997,0.985,0.999
"TruncNorm[0.001,0.999]",7,Medium,Medium,0.705,0.149,0.946,0.196,0.241,0.868,0.118,0.162,0.079,0.019,0.021,0.722,1.019,0.917
"TruncNorm[0.001,0.999]",7,Medium,Upper,0.521,0.282,0.963,0.213,0.442,0.545,-0.205,0.024,0.418,0.002,0.012,0.058,0.401,0.566
"TruncNorm[0.001,0.999]",7,Upper,Lower,0.899,0.022,0.997,0.097,0.098,0.997,0.097,0.098,-0.0,0.005,0.005,1.001,1.0,1.0
"TruncNorm[0.001,0.999]",7,Upper,Medium,0.805,0.129,0.982,0.082,0.177,0.949,0.049,0.145,0.032,0.013,0.009,0.863,1.097,0.967
"TruncNorm[0.001,0.999]",7,Upper,Upper,0.533,0.281,0.962,0.062,0.43,0.568,-0.332,0.035,0.394,-0.0,0.013,0.089,-0.266,0.591
"TruncNorm[0.001,0.999]",9,Lower,Lower,0.6,0.023,0.73,0.13,0.13,0.73,0.13,0.13,0.0,0.014,0.01,1.003,1.102,1.0
"TruncNorm[0.001,0.999]",9,Lower,Medium,0.585,0.159,0.878,0.278,0.294,0.692,0.092,0.108,0.186,0.008,0.012,0.423,1.252,0.794
"TruncNorm[0.001,0.999]",9,Lower,Upper,0.508,0.283,0.98,0.38,0.472,0.519,-0.081,0.011,0.461,-0.001,0.009,0.023,-0.111,0.529
"TruncNorm[0.001,0.999]",9,Medium,Lower,0.75,0.023,0.949,0.199,0.199,0.948,0.198,0.198,0.0,0.013,0.013,0.998,1.016,1.0
"TruncNorm[0.001,0.999]",9,Medium,Medium,0.705,0.149,0.964,0.214,0.258,0.895,0.145,0.19,0.069,0.014,0.009,0.772,1.804,0.929
"TruncNorm[0.001,0.999]",9,Medium,Upper,0.521,0.282,0.978,0.228,0.457,0.558,-0.192,0.038,0.42,0.007,0.008,0.086,0.89,0.571
"TruncNorm[0.001,0.999]",9,Upper,Lower,0.899,0.022,0.998,0.098,0.099,0.998,0.098,0.099,0.0,0.001,0.001,1.0,1.0,1.0
"TruncNorm[0.001,0.999]",9,Upper,Medium,0.805,0.129,0.992,0.092,0.187,0.963,0.063,0.159,0.028,0.007,0.005,0.895,1.702,0.971
"TruncNorm[0.001,0.999]",9,Upper,Upper,0.533,0.281,0.978,0.078,0.446,0.58,-0.32,0.047,0.398,0.006,0.008,0.112,0.61,0.593
"TruncNorm[0.001,0.999]",11,Lower,Lower,0.6,0.023,0.744,0.144,0.144,0.738,0.138,0.138,0.005,0.004,0.007,0.955,1.263,0.992
"TruncNorm[0.001,0.999]",11,Lower,Medium,0.585,0.159,0.896,0.296,0.311,0.716,0.116,0.132,0.179,0.012,0.009,0.479,1.086,0.805
"TruncNorm[0.001,0.999]",11,Lower,Upper,0.508,0.283,0.987,0.387,0.479,0.528,-0.072,0.02,0.459,0.005,0.004,0.043,1.507,0.535
"TruncNorm[0.001,0.999]",11,Medium,Lower,0.75,0.023,0.959,0.209,0.209,0.959,0.209,0.209,0.0,0.006,0.006,1.0,inf,1.0
"TruncNorm[0.001,0.999]",11,Medium,Medium,0.705,0.149,0.975,0.225,0.27,0.908,0.158,0.202,0.068,0.007,0.006,0.786,0.803,0.931
"TruncNorm[0.001,0.999]",11,Medium,Upper,0.521,0.282,0.985,0.235,0.464,0.554,-0.196,0.033,0.431,-0.002,0.004,0.075,-inf,0.563
