voters,mean,std,true_mean,true_std,majority_correct,d_majority_correct_d_voters,majority_correct_minus_true_mean,optimal_correct,optimal_correct_minus_majority_correct
3,0.55,0.01,0.55,0.01,0.567,0.0,0.017,0.566,-0.001
5,0.55,0.01,0.55,0.01,0.588,0.011,0.038,0.588,0.0
7,0.55,0.01,0.55,0.01,0.593,0.003,0.043,0.596,0.003
9,0.55,0.01,0.55,0.01,0.62,0.014,0.07,0.624,0.004
11,0.55,0.01,0.55,0.01,0.635,0.008,0.085,0.634,-0.001
21,0.55,0.01,0.55,0.01,0.686,0.026,0.136,0.686,0.0
31,0.55,0.01,0.55,0.01,0.714,0.014,0.164,0.724,0.01
41,0.55,0.01,0.55,0.01,0.757,0.022,0.207,0.748,-0.009
51,0.55,0.01,0.55,0.01,0.76,0.002,0.21,0.758,-0.002
3,0.55,0.02,0.55,0.02,0.571,0.0,0.021,0.579,0.008
5,0.55,0.02,0.55,0.02,0.61,0.02,0.06,0.596,-0.014
7,0.55,0.02,0.55,0.02,0.591,-0.01,0.041,0.603,0.012
9,0.55,0.02,0.55,0.02,0.6,0.005,0.05,0.596,-0.004
11,0.55,0.02,0.55,0.02,0.639,0.02,0.089,0.648,0.009
21,0.55,0.02,0.55,0.02,0.67,0.016,0.12,0.687,0.017
31,0.55,0.02,0.55,0.02,0.705,0.017,0.155,0.719,0.014
41,0.55,0.02,0.55,0.02,0.74,0.018,0.19,0.76,0.02
51,0.55,0.02,0.55,0.02,0.768,0.014,0.218,0.791,0.023
3,0.55,0.04,0.55,0.04,0.555,0.0,0.005,0.567,0.012
5,0.55,0.04,0.55,0.04,0.561,0.003,0.011,0.583,0.022
7,0.55,0.04,0.55,0.04,0.608,0.023,0.058,0.65,0.042
9,0.55,0.04,0.55,0.04,0.674,0.033,0.124,0.671,-0.003
11,0.55,0.04,0.55,0.04,0.643,-0.016,0.093,0.661,0.018
21,0.55,0.04,0.55,0.04,0.657,0.007,0.107,0.721,0.064
31,0.55,0.04,0.55,0.04,0.727,0.035,0.177,0.766,0.039
41,0.55,0.04,0.55,0.04,0.747,0.01,0.197,0.791,0.044
51,0.55,0.04,0.55,0.04,0.762,0.008,0.212,0.819,0.057
3,0.55,0.08,0.5499999953905459,0.0799999870528959,0.591,0.0,0.041,0.625,0.034
5,0.55,0.08,0.5499999953905459,0.0799999870528959,0.604,0.007,0.054,0.643,0.039
7,0.55,0.08,0.5499999953905459,0.0799999870528959,0.614,0.005,0.064,0.692,0.078
9,0.55,0.08,0.5499999953905459,0.0799999870528959,0.621,0.004,0.071,0.746,0.125
11,0.55,0.08,0.5499999953905459,0.0799999870528959,0.649,0.014,0.099,0.769,0.12
21,0.55,0.08,0.5499999953905459,0.0799999870528959,0.68,0.016,0.13,0.816,0.136
31,0.55,0.08,0.5499999953905459,0.0799999870528959,0.701,0.01,0.151,0.865,0.164
41,0.55,0.08,0.5499999953905459,0.0799999870528959,0.725,0.012,0.175,0.882,0.157
51,0.55,0.08,0.5499999953905459,0.0799999870528959,0.767,0.021,0.217,0.915,0.148
3,0.55,0.16,0.5489297140239869,0.1579270639166682,0.542,0.0,-0.007,0.738,0.196
5,0.55,0.16,0.5489297140239869,0.1579270639166682,0.591,0.024,0.042,0.785,0.194
7,0.55,0.16,0.5489297140239869,0.1579270639166682,0.596,0.003,0.047,0.84,0.244
9,0.55,0.16,0.5489297140239869,0.1579270639166682,0.578,-0.009,0.029,0.86,0.282
11,0.55,0.16,0.5489297140239869,0.1579270639166682,0.625,0.024,0.076,0.869,0.244
21,0.55,0.16,0.5489297140239869,0.1579270639166682,0.676,0.026,0.127,0.955,0.279
31,0.55,0.16,0.5489297140239869,0.1579270639166682,0.717,0.02,0.168,0.973,0.256
41,0.55,0.16,0.5489297140239869,0.1579270639166682,0.74,0.012,0.191,0.989,0.249
51,0.55,0.16,0.5489297140239869,0.1579270639166682,0.768,0.014,0.219,0.994,0.226
3,0.55,0.32,0.5290095037068471,0.2432550984320321,0.566,0.0,0.037,0.837,0.271
5,0.55,0.32,0.5290095037068471,0.2432550984320321,0.568,0.001,0.039,0.898,0.33
7,0.55,0.32,0.5290095037068471,0.2432550984320321,0.542,-0.013,0.013,0.922,0.38
9,0.55,0.32,0.5290095037068471,0.2432550984320321,0.561,0.01,0.032,0.942,0.381
11,0.55,0.32,0.5290095037068471,0.2432550984320321,0.59,0.014,0.061,0.958,0.368
21,0.55,0.32,0.5290095037068471,0.2432550984320321,0.624,0.017,0.095,0.998,0.374
31,0.55,0.32,0.5290095037068471,0.2432550984320321,0.637,0.007,0.108,0.999,0.362
