voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.55,0.01,1.0,1.0
5,0.55,0.01,1.237,1.015
7,0.55,0.01,1.052,1.005
9,0.55,0.01,0.892,0.987
11,0.55,0.01,0.952,0.991
21,0.55,0.01,0.993,0.999
31,0.55,0.01,1.046,1.01
41,0.55,0.01,0.958,0.989
51,0.55,0.01,0.995,0.999
3,0.55,0.02,1.177,1.012
5,0.55,0.02,1.067,1.005
7,0.55,0.02,1.0,1.0
9,0.55,0.02,0.934,0.993
11,0.55,0.02,0.797,0.972
21,0.55,0.02,1.008,1.001
31,0.55,0.02,0.969,0.992
41,0.55,0.02,0.977,0.994
51,0.55,0.02,0.933,0.982
3,0.55,0.04,1.285,1.012
5,0.55,0.04,0.939,0.992
7,0.55,0.04,0.791,0.975
9,0.55,0.04,0.888,0.983
11,0.55,0.04,0.705,0.955
21,0.55,0.04,0.88,0.972
31,0.55,0.04,0.882,0.967
41,0.55,0.04,0.781,0.931
51,0.55,0.04,0.936,0.98
3,0.55,0.08,0.933,0.995
5,0.55,0.08,0.844,0.979
7,0.55,0.08,0.843,0.974
9,0.55,0.08,0.819,0.969
11,0.55,0.08,0.813,0.959
21,0.55,0.08,0.839,0.953
31,0.55,0.08,0.805,0.935
41,0.55,0.08,0.875,0.955
51,0.55,0.08,0.898,0.962
3,0.55,0.16,0.727,0.963
5,0.55,0.16,0.778,0.954
7,0.55,0.16,0.683,0.927
9,0.55,0.16,0.827,0.956
11,0.55,0.16,0.867,0.963
21,0.55,0.16,0.833,0.946
31,0.55,0.16,0.915,0.971
41,0.55,0.16,0.936,0.978
51,0.55,0.16,0.972,0.99
3,0.55,0.32,0.632,0.947
5,0.55,0.32,0.797,0.955
7,0.55,0.32,0.815,0.955
9,0.55,0.32,0.757,0.938
11,0.55,0.32,0.854,0.962
21,0.55,0.32,0.965,0.99
31,0.55,0.32,0.986,0.996
41,0.55,0.32,1.0,1.0
51,0.55,0.32,0.997,0.999
3,0.55,0.64,0.71,0.959
5,0.55,0.64,0.799,0.957
7,0.55,0.64,0.816,0.957
9,0.55,0.64,0.892,0.973
11,0.55,0.64,0.844,0.961
21,0.55,0.64,0.962,0.99
31,0.55,0.64,0.988,0.997
41,0.55,0.64,1.0,1.0
51,0.55,0.64,1.0,1.0
3,0.55,1.28,0.761,0.966
5,0.55,1.28,0.693,0.936
7,0.55,1.28,0.838,0.965
9,0.55,1.28,0.891,0.974
11,0.55,1.28,0.913,0.979
21,0.55,1.28,0.98,0.995
31,0.55,1.28,0.996,0.999
41,0.55,1.28,1.0,1.0
51,0.55,1.28,1.0,1.0
3,0.55,2.56,0.673,0.95
5,0.55,2.56,0.724,0.945
7,0.55,2.56,0.835,0.962
9,0.55,2.56,0.854,0.966
11,0.55,2.56,0.884,0.972
21,0.55,2.56,0.96,0.99
31,0.55,2.56,0.992,0.998
41,0.55,2.56,1.0,1.0
51,0.55,2.56,1.0,1.0
3,0.6,0.01,1.0,1.0
5,0.6,0.01,1.0,1.0
7,0.6,0.01,0.989,0.999
9,0.6,0.01,1.0,1.0
11,0.6,0.01,0.993,0.999
21,0.6,0.01,1.0,1.0
31,0.6,0.01,0.99,0.997
41,0.6,0.01,0.99,0.997
51,0.6,0.01,0.997,0.999
3,0.6,0.02,1.0,1.0
5,0.6,0.02,1.025,1.003
7,0.6,0.02,1.011,1.001
9,0.6,0.02,1.0,1.0
11,0.6,0.02,0.993,0.999
21,0.6,0.02,1.0,1.0
31,0.6,0.02,0.975,0.992
41,0.6,0.02,1.007,1.002
51,0.6,0.02,0.982,0.994
3,0.6,0.04,0.861,0.991
5,0.6,0.04,0.962,0.994
7,0.6,0.04,1.009,1.001
9,0.6,0.04,0.861,0.974
11,0.6,0.04,0.937,0.986
21,0.6,0.04,0.972,0.992
31,0.6,0.04,0.906,0.969
41,0.6,0.04,0.976,0.991
51,0.6,0.04,0.961,0.986
3,0.6,0.08,0.574,0.964
5,0.6,0.08,0.883,0.981
7,0.6,0.08,0.699,0.941
9,0.6,0.08,0.905,0.98
11,0.6,0.08,0.791,0.947
21,0.6,0.08,0.863,0.957
31,0.6,0.08,0.899,0.966
41,0.6,0.08,0.932,0.976
51,0.6,0.08,0.946,0.98
3,0.6,0.16,0.529,0.934
5,0.6,0.16,0.863,0.972
7,0.6,0.16,0.816,0.959
9,0.6,0.16,0.78,0.94
11,0.6,0.16,0.809,0.947
21,0.6,0.16,0.905,0.97
31,0.6,0.16,0.96,0.987
41,0.6,0.16,0.967,0.989
51,0.6,0.16,0.973,0.991
3,0.6,0.32,0.729,0.957
5,0.6,0.32,0.711,0.942
7,0.6,0.32,0.872,0.971
9,0.6,0.32,0.832,0.958
11,0.6,0.32,0.862,0.963
21,0.6,0.32,0.971,0.992
31,0.6,0.32,0.986,0.996
41,0.6,0.32,0.989,0.997
51,0.6,0.32,1.0,1.0
3,0.6,0.64,0.69,0.956
5,0.6,0.64,0.768,0.955
7,0.6,0.64,0.767,0.949
9,0.6,0.64,0.85,0.963
11,0.6,0.64,0.89,0.973
21,0.6,0.64,0.977,0.994
31,0.6,0.64,0.992,0.998
41,0.6,0.64,1.0,1.0
51,0.6,0.64,1.0,1.0
3,0.6,1.28,0.583,0.938
5,0.6,1.28,0.732,0.948
7,0.6,1.28,0.847,0.965
9,0.6,1.28,0.875,0.971
11,0.6,1.28,0.86,0.966
21,0.6,1.28,0.984,0.996
31,0.6,1.28,0.992,0.998
41,0.6,1.28,1.0,1.0
51,0.6,1.28,1.0,1.0
3,0.6,2.56,0.644,0.949
5,0.6,2.56,0.77,0.952
7,0.6,2.56,0.838,0.963
9,0.6,2.56,0.851,0.964
11,0.6,2.56,0.886,0.973
21,0.6,2.56,0.976,0.994
31,0.6,2.56,0.996,0.999
41,0.6,2.56,1.0,1.0
51,0.6,2.56,1.0,1.0
3,0.65,0.01,1.0,1.0
5,0.65,0.01,1.0,1.0
7,0.65,0.01,1.0,1.0
9,0.65,0.01,1.0,1.0
11,0.65,0.01,1.0,1.0
21,0.65,0.01,1.0,1.0
31,0.65,0.01,1.0,1.0
41,0.65,0.01,1.003,1.001
51,0.65,0.01,1.0,1.0
3,0.65,0.02,1.0,1.0
5,0.65,0.02,1.0,1.0
7,0.65,0.02,1.013,1.002
9,0.65,0.02,0.989,0.998
11,0.65,0.02,1.01,1.002
21,0.65,0.02,1.0,1.0
31,0.65,0.02,1.0,1.0
41,0.65,0.02,0.985,0.995
51,0.65,0.02,0.991,0.997
3,0.65,0.04,1.0,1.0
5,0.65,0.04,0.921,0.988
7,0.65,0.04,0.979,0.996
9,0.65,0.04,0.953,0.989
11,0.65,0.04,0.97,0.993
21,0.65,0.04,0.956,0.987
31,0.65,0.04,0.987,0.996
41,0.65,0.04,0.985,0.995
51,0.65,0.04,0.988,0.996
3,0.65,0.08,0.904,0.989
5,0.65,0.08,1.0,1.0
7,0.65,0.08,0.938,0.988
9,0.65,0.08,0.925,0.982
11,0.65,0.08,0.991,0.998
21,0.65,0.08,0.952,0.985
31,0.65,0.08,0.953,0.985
41,0.65,0.08,0.967,0.989
51,0.65,0.08,0.985,0.995
3,0.65,0.16,0.726,0.962
5,0.65,0.16,0.766,0.953
7,0.65,0.16,0.862,0.97
9,0.65,0.16,0.89,0.972
11,0.65,0.16,0.819,0.95
21,0.65,0.16,0.946,0.984
31,0.65,0.16,0.983,0.995
41,0.65,0.16,0.987,0.996
51,0.65,0.16,1.0,1.0
3,0.65,0.32,0.832,0.974
5,0.65,0.32,0.765,0.949
7,0.65,0.32,0.831,0.962
9,0.65,0.32,0.859,0.966
11,0.65,0.32,0.888,0.971
21,0.65,0.32,0.978,0.994
31,0.65,0.32,0.989,0.997
41,0.65,0.32,0.996,0.999
51,0.65,0.32,1.0,1.0
3,0.65,0.64,0.801,0.971
5,0.65,0.64,0.763,0.952
7,0.65,0.64,0.842,0.963
9,0.65,0.64,0.826,0.957
11,0.65,0.64,0.903,0.977
21,0.65,0.64,0.96,0.99
31,0.65,0.64,0.996,0.999
41,0.65,0.64,0.996,0.999
51,0.65,0.64,1.0,1.0
3,0.65,1.28,0.743,0.962
5,0.65,1.28,0.723,0.942
7,0.65,1.28,0.823,0.96
9,0.65,1.28,0.87,0.969
11,0.65,1.28,0.91,0.979
21,0.65,1.28,0.972,0.993
31,0.65,1.28,0.992,0.998
41,0.65,1.28,0.996,0.999
51,0.65,1.28,1.0,1.0
3,0.65,2.56,0.639,0.944
5,0.65,2.56,0.876,0.975
7,0.65,2.56,0.846,0.965
9,0.65,2.56,0.886,0.973
11,0.65,2.56,0.867,0.968
21,0.65,2.56,0.972,0.993
31,0.65,2.56,0.992,0.998
41,0.65,2.56,1.0,1.0
51,0.65,2.56,1.0,1.0
3,0.7,0.01,1.0,1.0
5,0.7,0.01,1.0,1.0
7,0.7,0.01,1.0,1.0
9,0.7,0.01,1.0,1.0
11,0.7,0.01,1.0,1.0
21,0.7,0.01,1.0,1.0
31,0.7,0.01,1.0,1.0
41,0.7,0.01,1.0,1.0
51,0.7,0.01,1.0,1.0
3,0.7,0.02,1.0,1.0
5,0.7,0.02,1.0,1.0
7,0.7,0.02,1.0,1.0
9,0.7,0.02,1.0,1.0
11,0.7,0.02,0.995,0.999
21,0.7,0.02,0.989,0.997
31,0.7,0.02,0.993,0.998
41,0.7,0.02,1.0,1.0
51,0.7,0.02,1.0,1.0
3,0.7,0.04,1.014,1.001
5,0.7,0.04,0.992,0.999
7,0.7,0.04,1.022,1.005
9,0.7,0.04,1.009,1.002
11,0.7,0.04,0.978,0.995
21,0.7,0.04,0.989,0.997
31,0.7,0.04,0.993,0.998
41,0.7,0.04,0.997,0.999
51,0.7,0.04,0.997,0.999
3,0.7,0.08,0.955,0.995
5,0.7,0.08,0.944,0.99
7,0.7,0.08,0.898,0.978
9,0.7,0.08,0.877,0.972
11,0.7,0.08,0.967,0.992
21,0.7,0.08,0.941,0.983
31,0.7,0.08,0.99,0.997
41,0.7,0.08,0.99,0.997
51,0.7,0.08,0.997,0.999
3,0.7,0.16,0.739,0.963
5,0.7,0.16,0.825,0.965
7,0.7,0.16,0.818,0.962
9,0.7,0.16,0.88,0.971
11,0.7,0.16,0.832,0.957
21,0.7,0.16,0.949,0.986
31,0.7,0.16,0.978,0.994
41,0.7,0.16,1.0,1.0
51,0.7,0.16,1.0,1.0
3,0.7,0.32,0.77,0.966
5,0.7,0.32,0.778,0.955
7,0.7,0.32,0.869,0.971
9,0.7,0.32,0.82,0.956
11,0.7,0.32,0.941,0.986
21,0.7,0.32,0.969,0.992
31,0.7,0.32,0.996,0.999
41,0.7,0.32,1.0,1.0
51,0.7,0.32,1.0,1.0
3,0.7,0.64,0.745,0.962
5,0.7,0.64,0.761,0.953
7,0.7,0.64,0.831,0.962
9,0.7,0.64,0.862,0.967
11,0.7,0.64,0.88,0.971
21,0.7,0.64,0.98,0.995
31,0.7,0.64,0.984,0.996
41,0.7,0.64,1.0,1.0
51,0.7,0.64,1.0,1.0
3,0.7,1.28,0.704,0.956
5,0.7,1.28,0.751,0.948
7,0.7,1.28,0.865,0.969
9,0.7,1.28,0.867,0.968
11,0.7,1.28,0.924,0.982
21,0.7,1.28,0.992,0.998
31,0.7,1.28,0.992,0.998
41,0.7,1.28,1.0,1.0
51,0.7,1.28,1.0,1.0
3,0.7,2.56,0.707,0.958
5,0.7,2.56,0.762,0.951
7,0.7,2.56,0.887,0.974
9,0.7,2.56,0.871,0.969
11,0.7,2.56,0.88,0.971
21,0.7,2.56,0.984,0.996
31,0.7,2.56,0.996,0.999
41,0.7,2.56,1.0,1.0
51,0.7,2.56,1.0,1.0
3,0.75,0.01,1.0,1.0
5,0.75,0.01,1.0,1.0
7,0.75,0.01,1.0,1.0
9,0.75,0.01,1.0,1.0
11,0.75,0.01,1.0,1.0
21,0.75,0.01,1.0,1.0
31,0.75,0.01,1.0,1.0
41,0.75,0.01,1.0,1.0
51,0.75,0.01,1.0,1.0
3,0.75,0.02,1.0,1.0
5,0.75,0.02,1.0,1.0
7,0.75,0.02,1.0,1.0
9,0.75,0.02,1.0,1.0
11,0.75,0.02,1.0,1.0
21,0.75,0.02,1.004,1.001
31,0.75,0.02,1.0,1.0
41,0.75,0.02,1.0,1.0
51,0.75,0.02,1.0,1.0
3,0.75,0.04,0.988,0.999
5,0.75,0.04,0.993,0.999
7,0.75,0.04,0.994,0.999
9,0.75,0.04,0.995,0.999
11,0.75,0.04,0.991,0.998
21,0.75,0.04,1.004,1.001
31,0.75,0.04,0.996,0.999
41,0.75,0.04,1.0,1.0
51,0.75,0.04,1.0,1.0
3,0.75,0.08,0.873,0.984
5,0.75,0.08,0.951,0.992
7,0.75,0.08,0.938,0.988
9,0.75,0.08,0.949,0.989
11,0.75,0.08,0.964,0.992
21,0.75,0.08,1.0,1.0
31,0.75,0.08,0.992,0.998
41,0.75,0.08,1.0,1.0
51,0.75,0.08,1.0,1.0
3,0.75,0.16,0.875,0.984
5,0.75,0.16,0.809,0.962
7,0.75,0.16,0.808,0.958
9,0.75,0.16,0.842,0.964
11,0.75,0.16,0.911,0.979
21,0.75,0.16,0.976,0.994
31,0.75,0.16,1.0,1.0
41,0.75,0.16,1.0,1.0
51,0.75,0.16,1.0,1.0
3,0.75,0.32,0.774,0.97
5,0.75,0.32,0.82,0.966
7,0.75,0.32,0.805,0.956
9,0.75,0.32,0.806,0.954
11,0.75,0.32,0.911,0.979
21,0.75,0.32,0.98,0.995
31,0.75,0.32,0.996,0.999
41,0.75,0.32,1.0,1.0
51,0.75,0.32,0.996,0.999
3,0.75,0.64,0.721,0.956
5,0.75,0.64,0.769,0.952
7,0.75,0.64,0.82,0.961
9,0.75,0.64,0.882,0.972
11,0.75,0.64,0.916,0.98
21,0.75,0.64,0.972,0.993
31,0.75,0.64,1.0,1.0
41,0.75,0.64,1.0,1.0
51,0.75,0.64,1.0,1.0
3,0.75,1.28,0.717,0.954
5,0.75,1.28,0.765,0.954
7,0.75,1.28,0.852,0.967
9,0.75,1.28,0.856,0.966
11,0.75,1.28,0.916,0.98
21,0.75,1.28,0.98,0.995
31,0.75,1.28,0.992,0.998
41,0.75,1.28,1.0,1.0
51,0.75,1.28,1.0,1.0
3,0.75,2.56,0.683,0.951
5,0.75,2.56,0.706,0.94
7,0.75,2.56,0.876,0.973
9,0.75,2.56,0.904,0.978
11,0.75,2.56,0.916,0.98
21,0.75,2.56,0.976,0.994
31,0.75,2.56,0.988,0.997
41,0.75,2.56,0.996,0.999
51,0.75,2.56,1.0,1.0
3,0.8,0.01,1.0,1.0
5,0.8,0.01,1.0,1.0
7,0.8,0.01,1.0,1.0
9,0.8,0.01,1.0,1.0
11,0.8,0.01,1.0,1.0
21,0.8,0.01,1.0,1.0
31,0.8,0.01,1.0,1.0
41,0.8,0.01,1.0,1.0
51,0.8,0.01,1.0,1.0
3,0.8,0.02,1.0,1.0
5,0.8,0.02,1.0,1.0
7,0.8,0.02,1.0,1.0
9,0.8,0.02,1.0,1.0
11,0.8,0.02,1.0,1.0
21,0.8,0.02,1.0,1.0
31,0.8,0.02,1.0,1.0
41,0.8,0.02,1.0,1.0
51,0.8,0.02,1.0,1.0
3,0.8,0.04,1.0,1.0
5,0.8,0.04,0.993,0.999
7,0.8,0.04,1.0,1.0
9,0.8,0.04,1.0,1.0
11,0.8,0.04,0.979,0.996
21,0.8,0.04,1.0,1.0
31,0.8,0.04,1.0,1.0
41,0.8,0.04,1.0,1.0
51,0.8,0.04,1.0,1.0
3,0.8,0.08,0.969,0.997
5,0.8,0.08,0.917,0.986
7,0.8,0.08,0.955,0.992
9,0.8,0.08,0.979,0.996
11,0.8,0.08,0.989,0.998
21,0.8,0.08,0.995,0.999
31,0.8,0.08,1.0,1.0
41,0.8,0.08,1.0,1.0
51,0.8,0.08,1.0,1.0
3,0.8,0.16,0.758,0.966
5,0.8,0.16,0.828,0.97
7,0.8,0.16,0.91,0.982
9,0.8,0.16,0.94,0.988
11,0.8,0.16,0.915,0.982
21,0.8,0.16,0.986,0.997
31,0.8,0.16,1.0,1.0
41,0.8,0.16,1.0,1.0
51,0.8,0.16,1.0,1.0
3,0.8,0.32,0.766,0.965
5,0.8,0.32,0.782,0.959
7,0.8,0.32,0.862,0.97
9,0.8,0.32,0.865,0.969
11,0.8,0.32,0.961,0.991
21,0.8,0.32,0.983,0.996
31,0.8,0.32,0.996,0.999
41,0.8,0.32,1.0,1.0
51,0.8,0.32,0.996,0.999
3,0.8,0.64,0.852,0.979
5,0.8,0.64,0.822,0.963
7,0.8,0.64,0.8,0.956
9,0.8,0.64,0.861,0.968
11,0.8,0.64,0.928,0.983
21,0.8,0.64,0.972,0.993
31,0.8,0.64,1.0,1.0
41,0.8,0.64,1.0,1.0
51,0.8,0.64,1.0,1.0
3,0.8,1.28,0.792,0.971
5,0.8,1.28,0.75,0.95
7,0.8,1.28,0.846,0.967
9,0.8,1.28,0.906,0.978
11,0.8,1.28,0.909,0.978
21,0.8,1.28,0.972,0.993
31,0.8,1.28,0.988,0.997
41,0.8,1.28,1.0,1.0
51,0.8,1.28,1.0,1.0
3,0.8,2.56,0.664,0.951
5,0.8,2.56,0.723,0.943
7,0.8,2.56,0.761,0.945
9,0.8,2.56,0.894,0.975
11,0.8,2.56,0.908,0.978
21,0.8,2.56,0.972,0.993
31,0.8,2.56,0.996,0.999
41,0.8,2.56,0.996,0.999
51,0.8,2.56,1.0,1.0
3,0.85,0.01,1.0,1.0
5,0.85,0.01,1.0,1.0
7,0.85,0.01,1.0,1.0
9,0.85,0.01,1.0,1.0
11,0.85,0.01,1.0,1.0
21,0.85,0.01,1.0,1.0
31,0.85,0.01,1.0,1.0
41,0.85,0.01,1.0,1.0
51,0.85,0.01,1.0,1.0
