,distribution,voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
361,truncnorm,5.0,Medium,Medium,1000.0,0.75,0.892,0.142,0.142,0.886,0.136,0.136,0.006,0.017,0.02,0.958,0.85,0.993
362,truncnorm,7.0,Medium,Medium,1000.0,0.75,0.948,0.198,0.198,0.944,0.194,0.194,0.004,0.029,0.028,0.98,1.036,0.996
363,truncnorm,9.0,Medium,Medium,1000.0,0.75,0.957,0.207,0.207,0.949,0.199,0.199,0.008,0.003,0.005,0.961,0.6,0.992
364,truncnorm,11.0,Medium,Medium,1000.0,0.75,0.975,0.225,0.225,0.969,0.219,0.219,0.006,0.01,0.009,0.973,1.111,0.994
365,truncnorm,21.0,Medium,Medium,1000.0,0.75,0.998,0.248,0.248,0.994,0.244,0.244,0.004,0.013,0.012,0.984,1.083,0.996
366,truncnorm,31.0,Medium,Medium,1000.0,0.75,0.999,0.249,0.249,0.998,0.248,0.248,0.001,0.002,0.001,0.996,2.0,0.999
367,truncnorm,41.0,Medium,Medium,1000.0,0.75,1.0,0.25,0.25,0.999,0.249,0.249,0.001,0.001,0.001,0.996,1.0,0.999
368,truncnorm,51.0,Medium,Medium,1000.0,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.001,0.0,1.0,inf,1.0
396,truncnorm,3.0,Medium,Upper,1000.0,0.75,0.856,0.106,0.106,0.836,0.086,0.086,0.02,0.0,0.0,0.811,,0.977
397,truncnorm,5.0,Medium,Upper,1000.0,0.75,0.913,0.163,0.163,0.889,0.139,0.139,0.024,0.027,0.029,0.853,0.931,0.974
398,truncnorm,7.0,Medium,Upper,1000.0,0.75,0.948,0.198,0.198,0.928,0.178,0.178,0.02,0.02,0.017,0.899,1.176,0.979
399,truncnorm,9.0,Medium,Upper,1000.0,0.75,0.972,0.222,0.222,0.957,0.207,0.207,0.015,0.014,0.012,0.932,1.167,0.985
400,truncnorm,11.0,Medium,Upper,1000.0,0.75,0.984,0.234,0.234,0.964,0.214,0.214,0.02,0.004,0.006,0.915,0.667,0.98
401,truncnorm,21.0,Medium,Upper,1000.0,0.75,0.999,0.249,0.249,0.99,0.24,0.24,0.009,0.013,0.008,0.964,1.625,0.991
402,truncnorm,31.0,Medium,Upper,1000.0,0.75,1.0,0.25,0.25,0.997,0.247,0.247,0.003,0.004,0.001,0.988,4.0,0.997
403,truncnorm,41.0,Medium,Upper,1000.0,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.002,0.0,1.0,inf,1.0
404,truncnorm,51.0,Medium,Upper,1000.0,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0,0.0,0.0,1.0,,1.0
666,truncnorm,3.0,Upper,Lower,1000.0,0.942,0.991,0.041,0.049,0.991,0.041,0.049,0.0,0.0,0.0,1.0,,1.0
667,truncnorm,5.0,Upper,Lower,1000.0,0.942,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.005,0.005,1.0,1.0,1.0
668,truncnorm,7.0,Upper,Lower,1000.0,0.942,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
669,truncnorm,9.0,Upper,Lower,1000.0,0.942,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
670,truncnorm,11.0,Upper,Lower,1000.0,0.942,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
671,truncnorm,21.0,Upper,Lower,1000.0,0.942,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
672,truncnorm,31.0,Upper,Lower,1000.0,0.942,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
673,truncnorm,41.0,Upper,Lower,1000.0,0.942,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
674,truncnorm,51.0,Upper,Lower,1000.0,0.942,1.0,0.05,0.058,1.0,0.05,0.058,0.0,0.0,0.0,1.0,,1.0
684,truncnorm,3.0,Upper,Medium,1000.0,0.914,0.983,0.033,0.069,0.981,0.031,0.067,0.002,0.0,0.0,0.971,,0.998
685,truncnorm,5.0,Upper,Medium,1000.0,0.914,0.998,0.048,0.084,0.996,0.046,0.082,0.002,0.008,0.008,0.976,1.0,0.998
686,truncnorm,7.0,Upper,Medium,1000.0,0.914,1.0,0.05,0.086,0.999,0.049,0.085,0.001,0.002,0.001,0.988,2.0,0.999
687,truncnorm,9.0,Upper,Medium,1000.0,0.914,1.0,0.05,0.086,1.0,0.05,0.086,0.0,0.001,0.0,1.0,inf,1.0
688,truncnorm,11.0,Upper,Medium,1000.0,0.914,1.0,0.05,0.086,1.0,0.05,0.086,0.0,0.0,0.0,1.0,,1.0
689,truncnorm,21.0,Upper,Medium,1000.0,0.914,1.0,0.05,0.086,1.0,0.05,0.086,0.0,0.0,0.0,1.0,,1.0
690,truncnorm,31.0,Upper,Medium,1000.0,0.914,1.0,0.05,0.086,1.0,0.05,0.086,0.0,0.0,0.0,1.0,,1.0
691,truncnorm,41.0,Upper,Medium,1000.0,0.914,1.0,0.05,0.086,1.0,0.05,0.086,0.0,0.0,0.0,1.0,,1.0
692,truncnorm,51.0,Upper,Medium,1000.0,0.914,1.0,0.05,0.086,1.0,0.05,0.086,0.0,0.0,0.0,1.0,,1.0
720,truncnorm,3.0,Upper,Upper,1000.0,0.868,0.959,0.009,0.091,0.948,-0.002,0.08,0.011,0.0,0.0,0.879,,0.989
721,truncnorm,5.0,Upper,Upper,1000.0,0.868,0.995,0.045,0.127,0.987,0.037,0.119,0.008,0.02,0.018,0.937,1.111,0.992
722,truncnorm,7.0,Upper,Upper,1000.0,0.868,0.998,0.048,0.13,0.992,0.042,0.124,0.006,0.003,0.002,0.954,1.5,0.994
723,truncnorm,9.0,Upper,Upper,1000.0,0.868,0.997,0.047,0.129,0.994,0.044,0.126,0.003,0.001,-0.001,0.977,-1.0,0.997
724,truncnorm,11.0,Upper,Upper,1000.0,0.868,1.0,0.05,0.132,0.999,0.049,0.131,0.001,0.003,0.002,0.992,1.5,0.999
725,truncnorm,21.0,Upper,Upper,1000.0,0.868,1.0,0.05,0.132,1.0,0.05,0.132,0.0,0.001,0.0,1.0,inf,1.0
726,truncnorm,31.0,Upper,Upper,1000.0,0.868,1.0,0.05,0.132,1.0,0.05,0.132,0.0,0.0,0.0,1.0,,1.0
727,truncnorm,41.0,Upper,Upper,1000.0,0.868,1.0,0.05,0.132,1.0,0.05,0.132,0.0,0.0,0.0,1.0,,1.0
728,truncnorm,51.0,Upper,Upper,1000.0,0.868,1.0,0.05,0.132,1.0,0.05,0.132,0.0,0.0,0.0,1.0,,1.0
