voters,distribution,mean,std,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
5,uniform,0.8,0.058,1000,0.8,0.058,0.952,0.152,0.152,0.952,0.152,0.152,0.0,0.028,0.027,1.0,1.037,1.0
7,uniform,0.8,0.058,1000,0.8,0.058,0.973,0.173,0.173,0.969,0.169,0.169,0.004,0.009,0.011,0.977,0.818,0.996
9,uniform,0.8,0.058,1000,0.8,0.058,0.98,0.18,0.18,0.978,0.178,0.178,0.002,0.005,0.004,0.989,1.25,0.998
11,uniform,0.8,0.058,1000,0.8,0.058,0.991,0.191,0.191,0.99,0.19,0.19,0.001,0.006,0.006,0.995,1.0,0.999
21,uniform,0.8,0.058,1000,0.8,0.058,1.0,0.2,0.2,0.999,0.199,0.199,0.001,0.005,0.005,0.995,1.0,0.999
31,uniform,0.8,0.058,1000,0.8,0.058,1.0,0.2,0.2,1.0,0.2,0.2,0.0,0.001,0.0,1.0,inf,1.0
41,uniform,0.8,0.058,1000,0.8,0.058,1.0,0.2,0.2,1.0,0.2,0.2,0.0,0.0,0.0,1.0,,1.0
51,uniform,0.8,0.058,1000,0.8,0.058,1.0,0.2,0.2,1.0,0.2,0.2,0.0,0.0,0.0,1.0,,1.0
3,uniform,0.8,0.113,1000,0.8,0.113,0.914,0.114,0.114,0.907,0.107,0.107,0.007,0.0,0.0,0.939,,0.992
5,uniform,0.8,0.113,1000,0.8,0.113,0.961,0.161,0.161,0.95,0.15,0.15,0.011,0.021,0.023,0.932,0.913,0.989
7,uniform,0.8,0.113,1000,0.8,0.113,0.984,0.184,0.184,0.96,0.16,0.16,0.024,0.005,0.012,0.87,0.417,0.976
9,uniform,0.8,0.113,1000,0.8,0.113,0.989,0.189,0.189,0.975,0.175,0.175,0.014,0.008,0.003,0.926,2.667,0.986
11,uniform,0.8,0.113,1000,0.8,0.113,0.997,0.197,0.197,0.985,0.185,0.185,0.012,0.005,0.004,0.939,1.25,0.988
21,uniform,0.8,0.113,1000,0.8,0.113,1.0,0.2,0.2,0.998,0.198,0.198,0.002,0.007,0.002,0.99,3.5,0.998
31,uniform,0.8,0.113,1000,0.8,0.113,1.0,0.2,0.2,1.0,0.2,0.2,0.0,0.001,0.0,1.0,inf,1.0
41,uniform,0.8,0.113,1000,0.8,0.113,1.0,0.2,0.2,1.0,0.2,0.2,0.0,0.0,0.0,1.0,,1.0
51,uniform,0.8,0.113,1000,0.8,0.113,1.0,0.2,0.2,1.0,0.2,0.2,0.0,0.0,0.0,1.0,,1.0
3,uniform,0.84,0.084,1000,0.84,0.084,0.94,0.1,0.1,0.933,0.093,0.093,0.007,0.0,0.0,0.93,,0.993
5,uniform,0.84,0.084,1000,0.84,0.084,0.977,0.137,0.137,0.977,0.137,0.137,0.0,0.022,0.019,1.0,1.158,1.0
7,uniform,0.84,0.084,1000,0.84,0.084,0.991,0.151,0.151,0.988,0.148,0.148,0.003,0.006,0.007,0.98,0.857,0.997
9,uniform,0.84,0.084,1000,0.84,0.084,0.997,0.157,0.157,0.997,0.157,0.157,0.0,0.005,0.003,1.0,1.667,1.0
11,uniform,0.84,0.084,1000,0.84,0.084,0.998,0.158,0.158,0.997,0.157,0.157,0.001,0.0,0.001,0.994,0.0,0.999
21,uniform,0.84,0.084,1000,0.84,0.084,1.0,0.16,0.16,1.0,0.16,0.16,0.0,0.002,0.001,1.0,2.0,1.0
31,uniform,0.84,0.084,1000,0.84,0.084,1.0,0.16,0.16,1.0,0.16,0.16,0.0,0.0,0.0,1.0,,1.0
41,uniform,0.84,0.084,1000,0.84,0.084,1.0,0.16,0.16,1.0,0.16,0.16,0.0,0.0,0.0,1.0,,1.0
51,uniform,0.84,0.084,1000,0.84,0.084,1.0,0.16,0.16,1.0,0.16,0.16,0.0,0.0,0.0,1.0,,1.0
3,uniform,0.85,0.029,1000,0.85,0.029,0.947,0.097,0.097,0.947,0.097,0.097,0.0,0.0,0.0,1.0,,1.0
5,uniform,0.85,0.029,1000,0.85,0.029,0.974,0.124,0.124,0.974,0.124,0.124,0.0,0.014,0.014,1.0,1.0,1.0
7,uniform,0.85,0.029,1000,0.85,0.029,0.987,0.137,0.137,0.987,0.137,0.137,0.0,0.007,0.007,1.0,1.0,1.0
9,uniform,0.85,0.029,1000,0.85,0.029,0.997,0.147,0.147,0.997,0.147,0.147,0.0,0.005,0.005,1.0,1.0,1.0
11,uniform,0.85,0.029,1000,0.85,0.029,0.995,0.145,0.145,0.995,0.145,0.145,0.0,-0.001,-0.001,1.0,1.0,1.0
21,uniform,0.85,0.029,1000,0.85,0.029,1.0,0.15,0.15,1.0,0.15,0.15,0.0,0.003,0.003,1.0,1.0,1.0
31,uniform,0.85,0.029,1000,0.85,0.029,1.0,0.15,0.15,1.0,0.15,0.15,0.0,0.0,0.0,1.0,,1.0
41,uniform,0.85,0.029,1000,0.85,0.029,1.0,0.15,0.15,1.0,0.15,0.15,0.0,0.0,0.0,1.0,,1.0
51,uniform,0.85,0.029,1000,0.85,0.029,1.0,0.15,0.15,1.0,0.15,0.15,0.0,0.0,0.0,1.0,,1.0
3,uniform,0.9,0.055,1000,0.9,0.055,0.968,0.068,0.068,0.968,0.068,0.068,0.0,0.0,0.0,1.0,,1.0
5,uniform,0.9,0.055,1000,0.9,0.055,0.997,0.097,0.097,0.996,0.096,0.096,0.001,0.014,0.015,0.99,0.933,0.999
7,uniform,0.9,0.055,1000,0.9,0.055,0.998,0.098,0.098,0.996,0.096,0.096,0.002,0.0,0.001,0.98,0.0,0.998
9,uniform,0.9,0.055,1000,0.9,0.055,1.0,0.1,0.1,1.0,0.1,0.1,0.0,0.002,0.001,1.0,2.0,1.0
11,uniform,0.9,0.055,1000,0.9,0.055,1.0,0.1,0.1,1.0,0.1,0.1,0.0,0.0,0.0,1.0,,1.0
21,uniform,0.9,0.055,1000,0.9,0.055,1.0,0.1,0.1,1.0,0.1,0.1,0.0,0.0,0.0,1.0,,1.0
31,uniform,0.9,0.055,1000,0.9,0.055,1.0,0.1,0.1,1.0,0.1,0.1,0.0,0.0,0.0,1.0,,1.0
41,uniform,0.9,0.055,1000,0.9,0.055,1.0,0.1,0.1,1.0,0.1,0.1,0.0,0.0,0.0,1.0,,1.0
51,uniform,0.9,0.055,1000,0.9,0.055,1.0,0.1,0.1,1.0,0.1,0.1,0.0,0.0,0.0,1.0,,1.0
3,uniform,0.94,0.026,1000,0.94,0.026,0.989,0.049,0.049,0.989,0.049,0.049,0.0,0.0,0.0,1.0,,1.0
5,uniform,0.94,0.026,1000,0.94,0.026,0.999,0.059,0.059,0.999,0.059,0.059,0.0,0.005,0.005,1.0,1.0,1.0
7,uniform,0.94,0.026,1000,0.94,0.026,0.999,0.059,0.059,0.999,0.059,0.059,0.0,0.0,0.0,1.0,,1.0
9,uniform,0.94,0.026,1000,0.94,0.026,1.0,0.06,0.06,1.0,0.06,0.06,0.0,0.001,0.001,1.0,1.0,1.0
11,uniform,0.94,0.026,1000,0.94,0.026,1.0,0.06,0.06,1.0,0.06,0.06,0.0,0.0,0.0,1.0,,1.0
21,uniform,0.94,0.026,1000,0.94,0.026,1.0,0.06,0.06,1.0,0.06,0.06,0.0,0.0,0.0,1.0,,1.0
31,uniform,0.94,0.026,1000,0.94,0.026,1.0,0.06,0.06,1.0,0.06,0.06,0.0,0.0,0.0,1.0,,1.0
41,uniform,0.94,0.026,1000,0.94,0.026,1.0,0.06,0.06,1.0,0.06,0.06,0.0,0.0,0.0,1.0,,1.0
51,uniform,0.94,0.026,1000,0.94,0.026,1.0,0.06,0.06,1.0,0.06,0.06,0.0,0.0,0.0,1.0,,1.0
