voters,mean,std,ratio_difference_to_mean,ratio_correct
3,0.55,0.01,1.063,1.002
5,0.55,0.01,1.0,1.0
7,0.55,0.01,0.935,0.995
9,0.55,0.01,0.946,0.994
11,0.55,0.01,1.012,1.002
21,0.55,0.01,1.0,1.0
31,0.55,0.01,0.943,0.986
41,0.55,0.01,1.045,1.012
51,0.55,0.01,1.01,1.003
3,0.55,0.02,0.724,0.986
5,0.55,0.02,1.304,1.023
7,0.55,0.02,0.774,0.98
9,0.55,0.02,1.087,1.007
11,0.55,0.02,0.908,0.986
21,0.55,0.02,0.876,0.975
31,0.55,0.02,0.917,0.981
41,0.55,0.02,0.905,0.974
51,0.55,0.02,0.905,0.971
3,0.55,0.04,0.294,0.979
5,0.55,0.04,0.333,0.962
7,0.55,0.04,0.58,0.935
9,0.55,0.04,1.025,1.004
11,0.55,0.04,0.838,0.973
21,0.55,0.04,0.626,0.911
31,0.55,0.04,0.819,0.949
41,0.55,0.04,0.817,0.944
51,0.55,0.04,0.788,0.93
3,0.55,0.08,0.547,0.946
5,0.55,0.08,0.581,0.939
7,0.55,0.08,0.451,0.887
9,0.55,0.08,0.362,0.832
11,0.55,0.08,0.452,0.844
21,0.55,0.08,0.489,0.833
31,0.55,0.08,0.479,0.81
41,0.55,0.08,0.527,0.822
51,0.55,0.08,0.595,0.838
3,0.55,0.16,-0.037,0.734
5,0.55,0.16,0.178,0.753
7,0.55,0.16,0.162,0.71
9,0.55,0.16,0.093,0.672
11,0.55,0.16,0.238,0.719
21,0.55,0.16,0.313,0.708
31,0.55,0.16,0.396,0.737
41,0.55,0.16,0.434,0.748
51,0.55,0.16,0.492,0.773
3,0.55,0.32,0.12,0.676
5,0.55,0.32,0.106,0.633
7,0.55,0.32,0.033,0.588
9,0.55,0.32,0.077,0.596
11,0.55,0.32,0.142,0.616
21,0.55,0.32,0.203,0.625
31,0.55,0.32,0.23,0.638
41,0.55,0.32,0.246,0.645
51,0.55,0.32,0.295,0.668
3,0.55,0.64,0.078,0.622
5,0.55,0.64,0.049,0.579
7,0.55,0.64,0.01,0.538
9,0.55,0.64,-0.007,0.516
11,0.55,0.64,0.001,0.516
21,0.55,0.64,0.107,0.562
31,0.55,0.64,0.05,0.534
41,0.55,0.64,0.042,0.53
51,0.55,0.64,0.126,0.571
3,0.55,1.28,0.034,0.576
5,0.55,1.28,0.04,0.55
7,0.55,1.28,0.016,0.527
9,0.55,1.28,0.028,0.525
11,0.55,1.28,-0.022,0.497
21,0.55,1.28,-0.029,0.489
31,0.55,1.28,-0.015,0.495
41,0.55,1.28,-0.039,0.483
51,0.55,1.28,0.039,0.522
3,0.55,2.56,-0.024,0.546
5,0.55,2.56,0.101,0.579
7,0.55,2.56,-0.028,0.509
9,0.55,2.56,-0.005,0.507
11,0.55,2.56,0.009,0.512
21,0.55,2.56,0.095,0.55
31,0.55,2.56,-0.043,0.479
41,0.55,2.56,0.049,0.525
51,0.55,2.56,0.041,0.521
3,0.6,0.01,1.0,1.0
5,0.6,0.01,1.0,1.0
7,0.6,0.01,1.0,1.0
9,0.6,0.01,1.0,1.0
11,0.6,0.01,1.0,1.0
21,0.6,0.01,1.0,1.0
31,0.6,0.01,1.007,1.002
41,0.6,0.01,1.003,1.001
51,0.6,0.01,1.0,1.0
3,0.6,0.02,0.972,0.998
5,0.6,0.02,0.957,0.994
7,0.6,0.02,0.957,0.993
9,0.6,0.02,1.008,1.001
11,0.6,0.02,1.015,1.003
21,0.6,0.02,0.995,0.999
