voters,mean,std,smr,mino-d,n-t-m-d,mino-t,expert,min-coll,majority_correct,expert_correct
3.0,Lower,Lower,0.6335555555555555,0.36644444444444446,0.0,0.36644444444444446,0.36644444444444446,1.0,0.5931666666666666,0.5800555555555555
3.0,Lower,Medium,0.44,0.56,0.0,0.56,0.56,1.0,0.6180555555555556,0.6310555555555556
3.0,Lower,Upper,0.385,0.615,0.0,0.615,0.615,1.0,0.6634444444444445,0.6766666666666666
3.0,Medium,Lower,0.9976666666666666,0.002333333333333333,0.0,0.002333333333333333,0.002333333333333333,1.0,0.8420555555555556,0.7738888888888888
3.0,Medium,Medium,0.8410000000000001,0.15900000000000003,0.0,0.15900000000000003,0.15900000000000003,1.0,0.8382222222222223,0.8096111111111112
3.0,Medium,Upper,0.6061111111111112,0.3938888888888889,0.0,0.3938888888888889,0.3938888888888889,1.0,0.8388333333333334,0.832
3.0,Upper,Lower,0.9661111111111111,0.03388888888888889,0.0,0.03388888888888889,0.03388888888888889,1.0,0.9866666666666668,0.9610555555555556
3.0,Upper,Medium,0.8632222222222222,0.13677777777777778,0.0,0.13677777777777778,0.13677777777777778,1.0,0.9817222222222222,0.9599444444444445
3.0,Upper,Upper,0.7476666666666666,0.2523333333333333,0.0,0.2523333333333333,0.2523333333333333,1.0,0.9660000000000001,0.9483333333333334
5.0,Lower,Lower,0.24355555555555553,0.7564444444444445,0.7017777777777778,0.05466666666666667,0.05466666666666667,0.5168888888888888,0.6058333333333333,0.5836666666666667
5.0,Lower,Medium,0.05033333333333334,0.9496666666666668,0.8614444444444445,0.08822222222222223,0.08822222222222223,0.5376666666666667,0.6532777777777778,0.644611111111111
5.0,Lower,Upper,0.03222222222222222,0.9677777777777778,0.8306666666666666,0.1371111111111111,0.1371111111111111,0.5665,0.6986111111111112,0.7057777777777778
5.0,Medium,Lower,0.9498888888888888,0.05011111111111111,0.05011111111111111,0.0,0.0,0.6563888888888889,0.8882777777777779,0.784611111111111
5.0,Medium,Medium,0.3937777777777777,0.6062222222222222,0.6037777777777779,0.002444444444444445,0.002444444444444445,0.6905555555555556,0.8895,0.8295555555555555
5.0,Medium,Upper,0.12822222222222224,0.8717777777777779,0.8325555555555554,0.039222222222222235,0.039222222222222235,0.7378333333333332,0.8920555555555557,0.8707222222222223
5.0,Upper,Lower,0.7965555555555555,0.20344444444444443,0.20344444444444443,0.0,0.0,0.9289444444444445,0.9966666666666667,0.9674444444444443
5.0,Upper,Medium,0.4304444444444445,0.5695555555555555,0.5674444444444444,0.002111111111111111,0.002111111111111111,0.9242222222222222,0.993611111111111,0.9712777777777778
5.0,Upper,Upper,0.2378888888888889,0.7621111111111111,0.7552222222222222,0.00688888888888889,0.00688888888888889,0.9077777777777778,0.9883888888888889,0.9669444444444445
7.0,Lower,Lower,0.08333333333333333,0.9166666666666669,0.9003333333333333,0.016333333333333335,0.007666666666666667,0.2684814814814822,0.6253333333333333,0.5931666666666667
7.0,Lower,Medium,0.0025555555555555557,0.9974444444444445,0.9743333333333332,0.023111111111111114,0.010888888888888892,0.30107407407407416,0.6774444444444445,0.6548333333333334
7.0,Lower,Upper,0.0011111111111111111,0.9988888888888889,0.9604444444444442,0.03844444444444444,0.023222222222222224,0.3491111111111109,0.7292222222222222,0.7236111111111111
7.0,Medium,Lower,0.8001111111111112,0.1998888888888889,0.1998888888888889,0.0,0.0,0.4837407407407405,0.925388888888889,0.7895
7.0,Medium,Medium,0.08988888888888888,0.9101111111111112,0.9096666666666668,0.00044444444444444447,0.00044444444444444447,0.5381111111111111,0.9232777777777778,0.8424999999999999
