voters,mean,std,Unnamed: 0,smr,mino-d,n-t-m-d,mino-t,expert,min-coll
11.0,Lower,Lower,10,0.003,inf,inf,0.0,0.0,0.09
11.0,Lower,Medium,13,0.0,inf,inf,0.0,0.0,0.119
11.0,Lower,Upper,16,0.0,inf,inf,0.001,0.001,0.183
11.0,Medium,Lower,37,2.532,10.252,10.252,0.0,0.0,0.441
11.0,Medium,Medium,40,0.001,inf,inf,0.0,0.0,0.554
11.0,Medium,Upper,43,0.0,inf,inf,0.0,0.0,0.735
11.0,Upper,Lower,64,0.43,72.522,72.522,0.0,0.0,9.023
11.0,Upper,Medium,67,0.001,inf,inf,0.0,0.0,5.267
11.0,Upper,Upper,70,0.0,inf,inf,0.0,0.0,3.576
21.0,Lower,Lower,91,0.0,inf,inf,0.0,0.0,0.005
21.0,Lower,Medium,94,0.0,inf,inf,0.0,0.0,0.009
21.0,Lower,Upper,97,0.0,inf,inf,0.0,0.0,0.02
21.0,Medium,Lower,118,0.004,inf,inf,0.0,0.0,0.097
21.0,Medium,Medium,121,0.0,inf,inf,0.0,0.0,0.155
21.0,Medium,Upper,124,0.0,inf,inf,0.0,0.0,0.221
21.0,Upper,Lower,145,0.001,inf,inf,0.0,0.0,4.632
21.0,Upper,Medium,148,0.0,inf,inf,0.0,0.0,2.536
21.0,Upper,Upper,151,0.0,inf,inf,0.0,0.0,1.729
31.0,Lower,Lower,172,0.0,inf,inf,0.0,0.0,0.0
31.0,Lower,Medium,175,0.0,inf,inf,0.0,0.0,0.001
31.0,Lower,Upper,178,0.0,inf,inf,0.0,0.0,0.003
31.0,Medium,Lower,199,0.0,inf,inf,0.0,0.0,0.028
31.0,Medium,Medium,202,0.0,inf,inf,0.0,0.0,0.054
31.0,Medium,Upper,205,0.0,inf,inf,0.0,0.0,0.087
31.0,Upper,Lower,226,0.0,inf,inf,0.0,0.0,3.358
31.0,Upper,Medium,229,0.0,inf,inf,0.0,0.0,1.444
31.0,Upper,Upper,232,0.0,inf,inf,0.0,0.0,0.991
41.0,Lower,Lower,253,0.0,inf,inf,0.0,0.0,0.0
41.0,Lower,Medium,256,0.0,inf,inf,0.0,0.0,0.0
41.0,Lower,Upper,259,0.0,inf,inf,0.0,0.0,0.001
41.0,Medium,Lower,280,0.0,inf,inf,0.0,0.0,0.01
41.0,Medium,Medium,283,0.0,inf,inf,0.0,0.0,0.02
41.0,Medium,Upper,286,0.0,inf,inf,0.0,0.0,0.038
41.0,Upper,Lower,307,0.0,inf,inf,0.0,0.0,2.207
41.0,Upper,Medium,310,0.0,inf,inf,0.0,0.0,1.062
41.0,Upper,Upper,313,0.0,inf,inf,0.0,0.0,0.618
51.0,Lower,Lower,334,0.0,inf,inf,0.0,0.0,0.0
51.0,Lower,Medium,337,0.0,inf,inf,0.0,0.0,0.0
51.0,Lower,Upper,340,0.0,inf,inf,0.0,0.0,0.0
51.0,Medium,Lower,361,0.0,inf,inf,0.0,0.0,0.004
51.0,Medium,Medium,364,0.0,inf,inf,0.0,0.0,0.009
51.0,Medium,Upper,367,0.0,inf,inf,0.0,0.0,0.019
51.0,Upper,Lower,388,0.0,inf,inf,0.0,0.0,1.504
51.0,Upper,Medium,391,0.0,inf,inf,0.0,0.0,0.75
51.0,Upper,Upper,394,0.0,inf,inf,0.0,0.0,0.453
