voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.01950025261057779,0.566,0.015999999999999903,0.015600398635245982,0.57,0.019999999999999907,0.019600398635245986,-0.004
3,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.566,0.015999999999999903,0.015999999999999903,0.568,0.017999999999999905,0.017999999999999905,-0.002
3,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.03336546518137997,0.571,0.020999999999999908,0.012530381663869328,0.575,0.02499999999999991,0.01653038166386933,-0.004
3,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.588,0.03799999999999992,0.03799999999999992,0.555,0.0050000000000000044,0.0050000000000000044,0.033
3,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.057532804614571234,0.645,0.09499999999999997,0.058752792270666765,0.651,0.10099999999999998,0.06475279227066677,-0.006
3,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.07999998705289593,0.648,0.09799999999999998,0.09800000460945413,0.571,0.020999999999999908,0.02100000460945406,0.077
3,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.10265565804300553,0.751,0.20099999999999996,0.10442610375427386,0.719,0.16899999999999993,0.07242610375427383,0.032
3,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.15792706391666828,0.711,0.16099999999999992,0.16207028597601303,0.602,0.051999999999999935,0.05307028597601304,0.109
3,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.13528112984755075,0.833,0.2829999999999999,0.11971101098077286,0.809,0.259,0.09571101098077295,0.024
3,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.827,0.2769999999999999,0.2979904962931529,0.547,-0.0030000000000000027,0.01799049629315297,0.28
3,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,0.878,0.32799999999999996,0.13787975063016267,0.823,0.2729999999999999,0.08287975063016262,0.055
