voters,distribution,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,uniform,0.55,0.025980762113533153,1000,0.55,0.559,0.009000000000000008,0.009000000000000008,0.549,-0.0010000000000000009,-0.0010000000000000009,0.01
5,uniform,0.55,0.025980762113533153,1000,0.55,0.593,0.04299999999999993,0.04299999999999993,0.577,0.026999999999999913,0.026999999999999913,0.016
7,uniform,0.55,0.025980762113533153,1000,0.55,0.63,0.07999999999999996,0.07999999999999996,0.636,0.08599999999999997,0.08599999999999997,-0.006
9,uniform,0.55,0.025980762113533153,1000,0.55,0.636,0.08599999999999997,0.08599999999999997,0.64,0.08999999999999997,0.08999999999999997,-0.004
11,uniform,0.55,0.025980762113533153,1000,0.55,0.649,0.09899999999999998,0.09899999999999998,0.645,0.09499999999999997,0.09499999999999997,0.004
21,uniform,0.55,0.025980762113533153,1000,0.55,0.709,0.15899999999999992,0.15899999999999992,0.689,0.1389999999999999,0.1389999999999999,0.02
31,uniform,0.55,0.025980762113533153,1000,0.55,0.746,0.19599999999999995,0.19599999999999995,0.725,0.17499999999999993,0.17499999999999993,0.021
41,uniform,0.55,0.025980762113533153,1000,0.55,0.758,0.20799999999999996,0.20799999999999996,0.741,0.19099999999999995,0.19099999999999995,0.017
51,uniform,0.55,0.025980762113533153,1000,0.55,0.777,0.22699999999999998,0.22699999999999998,0.752,0.20199999999999996,0.20199999999999996,0.025
3,uniform,0.6,0.054848275573014436,1000,0.6,0.647,0.04700000000000004,0.04700000000000004,0.643,0.04300000000000004,0.04300000000000004,0.004
5,uniform,0.6,0.054848275573014436,1000,0.6,0.709,0.10899999999999999,0.10899999999999999,0.677,0.07700000000000007,0.07700000000000007,0.032
7,uniform,0.6,0.054848275573014436,1000,0.6,0.705,0.10499999999999998,0.10499999999999998,0.714,0.11399999999999999,0.11399999999999999,-0.009
