voters,distribution,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,uniform,0.55,0.0259807621135331,1000,0.55,0.584,0.0339999999999999,0.0339999999999999,0.565,0.0149999999999999,0.0149999999999999,0.019
3,uniform,0.6,0.0548482755730144,1000,0.6,0.653,0.053,0.053,0.635,0.035,0.035,0.018
3,uniform,0.66,0.0837157890324957,1000,0.66,0.769,0.1089999999999999,0.1089999999999999,0.741,0.0809999999999999,0.0809999999999999,0.028
3,uniform,0.7,0.112583302491977,1000,0.7,0.836,0.136,0.136,0.81,0.1100000000000001,0.1100000000000001,0.026
3,uniform,0.75,0.1385640646055101,1000,0.75,0.874,0.124,0.124,0.85,0.0999999999999999,0.0999999999999999,0.024
3,uniform,0.65,0.0288675134594812,1000,0.65,0.716,0.0659999999999999,0.0659999999999999,0.716,0.0659999999999999,0.0659999999999999,0.0
3,uniform,0.7,0.0577350269189626,1000,0.7,0.809,0.1090000000000001,0.1090000000000001,0.806,0.1060000000000001,0.1060000000000001,0.003
3,uniform,0.75,0.0866025403784438,1000,0.75,0.854,0.1039999999999999,0.1039999999999999,0.848,0.0979999999999999,0.0979999999999999,0.006
3,uniform,0.8,0.112583302491977,1000,0.8,0.907,0.1069999999999999,0.1069999999999999,0.89,0.0899999999999999,0.0899999999999999,0.017
3,uniform,0.75,0.0288675134594813,1000,0.75,0.862,0.1119999999999999,0.1119999999999999,0.862,0.1119999999999999,0.1119999999999999,0.0
3,uniform,0.8,0.0577350269189626,1000,0.8,0.894,0.0939999999999999,0.0939999999999999,0.893,0.0929999999999999,0.0929999999999999,0.001
3,uniform,0.84,0.0837157890324957,1000,0.84,0.935,0.095,0.095,0.922,0.082,0.082,0.013
3,uniform,0.85,0.0288675134594812,1000,0.85,0.942,0.0919999999999999,0.0919999999999999,0.942,0.0919999999999999,0.0919999999999999,0.0
3,uniform,0.9,0.0548482755730144,1000,0.9,0.975,0.0749999999999999,0.0749999999999999,0.97,0.0699999999999999,0.0699999999999999,0.005
3,uniform,0.94,0.0259807621135331,1000,0.94,0.993,0.053,0.053,0.993,0.053,0.053,0.0
3,uniform,0.55,0.025980762113533153,1000,0.55,0.569,0.018999999999999906,0.018999999999999906,0.55,0.0,0.0,0.019
3,uniform,0.6,0.054848275573014436,1000,0.6,0.682,0.08200000000000007,0.08200000000000007,0.679,0.07900000000000007,0.07900000000000007,0.003
3,uniform,0.66,0.08371578903249575,1000,0.66,0.721,0.06099999999999994,0.06099999999999994,0.696,0.03599999999999992,0.03599999999999992,0.025
3,uniform,0.7,0.11258330249197704,1000,0.7,0.809,0.1090000000000001,0.1090000000000001,0.785,0.08500000000000008,0.08500000000000008,0.024
3,uniform,0.75,0.13856406460551018,1000,0.75,0.879,0.129,0.129,0.847,0.09699999999999998,0.09699999999999998,0.032
3,uniform,0.65,0.028867513459481284,1000,0.65,0.715,0.06499999999999995,0.06499999999999995,0.715,0.06499999999999995,0.06499999999999995,0.0
3,uniform,0.75,0.08660254037844388,1000,0.75,0.852,0.10199999999999998,0.10199999999999998,0.841,0.09099999999999997,0.09099999999999997,0.011
3,uniform,0.8,0.11258330249197704,1000,0.8,0.903,0.10299999999999998,0.10299999999999998,0.874,0.07399999999999995,0.07399999999999995,0.029
3,uniform,0.75,0.028867513459481315,1000,0.75,0.837,0.08699999999999997,0.08699999999999997,0.837,0.08699999999999997,0.08699999999999997,0.0
3,uniform,0.84,0.08371578903249575,1000,0.84,0.947,0.10699999999999998,0.10699999999999998,0.942,0.10199999999999998,0.10199999999999998,0.005
3,uniform,0.85,0.028867513459481284,1000,0.85,0.943,0.09299999999999997,0.09299999999999997,0.943,0.09299999999999997,0.09299999999999997,0.0
3,uniform,0.9,0.054848275573014436,1000,0.9,0.982,0.08199999999999996,0.08199999999999996,0.98,0.07999999999999996,0.07999999999999996,0.002
3,uniform,0.94,0.025980762113533153,1000,0.94,0.981,0.041000000000000036,0.041000000000000036,0.981,0.041000000000000036,0.041000000000000036,0.0
