voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,0.55,0.02,"TruncNorm[0.001,0.999]",1000,0.55,0.02,0.579,0.028999999999999915,0.028999999999999915,0.571,0.020999999999999908,0.020999999999999908,0.008
3,0.55,0.04,"TruncNorm[0.001,0.999]",1000,0.55,0.04,0.567,0.016999999999999904,0.016999999999999904,0.555,0.0050000000000000044,0.0050000000000000044,0.012
3,0.55,0.08,"TruncNorm[0.001,0.999]",1000,0.5499999953905459,0.07999998705289593,0.625,0.07499999999999996,0.07500000460945411,0.591,0.040999999999999925,0.04100000460945408,0.034
3,0.55,0.16,"TruncNorm[0.001,0.999]",1000,0.5489297140239869,0.15792706391666828,0.738,0.18799999999999994,0.18907028597601305,0.542,-0.008000000000000007,-0.006929714023986899,0.196
3,0.55,0.32,"TruncNorm[0.001,0.999]",1000,0.5290095037068471,0.2432550984320321,0.837,0.2869999999999999,0.3079904962931529,0.566,0.015999999999999903,0.036990496293152875,0.271
3,0.55,0.64,"TruncNorm[0.001,0.999]",1000,0.5093333089429175,0.27645269692821367,0.863,0.31299999999999994,0.3536666910570825,0.537,-0.013000000000000012,0.027666691057082526,0.326
3,0.55,1.28,"TruncNorm[0.001,0.999]",1000,0.50248197988839,0.2851790594248402,0.896,0.346,0.39351802011160997,0.516,-0.03400000000000003,0.013518020111609963,0.38
3,0.55,2.56,"TruncNorm[0.001,0.999]",1000,0.5006300395384596,0.2873680293553028,0.899,0.349,0.3983699604615404,0.491,-0.05900000000000005,-0.009630039538459645,0.408
3,0.6,0.02,"TruncNorm[0.001,0.999]",1000,0.6,0.02,0.636,0.03600000000000003,0.03600000000000003,0.635,0.03500000000000003,0.03500000000000003,0.001
3,0.6,0.04,"TruncNorm[0.001,0.999]",1000,0.6,0.04,0.663,0.06300000000000006,0.06300000000000006,0.662,0.062000000000000055,0.062000000000000055,0.001
3,0.6,0.08,"TruncNorm[0.001,0.999]",1000,0.5999998734014987,0.07999968429413096,0.68,0.08000000000000007,0.08000012659850131,0.636,0.03600000000000003,0.03600012659850127,0.044
3,0.6,0.16,"TruncNorm[0.001,0.999]",1000,0.5971911076667299,0.15624773175758844,0.746,0.14600000000000002,0.1488088923332701,0.682,0.08200000000000007,0.08480889233327016,0.064
3,0.6,0.32,"TruncNorm[0.001,0.999]",1000,0.5576729048100907,0.2410818771832,0.824,0.22399999999999998,0.26632709518990927,0.571,-0.029000000000000026,0.013327095189909266,0.253
3,0.6,0.64,"TruncNorm[0.001,0.999]",1000,0.5186547733905137,0.2761896044905053,0.853,0.253,0.3343452266094863,0.507,-0.09299999999999997,-0.011654773390513684,0.346
3,0.6,1.28,"TruncNorm[0.001,0.999]",1000,0.504963738137385,0.2851599598301377,0.876,0.276,0.37103626186261496,0.507,-0.09299999999999997,0.002036261862614963,0.369
