distribution,voters,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct,d_majority_correct_d_voters,d_optimal_correct_d_voters,ratio_difference_to_mean,ratio_derivative_by_n,ratio_correct
uniform,3,0.55,0.0519615242270663,1000,0.55,0.671,0.121,0.121,0.664,0.1139999999999999,0.1139999999999999,0.007,,,,,
uniform,5,0.55,0.0519615242270663,1000,0.55,0.676,0.126,0.126,0.665,0.1149999999999999,0.1149999999999999,0.011,,,,,
uniform,7,0.55,0.0519615242270663,1000,0.55,0.715,0.1649999999999999,0.1649999999999999,0.721,0.1709999999999999,0.1709999999999999,-0.006,,,,,
uniform,9,0.55,0.0519615242270663,1000,0.55,0.745,0.1949999999999999,0.1949999999999999,0.74,0.1899999999999999,0.1899999999999999,0.005,,,,,
uniform,11,0.55,0.0519615242270663,1000,0.55,0.753,0.2029999999999999,0.2029999999999999,0.75,0.1999999999999999,0.1999999999999999,0.003,,,,,
uniform,21,0.55,0.0519615242270663,1000,0.55,0.818,0.2679999999999999,0.2679999999999999,0.807,0.257,0.257,0.011,,,,,
uniform,31,0.55,0.0519615242270663,1000,0.55,0.86,0.3099999999999999,0.3099999999999999,0.845,0.2949999999999999,0.2949999999999999,0.015,,,,,
uniform,41,0.55,0.0519615242270663,1000,0.55,0.907,0.357,0.357,0.892,0.3419999999999999,0.3419999999999999,0.015,,,,,
uniform,51,0.55,0.0519615242270663,1000,0.55,0.925,0.375,0.375,0.915,0.365,0.365,0.01,,,,,
uniform,3,0.6,0.1096965511460288,1000,0.6,0.796,0.196,0.196,0.787,0.187,0.187,0.009,,,,,
uniform,5,0.6,0.1096965511460288,1000,0.6,0.856,0.256,0.256,0.847,0.247,0.247,0.009,,,,,
uniform,7,0.6,0.1096965511460288,1000,0.6,0.857,0.257,0.257,0.86,0.26,0.26,-0.003,,,,,
uniform,9,0.6,0.1096965511460288,1000,0.6,0.907,0.307,0.307,0.908,0.308,0.308,-0.001,,,,,
uniform,11,0.6,0.1096965511460288,1000,0.6,0.917,0.317,0.317,0.914,0.314,0.314,0.003,,,,,
uniform,21,0.6,0.1096965511460288,1000,0.6,0.971,0.371,0.371,0.964,0.364,0.364,0.007,,,,,
uniform,31,0.6,0.1096965511460288,1000,0.6,0.994,0.394,0.394,0.993,0.393,0.393,0.001,,,,,
uniform,41,0.6,0.1096965511460288,1000,0.6,0.993,0.393,0.393,0.992,0.392,0.392,0.001,,,,,
uniform,51,0.6,0.1096965511460288,1000,0.6,1.0,0.4,0.4,0.998,0.398,0.398,0.002,,,,,
uniform,3,0.55,0.051961524227066305,1000,0.55,0.636,0.08599999999999997,0.08599999999999997,0.628,0.07799999999999996,0.07799999999999996,0.008,,,,,
uniform,5,0.55,0.051961524227066305,1000,0.55,0.681,0.131,0.131,0.678,0.128,0.128,0.003,,,,,
uniform,7,0.55,0.051961524227066305,1000,0.55,0.691,0.1409999999999999,0.1409999999999999,0.686,0.136,0.136,0.005,,,,,
uniform,9,0.55,0.051961524227066305,1000,0.55,0.705,0.15499999999999992,0.15499999999999992,0.703,0.1529999999999999,0.1529999999999999,0.002,,,,,
uniform,11,0.55,0.051961524227066305,1000,0.55,0.74,0.18999999999999995,0.18999999999999995,0.743,0.19299999999999995,0.19299999999999995,-0.003,,,,,
uniform,21,0.55,0.051961524227066305,1000,0.55,0.831,0.2809999999999999,0.2809999999999999,0.816,0.2659999999999999,0.2659999999999999,0.015,,,,,
uniform,31,0.55,0.051961524227066305,1000,0.55,0.876,0.32599999999999996,0.32599999999999996,0.872,0.32199999999999995,0.32199999999999995,0.004,,,,,
uniform,41,0.55,0.051961524227066305,1000,0.55,0.899,0.349,0.349,0.891,0.34099999999999997,0.34099999999999997,0.008,,,,,
uniform,51,0.55,0.051961524227066305,1000,0.55,0.936,0.386,0.386,0.919,0.369,0.369,0.017,,,,,
uniform,3,0.6,0.10969655114602887,1000,0.6,0.792,0.19200000000000006,0.19200000000000006,0.79,0.19000000000000006,0.19000000000000006,0.002,,,,,
uniform,5,0.6,0.10969655114602887,1000,0.6,0.858,0.258,0.258,0.853,0.253,0.253,0.005,,,,,
uniform,7,0.6,0.10969655114602887,1000,0.6,0.875,0.275,0.275,0.873,0.273,0.273,0.002,,,,,
uniform,9,0.6,0.10969655114602887,1000,0.6,0.905,0.30500000000000005,0.30500000000000005,0.898,0.29800000000000004,0.29800000000000004,0.007,,,,,
uniform,11,0.6,0.10969655114602887,1000,0.6,0.916,0.31600000000000006,0.31600000000000006,0.911,0.31100000000000005,0.31100000000000005,0.005,,,,,
uniform,21,0.6,0.10969655114602887,1000,0.6,0.978,0.378,0.378,0.976,0.376,0.376,0.002,,,,,
uniform,31,0.6,0.10969655114602887,1000,0.6,0.988,0.388,0.388,0.987,0.387,0.387,0.001,,,,,
uniform,41,0.6,0.10969655114602887,1000,0.6,0.997,0.397,0.397,0.998,0.398,0.398,-0.001,,,,,
uniform,51,0.6,0.10969655114602887,1000,0.6,1.0,0.4,0.4,0.998,0.398,0.398,0.002,,,,,
