voters,distribution,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,uniform,0.65,0.029,1000,0.65,0.726,0.0759999999999999,0.0759999999999999,0.726,0.0759999999999999,0.0759999999999999,0.0
3,uniform,0.55,0.026,1000,0.55,0.585,0.03499999999999992,0.03499999999999992,0.574,0.02399999999999991,0.02399999999999991,0.011
5,uniform,0.55,0.026,1000,0.55,0.617,0.06699999999999995,0.06699999999999995,0.567,0.016999999999999904,0.016999999999999904,0.05
7,uniform,0.55,0.026,1000,0.55,0.616,0.06599999999999995,0.06599999999999995,0.594,0.04399999999999993,0.04399999999999993,0.022
9,uniform,0.55,0.026,1000,0.55,0.642,0.09199999999999997,0.09199999999999997,0.648,0.09799999999999998,0.09799999999999998,-0.006
11,uniform,0.55,0.026,1000,0.55,0.649,0.09899999999999998,0.09899999999999998,0.613,0.06299999999999994,0.06299999999999994,0.036
21,uniform,0.55,0.026,1000,0.55,0.706,0.15599999999999992,0.15599999999999992,0.689,0.1389999999999999,0.1389999999999999,0.017
31,uniform,0.55,0.026,1000,0.55,0.746,0.19599999999999995,0.19599999999999995,0.715,0.16499999999999992,0.16499999999999992,0.031
41,uniform,0.55,0.026,1000,0.55,0.784,0.23399999999999999,0.23399999999999999,0.754,0.20399999999999996,0.20399999999999996,0.03
51,uniform,0.55,0.026,1000,0.55,0.789,0.239,0.239,0.752,0.20199999999999996,0.20199999999999996,0.037
3,uniform,0.6,0.055,1000,0.6,0.674,0.07400000000000007,0.07400000000000007,0.641,0.041000000000000036,0.041000000000000036,0.033
5,uniform,0.6,0.055,1000,0.6,0.7,0.09999999999999998,0.09999999999999998,0.669,0.06900000000000006,0.06900000000000006,0.031
7,uniform,0.6,0.055,1000,0.6,0.72,0.12,0.12,0.706,0.10599999999999998,0.10599999999999998,0.014
9,uniform,0.6,0.055,1000,0.6,0.735,0.135,0.135,0.718,0.118,0.118,0.017
11,uniform,0.6,0.055,1000,0.6,0.794,0.19400000000000006,0.19400000000000006,0.761,0.16100000000000003,0.16100000000000003,0.033
21,uniform,0.6,0.055,1000,0.6,0.868,0.268,0.268,0.828,0.22799999999999998,0.22799999999999998,0.04
31,uniform,0.6,0.055,1000,0.6,0.921,0.32100000000000006,0.32100000000000006,0.885,0.28500000000000003,0.28500000000000003,0.036
41,uniform,0.6,0.055,1000,0.6,0.928,0.32800000000000007,0.32800000000000007,0.887,0.28700000000000003,0.28700000000000003,0.041
51,uniform,0.6,0.055,1000,0.6,0.953,0.353,0.353,0.938,0.33799999999999997,0.33799999999999997,0.015
3,uniform,0.66,0.084,1000,0.66,0.753,0.09299999999999997,0.09299999999999997,0.737,0.07699999999999996,0.07699999999999996,0.016
5,uniform,0.66,0.084,1000,0.66,0.807,0.14700000000000002,0.14700000000000002,0.778,0.118,0.118,0.029
7,uniform,0.66,0.084,1000,0.66,0.835,0.17499999999999993,0.17499999999999993,0.807,0.14700000000000002,0.14700000000000002,0.028
9,uniform,0.66,0.084,1000,0.66,0.896,0.236,0.236,0.865,0.20499999999999996,0.20499999999999996,0.031
11,uniform,0.66,0.084,1000,0.66,0.905,0.245,0.245,0.861,0.20099999999999996,0.20099999999999996,0.044
21,uniform,0.66,0.084,1000,0.66,0.969,0.30899999999999994,0.30899999999999994,0.942,0.2819999999999999,0.2819999999999999,0.027
31,uniform,0.66,0.084,1000,0.66,0.986,0.32599999999999996,0.32599999999999996,0.966,0.30599999999999994,0.30599999999999994,0.02
41,uniform,0.66,0.084,1000,0.66,0.992,0.33199999999999996,0.33199999999999996,0.987,0.32699999999999996,0.32699999999999996,0.005
51,uniform,0.66,0.084,1000,0.66,0.997,0.33699999999999997,0.33699999999999997,0.993,0.33299999999999996,0.33299999999999996,0.004
3,uniform,0.7,0.113,1000,0.7,0.797,0.09700000000000009,0.09700000000000009,0.786,0.08600000000000008,0.08600000000000008,0.011
5,uniform,0.7,0.113,1000,0.7,0.881,0.18100000000000005,0.18100000000000005,0.842,0.14200000000000002,0.14200000000000002,0.039
7,uniform,0.7,0.113,1000,0.7,0.915,0.21500000000000008,0.21500000000000008,0.886,0.18600000000000005,0.18600000000000005,0.029
9,uniform,0.7,0.113,1000,0.7,0.957,0.257,0.257,0.898,0.19800000000000006,0.19800000000000006,0.059
11,uniform,0.7,0.113,1000,0.7,0.964,0.264,0.264,0.929,0.2290000000000001,0.2290000000000001,0.035
21,uniform,0.7,0.113,1000,0.7,0.991,0.29100000000000004,0.29100000000000004,0.982,0.28200000000000003,0.28200000000000003,0.009
31,uniform,0.7,0.113,1000,0.7,1.0,0.30000000000000004,0.30000000000000004,0.992,0.29200000000000004,0.29200000000000004,0.008
41,uniform,0.7,0.113,1000,0.7,1.0,0.30000000000000004,0.30000000000000004,0.991,0.29100000000000004,0.29100000000000004,0.009
51,uniform,0.7,0.113,1000,0.7,1.0,0.30000000000000004,0.30000000000000004,0.998,0.29800000000000004,0.29800000000000004,0.002
3,uniform,0.75,0.139,1000,0.75,0.897,0.14700000000000002,0.14700000000000002,0.872,0.122,0.122,0.025
5,uniform,0.75,0.139,1000,0.75,0.946,0.19599999999999995,0.19599999999999995,0.908,0.15800000000000003,0.15800000000000003,0.038
7,uniform,0.75,0.139,1000,0.75,0.975,0.22499999999999998,0.22499999999999998,0.944,0.19399999999999995,0.19399999999999995,0.031
9,uniform,0.75,0.139,1000,0.75,0.981,0.23099999999999998,0.23099999999999998,0.943,0.19299999999999995,0.19299999999999995,0.038
11,uniform,0.75,0.139,1000,0.75,0.984,0.23399999999999999,0.23399999999999999,0.972,0.22199999999999998,0.22199999999999998,0.012
21,uniform,0.75,0.139,1000,0.75,0.999,0.249,0.249,0.993,0.243,0.243,0.006
31,uniform,0.75,0.139,1000,0.75,1.0,0.25,0.25,0.997,0.247,0.247,0.003
41,uniform,0.75,0.139,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
51,uniform,0.75,0.139,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
5,uniform,0.65,0.029,1000,0.65,0.775,0.125,0.125,0.774,0.124,0.124,0.001
7,uniform,0.65,0.029,1000,0.65,0.809,0.15900000000000003,0.15900000000000003,0.809,0.15900000000000003,0.15900000000000003,0.0
9,uniform,0.65,0.029,1000,0.65,0.826,0.17599999999999993,0.17599999999999993,0.821,0.17099999999999993,0.17099999999999993,0.005
11,uniform,0.65,0.029,1000,0.65,0.846,0.19599999999999995,0.19599999999999995,0.839,0.18899999999999995,0.18899999999999995,0.007
21,uniform,0.65,0.029,1000,0.65,0.934,0.28400000000000003,0.28400000000000003,0.931,0.281,0.281,0.003
31,uniform,0.65,0.029,1000,0.65,0.949,0.29899999999999993,0.29899999999999993,0.95,0.29999999999999993,0.29999999999999993,-0.001
41,uniform,0.65,0.029,1000,0.65,0.982,0.33199999999999996,0.33199999999999996,0.977,0.32699999999999996,0.32699999999999996,0.005
51,uniform,0.65,0.029,1000,0.65,0.983,0.33299999999999996,0.33299999999999996,0.985,0.33499999999999996,0.33499999999999996,-0.002
