voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,0.6,2.56,"TruncNorm[0.501,0.999]",1000,0.7495275673478567,0.1436690932209757,0.878,0.278,0.1284724326521432,0.836,0.236,0.0864724326521432,0.042
3,0.6,2.56,"TruncNorm[0.001,0.999]",1000,0.5012600754585549,0.2873667915732488,0.881,0.281,0.3797399245414451,0.543,-0.0569999999999999,0.0417399245414451,0.338
3,0.65,0.02,"TruncNorm[0.501,0.999]",1000,0.6500000000000071,0.0199999999999736,0.713,0.0629999999999999,0.0629999999999928,0.713,0.0629999999999999,0.0629999999999928,0.0
3,0.65,0.02,"TruncNorm[0.001,0.999]",1000,0.65,0.02,0.717,0.0669999999999999,0.0669999999999999,0.717,0.0669999999999999,0.0669999999999999,0.0
3,0.65,0.04,"TruncNorm[0.501,0.999]",1000,0.6500154866964568,0.0399711426205227,0.735,0.0849999999999999,0.0849845133035431,0.731,0.0809999999999999,0.0809845133035431,0.004
3,0.65,0.04,"TruncNorm[0.001,0.999]",1000,0.65,0.0399999999999999,0.739,0.0889999999999999,0.0889999999999999,0.734,0.0839999999999999,0.0839999999999999,0.005
3,0.65,0.08,"TruncNorm[0.501,0.999]",1000,0.6558123768511287,0.0741549942245894,0.739,0.0889999999999999,0.0831876231488712,0.742,0.0919999999999999,0.0861876231488713,-0.003
3,0.65,0.08,"TruncNorm[0.001,0.999]",1000,0.6499976482806836,0.0799948701132006,0.729,0.0789999999999999,0.0790023517193163,0.712,0.0619999999999999,0.0620023517193163,0.017
3,0.65,0.16,"TruncNorm[0.501,0.999]",1000,0.6938003471266702,0.116263980745898,0.8,0.15,0.1061996528733298,0.745,0.0949999999999999,0.0511996528733298,0.055
3,0.65,0.16,"TruncNorm[0.001,0.999]",1000,0.6440157333110005,0.1531613188519223,0.796,0.146,0.1519842666889995,0.733,0.0829999999999999,0.0889842666889995,0.063
3,0.65,0.32,"TruncNorm[0.501,0.999]",1000,0.7314605510070987,0.1373207448153733,0.867,0.2169999999999999,0.1355394489929012,0.826,0.1759999999999999,0.0945394489929012,0.041
3,0.65,0.32,"TruncNorm[0.001,0.999]",1000,0.5856645387734013,0.2375598604965703,0.832,0.1819999999999999,0.2463354612265986,0.609,-0.041,0.0233354612265986,0.223
3,0.65,0.64,"TruncNorm[0.501,0.999]",1000,0.7450566115747727,0.14226213855243258,0.885,0.235,0.13994338842522736,0.844,0.19399999999999995,0.09894338842522732,0.041
3,0.65,0.64,"TruncNorm[0.001,0.999]",1000,0.5279526215413912,0.27575235566400014,0.867,0.21699999999999997,0.3390473784586088,0.555,-0.09499999999999997,0.02704737845860883,0.312
3,0.65,1.28,"TruncNorm[0.501,0.999]",1000,0.7487449587291474,0.14339445200819842,0.88,0.22999999999999998,0.13125504127085263,0.845,0.19499999999999995,0.0962550412708526,0.035
3,0.65,1.28,"TruncNorm[0.001,0.999]",1000,0.5074450532022363,0.28512813339240783,0.874,0.22399999999999998,0.3665549467977637,0.511,-0.139,0.0035549467977636917,0.363
3,0.65,2.56,"TruncNorm[0.501,0.999]",1000,0.7496850445205746,0.14366935185965607,0.9,0.25,0.15031495547942542,0.859,0.20899999999999996,0.10931495547942538,0.041
3,0.65,2.56,"TruncNorm[0.001,0.999]",1000,0.5018901041420145,0.28736472862895734,0.884,0.23399999999999999,0.3821098958579855,0.502,-0.14800000000000002,0.00010989585798548696,0.382
3,0.7,0.02,"TruncNorm[0.501,0.999]",1000,0.7,0.02,0.805,0.1050000000000001,0.1050000000000001,0.805,0.1050000000000001,0.1050000000000001,0.0
3,0.7,0.02,"TruncNorm[0.001,0.999]",1000,0.7,0.02,0.775,0.07500000000000007,0.07500000000000007,0.775,0.07500000000000007,0.07500000000000007,0.0
3,0.7,0.04,"TruncNorm[0.501,0.999]",1000,0.7000000673659118,0.039999832426813486,0.793,0.09300000000000008,0.09299993263408823,0.793,0.09300000000000008,0.09299993263408823,0.0
