voters,distribution,mean,std,iterations,true_mean,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,uniform,0.55,0.0259807621135331,1000,0.55,0.559,0.009,0.009,0.549,-0.001,-0.001,0.01
5,uniform,0.55,0.0259807621135331,1000,0.55,0.593,0.0429999999999999,0.0429999999999999,0.577,0.0269999999999999,0.0269999999999999,0.016
7,uniform,0.55,0.0259807621135331,1000,0.55,0.63,0.0799999999999999,0.0799999999999999,0.636,0.0859999999999999,0.0859999999999999,-0.006
9,uniform,0.55,0.0259807621135331,1000,0.55,0.636,0.0859999999999999,0.0859999999999999,0.64,0.0899999999999999,0.0899999999999999,-0.004
11,uniform,0.55,0.0259807621135331,1000,0.55,0.649,0.0989999999999999,0.0989999999999999,0.645,0.0949999999999999,0.0949999999999999,0.004
21,uniform,0.55,0.0259807621135331,1000,0.55,0.709,0.1589999999999999,0.1589999999999999,0.689,0.1389999999999999,0.1389999999999999,0.02
31,uniform,0.55,0.0259807621135331,1000,0.55,0.746,0.1959999999999999,0.1959999999999999,0.725,0.1749999999999999,0.1749999999999999,0.021
41,uniform,0.55,0.0259807621135331,1000,0.55,0.758,0.2079999999999999,0.2079999999999999,0.741,0.1909999999999999,0.1909999999999999,0.017
51,uniform,0.55,0.0259807621135331,1000,0.55,0.777,0.2269999999999999,0.2269999999999999,0.752,0.2019999999999999,0.2019999999999999,0.025
3,uniform,0.6,0.0548482755730144,1000,0.6,0.647,0.047,0.047,0.643,0.043,0.043,0.004
5,uniform,0.6,0.0548482755730144,1000,0.6,0.709,0.1089999999999999,0.1089999999999999,0.677,0.077,0.077,0.032
7,uniform,0.6,0.0548482755730144,1000,0.6,0.705,0.1049999999999999,0.1049999999999999,0.714,0.1139999999999999,0.1139999999999999,-0.009
9,uniform,0.6,0.0548482755730144,1000,0.6,0.786,0.186,0.186,0.777,0.177,0.177,0.009
11,uniform,0.6,0.0548482755730144,1000,0.6,0.779,0.179,0.179,0.752,0.152,0.152,0.027
21,uniform,0.6,0.0548482755730144,1000,0.6,0.864,0.264,0.264,0.817,0.2169999999999999,0.2169999999999999,0.047
31,uniform,0.6,0.0548482755730144,1000,0.6,0.917,0.317,0.317,0.88,0.28,0.28,0.037
41,uniform,0.6,0.0548482755730144,1000,0.6,0.939,0.3389999999999999,0.3389999999999999,0.91,0.31,0.31,0.029
51,uniform,0.6,0.0548482755730144,1000,0.6,0.949,0.349,0.349,0.931,0.331,0.331,0.018
3,uniform,0.66,0.0837157890324957,1000,0.66,0.742,0.0819999999999999,0.0819999999999999,0.73,0.0699999999999999,0.0699999999999999,0.012
5,uniform,0.66,0.0837157890324957,1000,0.66,0.813,0.1529999999999999,0.1529999999999999,0.797,0.137,0.137,0.016
7,uniform,0.66,0.0837157890324957,1000,0.66,0.861,0.2009999999999999,0.2009999999999999,0.822,0.1619999999999999,0.1619999999999999,0.039
9,uniform,0.66,0.0837157890324957,1000,0.66,0.889,0.2289999999999999,0.2289999999999999,0.847,0.1869999999999999,0.1869999999999999,0.042
11,uniform,0.66,0.0837157890324957,1000,0.66,0.89,0.2299999999999999,0.2299999999999999,0.869,0.2089999999999999,0.2089999999999999,0.021
21,uniform,0.66,0.0837157890324957,1000,0.66,0.965,0.3049999999999999,0.3049999999999999,0.948,0.2879999999999999,0.2879999999999999,0.017
31,uniform,0.66,0.0837157890324957,1000,0.66,0.984,0.3239999999999999,0.3239999999999999,0.97,0.3099999999999999,0.3099999999999999,0.014
41,uniform,0.66,0.0837157890324957,1000,0.66,0.996,0.3359999999999999,0.3359999999999999,0.981,0.3209999999999999,0.3209999999999999,0.015
51,uniform,0.66,0.0837157890324957,1000,0.66,0.999,0.3389999999999999,0.3389999999999999,0.996,0.3359999999999999,0.3359999999999999,0.003
3,uniform,0.7,0.112583302491977,1000,0.7,0.836,0.136,0.136,0.818,0.118,0.118,0.018
5,uniform,0.7,0.112583302491977,1000,0.7,0.878,0.178,0.178,0.851,0.151,0.151,0.027
7,uniform,0.7,0.112583302491977,1000,0.7,0.923,0.2230000000000001,0.2230000000000001,0.89,0.19,0.19,0.033
9,uniform,0.7,0.112583302491977,1000,0.7,0.935,0.2350000000000001,0.2350000000000001,0.893,0.193,0.193,0.042
11,uniform,0.7,0.112583302491977,1000,0.7,0.953,0.253,0.253,0.919,0.219,0.219,0.034
21,uniform,0.7,0.112583302491977,1000,0.7,0.988,0.288,0.288,0.965,0.265,0.265,0.023
31,uniform,0.7,0.112583302491977,1000,0.7,0.994,0.294,0.294,0.992,0.292,0.292,0.002
41,uniform,0.7,0.112583302491977,1000,0.7,0.999,0.299,0.299,0.999,0.299,0.299,0.0
51,uniform,0.7,0.112583302491977,1000,0.7,0.998,0.298,0.298,0.998,0.298,0.298,0.0
3,uniform,0.75,0.1385640646055101,1000,0.75,0.873,0.123,0.123,0.831,0.0809999999999999,0.0809999999999999,0.042
5,uniform,0.75,0.1385640646055101,1000,0.75,0.931,0.181,0.181,0.886,0.136,0.136,0.045
7,uniform,0.75,0.1385640646055101,1000,0.75,0.965,0.2149999999999999,0.2149999999999999,0.939,0.1889999999999999,0.1889999999999999,0.026
9,uniform,0.75,0.1385640646055101,1000,0.75,0.979,0.2289999999999999,0.2289999999999999,0.96,0.2099999999999999,0.2099999999999999,0.019
11,uniform,0.75,0.1385640646055101,1000,0.75,0.992,0.242,0.242,0.964,0.2139999999999999,0.2139999999999999,0.028
21,uniform,0.75,0.1385640646055101,1000,0.75,0.999,0.249,0.249,0.994,0.244,0.244,0.005
31,uniform,0.75,0.1385640646055101,1000,0.75,1.0,0.25,0.25,0.998,0.248,0.248,0.002
41,uniform,0.75,0.1385640646055101,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
51,uniform,0.75,0.1385640646055101,1000,0.75,1.0,0.25,0.25,1.0,0.25,0.25,0.0
3,uniform,0.65,0.0288675134594812,1000,0.65,0.7,0.0499999999999999,0.0499999999999999,0.7,0.0499999999999999,0.0499999999999999,0.0
5,uniform,0.65,0.0288675134594812,1000,0.65,0.772,0.122,0.122,0.772,0.122,0.122,0.0
7,uniform,0.65,0.0288675134594812,1000,0.65,0.812,0.162,0.162,0.808,0.158,0.158,0.004
9,uniform,0.65,0.0288675134594812,1000,0.65,0.842,0.1919999999999999,0.1919999999999999,0.837,0.1869999999999999,0.1869999999999999,0.005
11,uniform,0.65,0.0288675134594812,1000,0.65,0.835,0.1849999999999999,0.1849999999999999,0.846,0.1959999999999999,0.1959999999999999,-0.011
21,uniform,0.65,0.0288675134594812,1000,0.65,0.936,0.286,0.286,0.928,0.278,0.278,0.008
31,uniform,0.65,0.0288675134594812,1000,0.65,0.953,0.3029999999999999,0.3029999999999999,0.956,0.3059999999999999,0.3059999999999999,-0.003
41,uniform,0.65,0.0288675134594812,1000,0.65,0.986,0.3359999999999999,0.3359999999999999,0.984,0.3339999999999999,0.3339999999999999,0.002
51,uniform,0.65,0.0288675134594812,1000,0.65,0.991,0.3409999999999999,0.3409999999999999,0.992,0.3419999999999999,0.3419999999999999,-0.001
3,uniform,0.7,0.0577350269189626,1000,0.7,0.764,0.064,0.064,0.773,0.073,0.073,-0.009
5,uniform,0.7,0.0577350269189626,1000,0.7,0.845,0.145,0.145,0.851,0.151,0.151,-0.006
