voters,mean,std,distribution,iterations,true_mean,true_std,optimal_correct,optimal_correct_minus_mean,optimal_correct_minus_true_mean,majority_correct,majority_correct_minus_mean,majority_correct_minus_true_mean,optimal_correct_minus_majority_correct
3,0.55,0.02,"TruncNorm[0.501,0.999]",1000,0.550399601364754,0.01950025261057779,0.59,0.039999999999999925,0.039600398635246004,0.597,0.04699999999999993,0.04660039863524601,-0.007
3,0.55,0.04,"TruncNorm[0.501,0.999]",1000,0.5584696183361306,0.03336546518137997,0.583,0.03299999999999992,0.02453038166386934,0.59,0.039999999999999925,0.031530381663869345,-0.007
3,0.55,0.08,"TruncNorm[0.501,0.999]",1000,0.5862472077293333,0.057532804614571234,0.631,0.08099999999999996,0.04475279227066675,0.628,0.07799999999999996,0.04175279227066675,0.003
3,0.55,0.16,"TruncNorm[0.501,0.999]",1000,0.6465738962457261,0.10265565804300553,0.749,0.19899999999999995,0.10242610375427386,0.721,0.17099999999999993,0.07442610375427383,0.028
3,0.55,0.32,"TruncNorm[0.501,0.999]",1000,0.7132889890192271,0.13528112984755075,0.833,0.2829999999999999,0.11971101098077286,0.789,0.239,0.07571101098077293,0.044
3,0.55,0.64,"TruncNorm[0.501,0.999]",1000,0.7401202493698373,0.142110505886336,0.861,0.31099999999999994,0.12087975063016265,0.826,0.2759999999999999,0.08587975063016262,0.035
3,0.55,1.28,"TruncNorm[0.501,0.999]",1000,0.7474900323155698,0.14338460984219714,0.873,0.32299999999999995,0.12550996768443023,0.843,0.2929999999999999,0.09550996768443021,0.03
3,0.55,2.56,"TruncNorm[0.501,0.999]",1000,0.7493700908555275,0.1436687311284967,0.884,0.33399999999999996,0.13462990914447248,0.84,0.2899999999999999,0.09062990914447244,0.044
3,0.6,0.02,"TruncNorm[0.501,0.999]",1000,0.6000000381320322,0.01999990562296125,0.663,0.06300000000000006,0.06299996186796786,0.663,0.06300000000000006,0.06299996186796786,0.0
3,0.6,0.04,"TruncNorm[0.501,0.999]",1000,0.6007511217813778,0.039052205567843855,0.644,0.04400000000000004,0.04324887821862222,0.638,0.038000000000000034,0.03724887821862222,0.006
3,0.6,0.08,"TruncNorm[0.501,0.999]",1000,0.6166366939012383,0.0669037894612007,0.673,0.07300000000000006,0.05636330609876172,0.649,0.049000000000000044,0.0323633060987617,0.024
