voters,mean,std,"strong
democracy","weak
democracy","weak
epistocracy","strong
epistocracy","expert
rule","optimal
=majority"
3.0,Lower,Lower,0.807,0.0,0.0,0.193,0.193,0.954
3.0,Lower,Medium,0.312,0.0,0.0,0.688,0.688,0.842
3.0,Lower,Upper,0.245,0.0,0.0,0.755,0.755,0.824
3.0,Medium,Lower,0.997,0.0,0.0,0.003,0.003,0.999
3.0,Medium,Medium,0.765,0.0,0.0,0.235,0.235,0.965
3.0,Medium,Upper,0.391,0.0,0.0,0.609,0.609,0.912
3.0,Upper,Lower,0.989,0.0,0.0,0.011,0.011,1.0
3.0,Upper,Medium,0.75,0.0,0.0,0.25,0.25,0.989
3.0,Upper,Upper,0.596,0.0,0.0,0.404,0.404,0.977
5.0,Lower,Lower,0.491,0.38,0.103,0.026,0.026,0.935
5.0,Lower,Medium,0.034,0.349,0.28,0.337,0.337,0.821
5.0,Lower,Upper,0.091,0.116,0.197,0.596,0.596,0.802
5.0,Medium,Lower,0.958,0.041,0.001,0.0,0.0,0.999
5.0,Medium,Medium,0.253,0.615,0.129,0.004,0.004,0.962
5.0,Medium,Upper,0.035,0.47,0.358,0.138,0.138,0.93
5.0,Upper,Lower,0.897,0.098,0.004,0.0,0.0,1.0
5.0,Upper,Medium,0.24,0.592,0.165,0.003,0.003,0.992
5.0,Upper,Upper,0.257,0.344,0.358,0.041,0.041,0.99
7.0,Lower,Lower,0.242,0.713,0.039,0.006,0.004,0.929
7.0,Lower,Medium,0.002,0.545,0.199,0.254,0.213,0.81
7.0,Lower,Upper,0.056,0.174,0.237,0.533,0.463,0.785
7.0,Medium,Lower,0.793,0.207,0.0,0.0,0.0,0.998
7.0,Medium,Medium,0.04,0.934,0.026,0.0,0.0,0.967
7.0,Medium,Upper,0.001,0.728,0.232,0.038,0.025,0.941
7.0,Upper,Lower,0.708,0.292,0.0,0.0,0.0,1.0
7.0,Upper,Medium,0.038,0.906,0.055,0.001,0.0,0.997
7.0,Upper,Upper,0.171,0.53,0.28,0.019,0.002,0.996
9.0,Lower,Lower,0.11,0.876,0.012,0.001,0.001,0.928
9.0,Lower,Medium,0.0,0.683,0.133,0.184,0.139,0.822
9.0,Lower,Upper,0.034,0.267,0.235,0.465,0.386,0.785
9.0,Medium,Lower,0.573,0.427,0.0,0.0,0.0,0.996
9.0,Medium,Medium,0.004,0.994,0.002,0.0,0.0,0.969
9.0,Medium,Upper,0.0,0.888,0.106,0.007,0.004,0.954
9.0,Upper,Lower,0.472,0.528,0.0,0.0,0.0,1.0
9.0,Upper,Medium,0.005,0.979,0.016,0.0,0.0,0.998
9.0,Upper,Upper,0.126,0.641,0.232,0.001,0.0,0.997
11.0,Lower,Lower,0.042,0.957,0.001,0.0,0.0,0.924
11.0,Lower,Medium,0.0,0.809,0.052,0.139,0.102,0.82
11.0,Lower,Upper,0.023,0.414,0.161,0.403,0.325,0.781
11.0,Medium,Lower,0.373,0.627,0.0,0.0,0.0,0.996
11.0,Medium,Medium,0.0,1.0,0.0,0.0,0.0,0.974
11.0,Medium,Upper,0.0,0.965,0.034,0.001,0.001,0.967
11.0,Upper,Lower,0.296,0.704,0.0,0.0,0.0,1.0
11.0,Upper,Medium,0.001,0.995,0.004,0.0,0.0,0.999
11.0,Upper,Upper,0.091,0.702,0.207,0.0,0.0,0.999
21.0,Lower,Lower,0.0,1.0,0.0,0.0,0.0,0.934
21.0,Lower,Medium,0.0,0.987,0.0,0.013,0.01,0.866
21.0,Lower,Upper,0.001,0.706,0.0,0.293,0.202,0.812
21.0,Medium,Lower,0.004,0.996,0.0,0.0,0.0,0.998
21.0,Medium,Medium,0.0,1.0,0.0,0.0,0.0,0.996
21.0,Medium,Upper,0.0,1.0,0.0,0.0,0.0,0.993
21.0,Upper,Lower,0.008,0.992,0.0,0.0,0.0,1.0
21.0,Upper,Medium,0.0,1.0,0.0,0.0,0.0,1.0
21.0,Upper,Upper,0.016,0.783,0.201,0.0,0.0,1.0
31.0,Lower,Lower,0.0,0.0,0.0,0.0,0.0,0.924
31.0,Lower,Medium,0.0,0.0,0.0,0.0,0.0,0.861
31.0,Lower,Upper,0.0,0.0,0.0,0.0,0.0,0.867
31.0,Medium,Lower,0.0,0.0,0.0,0.0,0.0,0.999
31.0,Medium,Medium,0.0,0.0,0.0,0.0,0.0,0.998
31.0,Medium,Upper,0.0,0.0,0.0,0.0,0.0,0.998
31.0,Upper,Lower,0.0,0.0,0.0,0.0,0.0,1.0
31.0,Upper,Medium,0.0,0.0,0.0,0.0,0.0,1.0
31.0,Upper,Upper,0.0,0.0,0.0,0.0,0.0,1.0
41.0,Lower,Lower,0.0,0.0,0.0,0.0,0.0,0.931
41.0,Lower,Medium,0.0,0.0,0.0,0.0,0.0,0.877
41.0,Lower,Upper,0.0,0.0,0.0,0.0,0.0,0.853
41.0,Medium,Lower,0.0,0.0,0.0,0.0,0.0,0.999
41.0,Medium,Medium,0.0,0.0,0.0,0.0,0.0,1.0
41.0,Medium,Upper,0.0,0.0,0.0,0.0,0.0,1.0
41.0,Upper,Lower,0.0,0.0,0.0,0.0,0.0,1.0
41.0,Upper,Medium,0.0,0.0,0.0,0.0,0.0,1.0
41.0,Upper,Upper,0.0,0.0,0.0,0.0,0.0,1.0
51.0,Lower,Lower,0.0,0.0,0.0,0.0,0.0,0.958
51.0,Lower,Medium,0.0,0.0,0.0,0.0,0.0,0.909
51.0,Lower,Upper,0.0,0.0,0.0,0.0,0.0,0.896
51.0,Medium,Lower,0.0,0.0,0.0,0.0,0.0,1.0
51.0,Medium,Medium,0.0,0.0,0.0,0.0,0.0,1.0
51.0,Medium,Upper,0.0,0.0,0.0,0.0,0.0,1.0
51.0,Upper,Lower,0.0,0.0,0.0,0.0,0.0,1.0
51.0,Upper,Medium,0.0,0.0,0.0,0.0,0.0,1.0
51.0,Upper,Upper,0.0,0.0,0.0,0.0,0.0,1.0
